prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;34;90;100.0
государство;34;61;100.0
географические координаты;34;37;100.0
столица;29;56;85.29411764705883
место рождения;28;203;82.35294117647058
численность населения;28;76;82.35294117647058
является столицей;26;40;76.47058823529412
часовой пояс;25;37;73.52941176470588
высота над уровнем моря;25;25;73.52941176470588
изображение герба;25;25;73.52941176470588
изображение флага;17;17;50.0
общая тема категории;17;17;50.0
основная категория по теме;17;17;50.0
категория для людей, родившихся здесь;16;16;47.058823529411754
площадь;13;13;38.23529411764706
официальное название;12;24;35.29411764705883
место смерти;12;17;35.29411764705883
romanization of Belarusian (2007 system);11;11;32.35294117647059
официальный сайт;10;11;29.411764705882355
дата основания/создания/возникновения;10;10;29.411764705882355
название на языке оригинала;10;10;29.411764705882355
описывается в источниках;8;13;23.529411764705877
расположение штаб-квартиры;7;9;20.588235294117645
категория для людей, связанных с местностью;7;7;20.588235294117645
юрисдикция распространяется на;5;6;14.705882352941178
код ОКАТО;5;5;14.705882352941178
код ОКТМО;5;5;14.705882352941178
находится на берегу водоёма;5;5;14.705882352941178
описание флага;5;5;14.705882352941178
место погребения;4;8;11.764705882352938
местонахождение;4;6;11.764705882352938
административно делится на;3;5;8.823529411764708
названо в честь;3;3;8.823529411764708
описание герба;3;3;8.823529411764708
состоит из;2;4;5.882352941176469
категория для людей, похороненных здесь;2;2;5.882352941176469
логотип;2;2;5.882352941176469
первое письменное упоминание;2;2;5.882352941176469
владельцем является;1;5;2.9411764705882346
официальный язык;1;2;2.9411764705882346
галерея на Викискладе;1;1;2.9411764705882346
город-побратим;1;1;2.9411764705882346
законодательный орган;1;1;2.9411764705882346
изображение печати/эмблемы;1;1;2.9411764705882346
имеет границы с;1;1;2.9411764705882346
категория для людей, умерших здесь;1;1;2.9411764705882346
обслуживаемый город;1;1;2.9411764705882346
основные направления;1;1;2.9411764705882346
часть света;1;1;2.9411764705882346
