prop_name;prop_count;prop_count_value;prop_counter
государство;100;110;100.0
географические координаты;95;114;95.0
административно-территориальная единица;87;336;87.0
общая тема категории;63;65;63.0
основная категория по теме;63;63;63.0
находится на берегу водоёма;51;53;51.0
горный хребет;42;42;42.0
находится в пределах природно-географического объекта;39;261;39.0
местонахождение;39;127;39.0
место рождения;34;111;34.0
высота над уровнем моря;33;33;33.0
названо в честь;30;49;30.0
площадь;28;33;28.000000000000004
состоит из;25;66;25.0
место смерти;25;60;25.0
официальный сайт;18;20;18.0
галерея на Викискладе;18;18;18.0
карта местонахождения;17;19;17.0
описывается в источниках;15;20;15.0
длина;13;13;13.0
имеет границы с;12;41;12.0
численность населения;10;153;10.0
место жительства;10;31;10.0
находится в охранной зоне;9;12;9.0
произношение (звуковой файл);8;9;8.0
место активности;8;8;8.0
часовой пояс;7;11;7.000000000000001
история происходит в месте;7;8;7.000000000000001
проходит над/под;6;7;6.0
столица;6;6;6.0
является столицей;6;6;6.0
этнохороним;5;10;5.0
официальное название;5;6;5.0
изображение герба;5;5;5.0
категория для людей, связанных с местностью;5;5;5.0
официальный язык;4;8;4.0
расположение штаб-квартиры;4;6;4.0
юрисдикция распространяется на;4;5;4.0
geomorphological unit;4;4;4.0
впадает в;4;4;4.0
глава правительства;4;4;4.0
должность главы правительства;4;4;4.0
открывает вид на;3;7;3.0
название на языке оригинала;3;3;3.0
обслуживаемый город;3;3;3.0
место погребения;2;23;2.0
административно делится на;2;21;2.0
место создания;2;7;2.0
сделано из;2;5;2.0
женское население;2;4;2.0
ключевое событие;2;4;2.0
мужское население;2;4;2.0
число домохозяйств;2;4;2.0
расположен на улице;2;3;2.0
водосборный бассейн;2;2;2.0
дата основания/создания/возникновения;2;2;2.0
категория для людей, родившихся здесь;2;2;2.0
место обнаружения;2;2;2.0
наивысшая точка;2;2;2.0
происходит из;2;2;2.0
типовая местность (геология);2;2;2.0
содержит;1;4;1.0
соединяется с;1;4;1.0
имеет границей;1;2;1.0
конечная;1;2;1.0
пример использования свойства;1;2;1.0
landscape architect;1;1;1.0
аудиозапись прочитанного текста;1;1;1.0
город-побратим;1;1;1.0
записано на;1;1;1.0
значимое место;1;1;1.0
изображение флага;1;1;1.0
категория для людей, умерших здесь;1;1;1.0
категория защищённых зон МСОП;1;1;1.0
место изготовления;1;1;1.0
место съёмок;1;1;1.0
несёт на себе;1;1;1.0
основная тема портала Викимедиа;1;1;1.0
основная тема шаблона;1;1;1.0
основной шаблон по теме;1;1;1.0
панорамный вид;1;1;1.0
позиционная карта;1;1;1.0
портал Викимедиа;1;1;1.0
предположительно одно и то же с;1;1;1.0
предыдущее по порядку;1;1;1.0
пункт назначения;1;1;1.0
страна происхождения;1;1;1.0
участник организации или клуба;1;1;1.0
часть света;1;1;1.0
ширина;1;1;1.0
является эндемиком в;1;1;1.0
