prop_name;prop_count;prop_count_value;prop_counter
географические координаты;75;82;100.0
государство;73;82;97.33333333333334
высота над уровнем моря;70;72;93.33333333333331
административно-территориальная единица;65;99;86.66666666666669
горный хребет;42;75;56.00000000000001
находится в пределах природно-географического объекта;40;55;53.33333333333334
часть света;38;48;50.66666666666667
относительная высота;36;36;48.0
вулканическая обсерватория;34;34;45.33333333333333
наивысшая точка;30;56;40.0
сделано из;30;30;40.0
площадь;23;26;30.666666666666664
находится на берегу водоёма;23;23;30.666666666666664
названо в честь;21;35;28.000000000000004
общая тема категории;21;22;28.000000000000004
основная категория по теме;21;21;28.000000000000004
описывается в источниках;20;38;26.66666666666667
численность населения;20;20;26.66666666666667
ключевое событие;17;21;22.666666666666664
длина;17;17;22.666666666666664
галерея на Викискладе;16;16;21.333333333333336
ширина;16;16;21.333333333333336
часовой пояс;15;18;20.0
находится в охранной зоне;15;17;20.0
состоит из;15;17;20.0
топографическая изоляция;11;11;14.666666666666664
место смерти;10;16;13.333333333333336
местонахождение;9;10;12.0
исток водотока;7;16;9.333333333333334
конечная;6;8;8.0
карта местонахождения;6;6;8.0
название на языке оригинала;6;6;8.0
написание каной;6;6;8.0
эра;5;5;6.666666666666668
код для сущности Wolfram Language;4;4;5.333333333333334
административно делится на;3;3;4.0
родительская вершина;3;3;4.0
столица;3;3;4.0
является столицей;3;3;4.0
место астрономического открытия;2;60;2.666666666666667
типовая местность (геология);2;9;2.666666666666667
место рождения;2;4;2.666666666666667
maritime identification digits;2;2;2.666666666666667
категория защищённых зон МСОП;2;2;2.666666666666667
пример использования свойства;2;2;2.666666666666667
происходит из;2;2;2.666666666666667
проходит над/под;1;2;1.3333333333333337
climbing route;1;1;1.3333333333333337
Новая романизация корейского языка;1;1;1.3333333333333337
город-побратим;1;1;1.3333333333333337
гражданство;1;1;1.3333333333333337
дата основания/создания/возникновения;1;1;1.3333333333333337
изображение герба;1;1;1.3333333333333337
история темы;1;1;1.3333333333333337
место обнаружения;1;1;1.3333333333333337
первооткрыватель или изобретатель;1;1;1.3333333333333337
посвящено;1;1;1.3333333333333337
расположение штаб-квартиры;1;1;1.3333333333333337
романизация Маккьюна — Райшауэра;1;1;1.3333333333333337
соединяется с;1;1;1.3333333333333337
тематически относится к;1;1;1.3333333333333337
