entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q7730;Jewish Autonomous Oblast;административно-территориальная единица;1;200;to
Q7730;Jewish Autonomous Oblast;код ОКАТО;1;1;from
Q7730;Jewish Autonomous Oblast;часть от;1;1;from
Q7730;Jewish Autonomous Oblast;категория на Викискладе;1;1;from
Q7730;Jewish Autonomous Oblast;код автомобильного номера;1;1;from
Q7730;Jewish Autonomous Oblast;ID отношения в OpenStreetMap;1;1;from
Q7730;Jewish Autonomous Oblast;часовой пояс;1;1;from
Q7730;Jewish Autonomous Oblast;код в Православной энциклопедии онлайн;1;1;from
Q7730;Jewish Autonomous Oblast;дата основания/создания/возникновения;1;1;from
Q7730;Jewish Autonomous Oblast;код в Ларуссе;1;1;from
Q7730;Jewish Autonomous Oblast;географические координаты;1;1;from
Q7730;Jewish Autonomous Oblast;код Freebase;1;1;from
Q7730;Jewish Autonomous Oblast;Who's on First ID;1;1;from
Q7730;Jewish Autonomous Oblast;код NKC;1;1;from
Q7730;Jewish Autonomous Oblast;код ОКТМО;1;1;from
Q7730;Jewish Autonomous Oblast;административно делится на;1;1;to
Q7730;Jewish Autonomous Oblast;категория карт на Викискладе;1;1;from
Q7730;Jewish Autonomous Oblast;официальный сайт;1;1;from
Q7730;Jewish Autonomous Oblast;FIPS 10-4 (страны и регионы);1;1;from
Q7730;Jewish Autonomous Oblast;основная категория по теме;1;1;from
Q7730;Jewish Autonomous Oblast;баннер Викигида;1;1;from
Q7730;Jewish Autonomous Oblast;изображённый объект;1;1;to
Q7730;Jewish Autonomous Oblast;место рождения;1;12;to
Q7730;Jewish Autonomous Oblast;место смерти;1;2;to
Q7730;Jewish Autonomous Oblast;тематически относится к;1;1;to
Q7730;Jewish Autonomous Oblast;юрисдикция распространяется на;1;3;to
Q7730;Jewish Autonomous Oblast;категория объединяет темы;1;7;to
Q7730;Jewish Autonomous Oblast;общая тема категории;1;1;to
Q7730;Jewish Autonomous Oblast;код темы Quora;1;1;from
Q7730;Jewish Autonomous Oblast;ISO 3166-2;1;1;from
Q7730;Jewish Autonomous Oblast;код в Большой российской энциклопедии онлайн;1;1;from
Q7730;Jewish Autonomous Oblast;география темы;1;1;from
Q7730;Jewish Autonomous Oblast;описание флага;1;1;from
Q7730;Jewish Autonomous Oblast;государство;1;1;from
Q7730;Jewish Autonomous Oblast;код VIAF;1;1;from
Q7730;Jewish Autonomous Oblast;код GND;1;1;from
Q7730;Jewish Autonomous Oblast;описание герба;1;1;from
Q7730;Jewish Autonomous Oblast;карта местонахождения;1;1;from
Q7730;Jewish Autonomous Oblast;это частный случай понятия;1;1;from
Q7730;Jewish Autonomous Oblast;столица;1;1;from
Q7730;Jewish Autonomous Oblast;официальный язык;1;2;from
Q7730;Jewish Autonomous Oblast;изображение флага;1;1;from
Q7730;Jewish Autonomous Oblast;имеет границы с;1;3;to
Q7730;Jewish Autonomous Oblast;глава правительства;1;11;from
Q7730;Jewish Autonomous Oblast;изображение герба;1;1;from
Q7730;Jewish Autonomous Oblast;десятичная классификация Дьюи;1;1;from
Q7730;Jewish Autonomous Oblast;численность населения;1;4;from
Q7730;Jewish Autonomous Oblast;код в Большой каталанской энциклопедии;1;1;from
Q7730;Jewish Autonomous Oblast;должность главы правительства;1;1;from
Q7730;Jewish Autonomous Oblast;код в энциклопедии «Британника онлайн»;1;1;from
Q7730;Jewish Autonomous Oblast;код Еврейской энциклопедии;1;1;from
Q7730;Jewish Autonomous Oblast;категория для людей, родившихся здесь;1;1;from
Q7730;Jewish Autonomous Oblast;категория для людей, умерших здесь;1;1;from
Q7730;Jewish Autonomous Oblast;код GeoNames;1;1;from
Q7730;Jewish Autonomous Oblast;название на языке оригинала;1;2;from
Q7730;Jewish Autonomous Oblast;категория для людей, связанных с местностью;1;1;from
Q7730;Jewish Autonomous Oblast;площадь;1;1;from
Q7730;Jewish Autonomous Oblast;является столицей;1;1;to
