entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q178914;Martinique Passage;административно-территориальная единица;1;1;from
Q34969678;Indian River Narrows;код GNIS;1;1;from
Q34969687;Indian River North;административно-территориальная единица;1;1;from
Q34969687;Indian River North;государство;1;1;from
Q34969687;Indian River North;это частный случай понятия;1;1;from
Q34969687;Indian River North;код GeoNames;1;1;from
Q34969687;Indian River North;код GNIS;1;1;from
Q34969687;Indian River North;географические координаты;1;1;from
Q34969696;Ingram Thorofare;административно-территориальная единица;1;1;from
Q34969696;Ingram Thorofare;государство;1;1;from
Q34969696;Ingram Thorofare;это частный случай понятия;1;1;from
Q34969696;Ingram Thorofare;код GeoNames;1;1;from
Q34969696;Ingram Thorofare;код GNIS;1;1;from
Q34969696;Ingram Thorofare;географические координаты;1;1;from
Q34969704;Inner Bar Channel;административно-территориальная единица;1;1;from
Q34969704;Inner Bar Channel;государство;1;1;from
Q34969704;Inner Bar Channel;это частный случай понятия;1;1;from
Q34969678;Indian River Narrows;географические координаты;1;1;from
Q34969678;Indian River Narrows;код GeoNames;1;1;from
Q34969704;Inner Bar Channel;код GNIS;1;1;from
Q34969678;Indian River Narrows;это частный случай понятия;1;1;from
Q34969653;Indian Key Pass;географические координаты;1;1;from
Q34969660;Indian Pass;административно-территориальная единица;1;1;from
Q34969660;Indian Pass;государство;1;1;from
Q34969660;Indian Pass;это частный случай понятия;1;1;from
Q34969660;Indian Pass;код GeoNames;1;1;from
Q34969660;Indian Pass;код GNIS;1;1;from
Q34969660;Indian Pass;географические координаты;1;1;from
Q34969669;Indian Pass;административно-территориальная единица;1;1;from
Q34969669;Indian Pass;государство;1;1;from
Q34969669;Indian Pass;это частный случай понятия;1;1;from
Q34969669;Indian Pass;код GeoNames;1;1;from
Q34969669;Indian Pass;код GNIS;1;1;from
Q34969669;Indian Pass;географические координаты;1;1;from
Q34969678;Indian River Narrows;административно-территориальная единица;1;1;from
Q34969678;Indian River Narrows;государство;1;1;from
Q34969704;Inner Bar Channel;код GeoNames;1;1;from
Q34969704;Inner Bar Channel;географические координаты;1;1;from
Q34969773;Intracoastal Waterway;это частный случай понятия;1;1;from
Q34969746;Intercoastal Waterway;государство;1;1;from
Q34969746;Intercoastal Waterway;код GeoNames;1;1;from
Q34969746;Intercoastal Waterway;географические координаты;1;1;from
Q34969755;Intracoastal Waterway;административно-территориальная единица;1;1;from
Q34969755;Intracoastal Waterway;государство;1;1;from
Q34969755;Intracoastal Waterway;это частный случай понятия;1;1;from
Q34969755;Intracoastal Waterway;код GeoNames;1;1;from
Q34969755;Intracoastal Waterway;код GNIS;1;1;from
Q34969755;Intracoastal Waterway;географические координаты;1;1;from
Q34969763;Intracoastal Waterway;административно-территориальная единица;1;1;from
Q34969763;Intracoastal Waterway;государство;1;1;from
Q34969763;Intracoastal Waterway;это частный случай понятия;1;1;from
Q34969763;Intracoastal Waterway;код GeoNames;1;1;from
Q34969763;Intracoastal Waterway;код GNIS;1;1;from
Q34969763;Intracoastal Waterway;географические координаты;1;1;from
Q34969773;Intracoastal Waterway;административно-территориальная единица;1;1;from
Q34969746;Intercoastal Waterway;это частный случай понятия;1;1;from
Q34969738;Inside Thorofare;географические координаты;1;1;from
Q34969713;Inner Harbor Channel;административно-территориальная единица;1;1;from
Q34969738;Inside Thorofare;код GNIS;1;1;from
Q34969713;Inner Harbor Channel;государство;1;1;from
Q34969713;Inner Harbor Channel;это частный случай понятия;1;1;from
Q34969713;Inner Harbor Channel;код GeoNames;1;1;from
Q34969713;Inner Harbor Channel;код GNIS;1;1;from
Q34969713;Inner Harbor Channel;географические координаты;1;1;from
Q34969721;Inner Narrows;административно-территориальная единица;1;1;from
Q34969721;Inner Narrows;государство;1;1;from
Q34969721;Inner Narrows;это частный случай понятия;1;1;from
Q34969721;Inner Narrows;код GeoNames;1;1;from
Q34969721;Inner Narrows;код GNIS;1;1;from
Q34969721;Inner Narrows;географические координаты;1;1;from
Q34969738;Inside Thorofare;административно-территориальная единица;1;1;from
Q34969738;Inside Thorofare;государство;1;1;from
Q34969738;Inside Thorofare;это частный случай понятия;1;1;from
Q34969738;Inside Thorofare;код GeoNames;1;1;from
Q34969653;Indian Key Pass;код GNIS;1;1;from
Q34969653;Indian Key Pass;код GeoNames;1;1;from
Q34969653;Indian Key Pass;это частный случай понятия;1;1;from
Q34969516;Hunter Pass;государство;1;1;from
Q34969516;Hunter Pass;код GeoNames;1;1;from
Q34969516;Hunter Pass;код GNIS;1;1;from
Q34969516;Hunter Pass;географические координаты;1;1;from
Q34969535;Hurricane Pass;административно-территориальная единица;1;1;from
Q34969535;Hurricane Pass;государство;1;1;from
Q34969535;Hurricane Pass;это частный случай понятия;1;1;from
Q34969535;Hurricane Pass;код GeoNames;1;1;from
Q34969535;Hurricane Pass;код GNIS;1;1;from
Q34969535;Hurricane Pass;географические координаты;1;1;from
Q34969545;Hurricane Pass;административно-территориальная единица;1;1;from
Q34969545;Hurricane Pass;государство;1;1;from
Q34969545;Hurricane Pass;это частный случай понятия;1;1;from
Q34969545;Hurricane Pass;код GeoNames;1;1;from
Q34969545;Hurricane Pass;код GNIS;1;1;from
Q34969545;Hurricane Pass;географические координаты;1;1;from
Q34969516;Hunter Pass;это частный случай понятия;1;1;from
Q34969516;Hunter Pass;административно-территориальная единица;1;1;from
Q34969653;Indian Key Pass;государство;1;1;from
Q34969505;Humble Channel;географические координаты;1;1;from
Q34969487;Hudson Ferry Reach;это частный случай понятия;1;1;from
Q34969487;Hudson Ferry Reach;код GeoNames;1;1;from
Q34969487;Hudson Ferry Reach;код GNIS;1;1;from
Q34969487;Hudson Ferry Reach;географические координаты;1;1;from
Q34969495;Hudson Ferry Reach;административно-территориальная единица;1;1;from
Q34969495;Hudson Ferry Reach;государство;1;1;from
Q34969495;Hudson Ferry Reach;это частный случай понятия;1;1;from
Q34969495;Hudson Ferry Reach;код GeoNames;1;1;from
Q34969495;Hudson Ferry Reach;код GNIS;1;1;from
Q34969495;Hudson Ferry Reach;географические координаты;1;1;from
Q34969505;Humble Channel;административно-территориальная единица;1;1;from
Q34969505;Humble Channel;государство;1;1;from
Q34969505;Humble Channel;это частный случай понятия;1;1;from
Q34969505;Humble Channel;код GeoNames;1;1;from
Q34969505;Humble Channel;код GNIS;1;1;from
Q34969570;Ie-suidō;административно-территориальная единица;1;1;from
Q34969570;Ie-suidō;государство;1;1;from
Q34969570;Ie-suidō;это частный случай понятия;1;1;from
Q34969570;Ie-suidō;код GeoNames;1;1;from
Q34969628;Indian Creek;код GNIS;1;1;from
Q34969628;Indian Creek;географические координаты;1;1;from
Q34969637;Indian Island Slue;административно-территориальная единица;1;1;from
Q34969637;Indian Island Slue;государство;1;1;from
Q34969637;Indian Island Slue;это частный случай понятия;1;1;from
Q34969637;Indian Island Slue;код GeoNames;1;1;from
Q34969637;Indian Island Slue;код GNIS;1;1;from
Q34969637;Indian Island Slue;географические координаты;1;1;from
Q34969646;Indian Key Channel;административно-территориальная единица;1;1;from
Q34969646;Indian Key Channel;государство;1;1;from
Q34969646;Indian Key Channel;это частный случай понятия;1;1;from
Q34969646;Indian Key Channel;код GeoNames;1;1;from
Q34969646;Indian Key Channel;код GNIS;1;1;from
Q34969646;Indian Key Channel;географические координаты;1;1;from
Q34969653;Indian Key Pass;административно-территориальная единица;1;1;from
Q34969628;Indian Creek;код GeoNames;1;1;from
Q34969628;Indian Creek;это частный случай понятия;1;1;from
Q34969628;Indian Creek;государство;1;1;from
Q34969591;Imado-guchi;код GNS;1;1;from
Q34969570;Ie-suidō;код GNS;1;1;from
Q34969570;Ie-suidō;географические координаты;1;1;from
