entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q656;Saint Petersburg;основатель;1;1;from
Q163986;Narimanov;код Freebase;1;1;from
Q163954;Nazyvayevsk;код ОКАТО;1;1;from
Q163954;Nazyvayevsk;код ОКТМО;1;1;from
Q163954;Nazyvayevsk;столица;1;2;to
Q163954;Nazyvayevsk;место рождения;1;1;to
Q163986;Narimanov;административно-территориальная единица;1;1;from
Q163986;Narimanov;государство;1;1;from
Q163986;Narimanov;карта местонахождения;1;1;from
Q163986;Narimanov;это частный случай понятия;1;1;from
Q163986;Narimanov;численность населения;1;1;from
Q163986;Narimanov;код в Большой каталанской энциклопедии;1;1;from
Q163986;Narimanov;является столицей;1;2;from
Q163986;Narimanov;код GeoNames;1;1;from
Q163986;Narimanov;высота над уровнем моря;1;1;from
Q163986;Narimanov;почтовый индекс;1;1;from
Q163986;Narimanov;код в Большой российской энциклопедии онлайн;1;1;from
Q163986;Narimanov;категория на Викискладе;1;1;from
Q163986;Narimanov;часовой пояс;1;2;from
Q163986;Narimanov;местный телефонный код;1;1;from
Q163986;Narimanov;дата основания/создания/возникновения;1;1;from
Q163954;Nazyvayevsk;Who's on First ID;1;1;from
Q163954;Nazyvayevsk;код Freebase;1;1;from
Q163954;Nazyvayevsk;географические координаты;1;1;from
Q163954;Nazyvayevsk;часть света;1;1;from
Q163935;Nazran;часть от;1;1;to
Q163935;Nazran;место жительства;1;1;to
Q163935;Nazran;расположение штаб-квартиры;1;3;to
Q163935;Nazran;значимое место;1;1;to
Q163935;Nazran;общая тема категории;1;1;to
Q163954;Nazyvayevsk;административно-территориальная единица;1;3;from
Q163954;Nazyvayevsk;государство;1;1;from
Q163954;Nazyvayevsk;изображение;1;1;from
Q163954;Nazyvayevsk;это частный случай понятия;1;1;from
Q163954;Nazyvayevsk;дата основания/создания/возникновения;1;1;from
Q163954;Nazyvayevsk;численность населения;1;2;from
Q163954;Nazyvayevsk;является столицей;1;2;from
Q163954;Nazyvayevsk;код GeoNames;1;1;from
Q163954;Nazyvayevsk;высота над уровнем моря;1;1;from
Q163954;Nazyvayevsk;почтовый индекс;1;1;from
Q163954;Nazyvayevsk;код в Большой российской энциклопедии онлайн;1;1;from
Q163954;Nazyvayevsk;категория на Викискладе;1;1;from
Q163954;Nazyvayevsk;местный телефонный код;1;1;from
Q163986;Narimanov;географические координаты;1;1;from
Q163986;Narimanov;Who's on First ID;1;1;from
Q163935;Nazran;административно делится на;1;1;to
Q163986;Narimanov;код ОКАТО;1;1;from
Q164001;Naro-Fominsk;площадь;1;1;from
Q164001;Naro-Fominsk;почтовый индекс;1;4;from
Q164001;Naro-Fominsk;код в Большой российской энциклопедии онлайн;1;1;from
Q164001;Naro-Fominsk;код темы Quora;1;1;from
Q164001;Naro-Fominsk;категория на Викискладе;1;1;from
Q164001;Naro-Fominsk;часовой пояс;1;1;from
Q164001;Naro-Fominsk;местный телефонный код;1;1;from
Q164001;Naro-Fominsk;дата основания/создания/возникновения;1;1;from
Q164001;Naro-Fominsk;географические координаты;1;1;from
Q164001;Naro-Fominsk;код Freebase;1;1;from
Q164001;Naro-Fominsk;Who's on First ID;1;1;from
Q164001;Naro-Fominsk;код ОКАТО;1;1;from
Q164001;Naro-Fominsk;код ОКТМО;1;1;from
Q164001;Naro-Fominsk;официальный сайт;1;1;from
Q164001;Naro-Fominsk;основная категория по теме;1;1;from
Q164001;Naro-Fominsk;столица;1;3;to
Q164001;Naro-Fominsk;место рождения;1;24;to
Q164001;Naro-Fominsk;место смерти;1;3;to
Q164001;Naro-Fominsk;место погребения;1;2;to
Q164001;Naro-Fominsk;высота над уровнем моря;1;1;from
Q164001;Naro-Fominsk;категория для людей, связанных с местностью;1;1;from
Q164001;Naro-Fominsk;категория для людей, похороненных здесь;1;1;from
Q164001;Naro-Fominsk;город-побратим;1;1;to
Q163986;Narimanov;код ОКТМО;1;1;from
Q163986;Narimanov;официальный сайт;1;1;from
Q163986;Narimanov;столица;1;2;to
Q163986;Narimanov;административно делится на;1;1;to
Q164001;Naro-Fominsk;административно-территориальная единица;1;1;to
Q164001;Naro-Fominsk;описание флага;1;1;from
Q164001;Naro-Fominsk;государство;1;1;from
Q164001;Naro-Fominsk;изображение;1;1;from
Q164001;Naro-Fominsk;это частный случай понятия;1;1;from
Q164001;Naro-Fominsk;код GeoNames;1;1;from
Q164001;Naro-Fominsk;изображение флага;1;1;from
Q164001;Naro-Fominsk;изображение герба;1;1;from
Q164001;Naro-Fominsk;численность населения;1;1;from
Q164001;Naro-Fominsk;первое письменное упоминание;1;1;from
Q164001;Naro-Fominsk;код в Большой каталанской энциклопедии;1;1;from
Q164001;Naro-Fominsk;является столицей;1;2;from
Q164001;Naro-Fominsk;код в энциклопедии «Британника онлайн»;1;1;from
Q164001;Naro-Fominsk;категория для людей, родившихся здесь;1;1;from
Q163935;Nazran;местонахождение;1;2;to
Q163935;Nazran;место рождения;1;26;to
Q165806;Nevinnomyssk;код ОКТМО;1;1;from
Q163907;Nazarovo;код Freebase;1;1;from
Q163907;Nazarovo;изображение;1;1;from
Q163907;Nazarovo;часть света;1;1;from
Q163907;Nazarovo;это частный случай понятия;1;1;from
Q163907;Nazarovo;изображение флага;1;1;from
Q163907;Nazarovo;изображение герба;1;1;from
Q163907;Nazarovo;численность населения;1;1;from
Q163907;Nazarovo;код в Большой каталанской энциклопедии;1;1;from
Q163907;Nazarovo;является столицей;1;2;from
Q163907;Nazarovo;официальное название;1;1;from
Q163907;Nazarovo;код GeoNames;1;1;from
Q163907;Nazarovo;название на языке оригинала;1;1;from
Q163907;Nazarovo;высота над уровнем моря;1;1;from
Q163907;Nazarovo;площадь;1;1;from
Q163907;Nazarovo;почтовый индекс;1;1;from
Q163907;Nazarovo;код в Большой российской энциклопедии онлайн;1;1;from
Q163907;Nazarovo;категория на Викискладе;1;1;from
Q163907;Nazarovo;часовой пояс;1;1;from
Q163907;Nazarovo;местный телефонный код;1;1;from
Q163907;Nazarovo;дата основания/создания/возникновения;1;1;from
Q163907;Nazarovo;государство;1;1;from
Q163907;Nazarovo;административно-территориальная единица;1;1;to
Q163864;Navoloki;юрисдикция распространяется на;1;1;to
Q163864;Navoloki;местный телефонный код;1;1;from
Q163864;Navoloki;численность населения;1;1;from
Q163864;Navoloki;является столицей;1;3;from
Q163864;Navoloki;код GeoNames;1;1;from
Q163864;Navoloki;название на языке оригинала;1;1;from
Q163864;Navoloki;высота над уровнем моря;1;1;from
Q163864;Navoloki;почтовый индекс;1;1;from
Q163864;Navoloki;код в Большой российской энциклопедии онлайн;1;1;from
Q163864;Navoloki;категория на Викискладе;1;1;from
Q163864;Navoloki;дата основания/создания/возникновения;1;1;from
Q163864;Navoloki;административно делится на;1;1;to
Q163864;Navoloki;географические координаты;1;1;from
Q163864;Navoloki;код Freebase;1;1;from
Q163864;Navoloki;Who's on First ID;1;1;from
Q163864;Navoloki;код ОКАТО;1;1;from
Q163864;Navoloki;код ОКТМО;1;1;from
Q163864;Navoloki;официальный сайт;1;1;from
Q163864;Navoloki;место рождения;1;6;to
Q163864;Navoloki;столица;1;2;to
Q163907;Nazarovo;географические координаты;1;1;from
Q163907;Nazarovo;Who's on First ID;1;1;from
Q163935;Nazran;место смерти;1;20;to
Q163907;Nazarovo;код ОКАТО;1;1;from
Q163935;Nazran;категория для людей, связанных с местностью;1;1;from
Q163935;Nazran;высота над уровнем моря;1;1;from
Q163935;Nazran;площадь;1;1;from
Q163935;Nazran;почтовый индекс;1;1;from
Q163935;Nazran;код в Большой российской энциклопедии онлайн;1;1;from
Q163935;Nazran;категория на Викискладе;1;1;from
Q163935;Nazran;часовой пояс;1;1;from
Q163935;Nazran;местный телефонный код;1;1;from
Q163935;Nazran;дата основания/создания/возникновения;1;1;from
Q163935;Nazran;географические координаты;1;1;from
Q163935;Nazran;код Freebase;1;1;from
Q163935;Nazran;Who's on First ID;1;1;from
Q163935;Nazran;код ОКАТО;1;1;from
Q163935;Nazran;код ОКТМО;1;1;from
Q163935;Nazran;официальный сайт;1;1;from
Q163935;Nazran;основная категория по теме;1;1;from
Q163935;Nazran;баннер Викигида;1;1;from
Q163935;Nazran;категория объединяет темы;1;4;to
Q163935;Nazran;столица;1;2;to
Q163935;Nazran;название на языке оригинала;1;2;from
Q163935;Nazran;код GeoNames;1;1;from
Q163935;Nazran;категория для людей, умерших здесь;1;1;from
Q163935;Nazran;государство;1;1;from
Q163907;Nazarovo;код ОКТМО;1;1;from
Q163907;Nazarovo;официальный сайт;1;1;from
Q163907;Nazarovo;место рождения;1;5;to
Q163907;Nazarovo;столица;1;2;to
Q163907;Nazarovo;административно делится на;1;1;to
Q163907;Nazarovo;место смерти;1;1;to
Q163907;Nazarovo;общая тема категории;1;1;to
Q163935;Nazran;административно-территориальная единица;1;7;to
Q163935;Nazran;изображение;1;1;from
Q163935;Nazran;категория для людей, родившихся здесь;1;1;from
Q163935;Nazran;город-побратим;1;1;from
Q163935;Nazran;это частный случай понятия;1;2;from
Q163935;Nazran;изображение флага;1;1;from
Q163935;Nazran;изображение герба;1;1;from
Q163935;Nazran;численность населения;1;2;from
Q163935;Nazran;первое письменное упоминание;1;1;from
Q163935;Nazran;является столицей;1;2;from
Q163935;Nazran;официальное название;1;3;from
Q164001;Naro-Fominsk;общая тема категории;1;1;to
Q164001;Naro-Fominsk;категория объединяет темы;1;3;to
Q164001;Naro-Fominsk;местонахождение;1;5;to
Q165790;Nevelsk;дата основания/создания/возникновения;1;1;from
Q165790;Nevelsk;государство;1;1;from
Q165790;Nevelsk;изображение;1;1;from
Q165790;Nevelsk;город-побратим;1;1;to
Q165790;Nevelsk;код VIAF;1;1;from
Q165790;Nevelsk;код LCNAF;1;1;from
Q165790;Nevelsk;часть света;1;1;from
Q165790;Nevelsk;это частный случай понятия;1;2;from
Q165790;Nevelsk;изображение флага;1;1;from
Q165790;Nevelsk;изображение герба;1;1;from
Q165790;Nevelsk;численность населения;1;2;from
Q165790;Nevelsk;первое письменное упоминание;1;1;from
Q165790;Nevelsk;является столицей;1;1;from
Q165790;Nevelsk;код GeoNames;1;1;from
Q165790;Nevelsk;высота над уровнем моря;1;1;from
Q165790;Nevelsk;площадь;1;1;from
Q165790;Nevelsk;почтовый индекс;1;1;from
Q165790;Nevelsk;код в Большой российской энциклопедии онлайн;1;1;from
Q165790;Nevelsk;категория на Викискладе;1;1;from
Q165790;Nevelsk;часовой пояс;1;2;from
Q165790;Nevelsk;административно-территориальная единица;1;1;from
Q165773;Nevel;общая тема категории;1;1;to
Q165773;Nevel;место жительства;1;1;to
Q165773;Nevel;код ОКТМО;1;1;from
Q165773;Nevel;код в Большой российской энциклопедии онлайн;1;1;from
Q165773;Nevel;категория на Викискладе;1;1;from
Q165773;Nevel;местный телефонный код;1;1;from
Q165773;Nevel;дата основания/создания/возникновения;1;1;from
Q165773;Nevel;географические координаты;1;1;from
Q165773;Nevel;код Freebase;1;1;from
Q165773;Nevel;Who's on First ID;1;1;from
Q165773;Nevel;код ОКАТО;1;1;from
Q165773;Nevel;официальный сайт;1;1;from
Q165773;Nevel;столица;1;3;to
Q165773;Nevel;основная категория по теме;1;1;from
Q165773;Nevel;место в MusicBrainz;1;1;from
Q165773;Nevel;место смерти;1;8;to
Q165773;Nevel;основные направления;1;1;to
Q165773;Nevel;место рождения;1;39;to
Q165773;Nevel;местонахождение;1;1;to
Q165773;Nevel;категория объединяет темы;1;3;to
Q165773;Nevel;основная тема;1;2;to
