entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q39061;Northern Hemisphere;названо в честь;1;1;to
Q186198;Eastern Hemisphere;тема JSTOR;1;1;from
Q186198;Eastern Hemisphere;часть от;1;1;from
Q186198;Eastern Hemisphere;код темы Quora;1;1;from
Q186198;Eastern Hemisphere;не путать с;1;1;to
Q186198;Eastern Hemisphere;код в энциклопедии «Британника онлайн»;1;1;from
Q186198;Eastern Hemisphere;это частный случай понятия;1;1;from
Q186198;Eastern Hemisphere;код LCNAF;1;1;from
Q181982;Western Hemisphere;общая тема категории;1;1;to
Q181982;Western Hemisphere;основная тема;1;195;to
Q181982;Western Hemisphere;основная категория по теме;1;1;from
Q181982;Western Hemisphere;код NKC;1;1;from
Q181982;Western Hemisphere;код Freebase;1;1;from
Q181982;Western Hemisphere;географические координаты;1;1;from
Q181982;Western Hemisphere;противоположно;1;1;to
Q181982;Western Hemisphere;тема JSTOR;1;1;from
Q181982;Western Hemisphere;категория на Викискладе;1;1;from
Q181982;Western Hemisphere;часть от;1;1;to
Q181982;Western Hemisphere;код темы Quora;1;1;from
Q181982;Western Hemisphere;не путать с;1;1;to
Q181982;Western Hemisphere;код в энциклопедии «Британника онлайн»;1;1;from
Q181982;Western Hemisphere;это частный случай понятия;1;1;from
Q181982;Western Hemisphere;код VIAF;1;1;from
Q186198;Eastern Hemisphere;категория на Викискладе;1;1;from
Q186198;Eastern Hemisphere;противоположно;1;1;to
Q41228;Southern Hemisphere;местонахождение;1;2;to
Q186198;Eastern Hemisphere;географические координаты;1;1;from
Q786270;land hemisphere;код Freebase;1;1;from
Q786270;land hemisphere;географические координаты;1;2;from
Q786270;land hemisphere;состоит из;1;1;to
Q786270;land hemisphere;противоположно;1;1;to
Q786270;land hemisphere;часть от;1;1;to
Q786270;land hemisphere;обладает свойством;1;2;from
Q786270;land hemisphere;это частный случай понятия;1;1;from
Q786270;land hemisphere;изображение;1;1;from
Q690092;water hemisphere;код Freebase;1;1;from
Q690092;water hemisphere;географические координаты;1;2;from
Q690092;water hemisphere;состоит из;1;1;to
Q690092;water hemisphere;противоположно;1;1;to
Q690092;water hemisphere;часть от;1;2;to
Q690092;water hemisphere;обладает свойством;1;2;from
Q690092;water hemisphere;это частный случай понятия;1;1;from
Q690092;water hemisphere;изображение;1;1;from
Q186198;Eastern Hemisphere;основная тема;1;23;to
Q186198;Eastern Hemisphere;находится в пределах природно-географического объекта;1;1;to
Q186198;Eastern Hemisphere;код NKC;1;1;from
Q186198;Eastern Hemisphere;код Freebase;1;1;from
Q186198;Eastern Hemisphere;Microsoft Academic ID;1;1;from
Q41228;Southern Hemisphere;общая тема категории;1;1;to
Q41228;Southern Hemisphere;основная тема;1;803;to
Q39061;Northern Hemisphere;изображение;1;1;from
Q39061;Northern Hemisphere;основная тема;1;711;to
Q39061;Northern Hemisphere;находится в пределах природно-географического объекта;1;3;to
Q39061;Northern Hemisphere;основная категория по теме;1;1;from
Q39061;Northern Hemisphere;категория карт на Викискладе;1;1;from
Q39061;Northern Hemisphere;Basque Vikidia ID;1;1;from
Q39061;Northern Hemisphere;English Vikidia ID;1;1;from
Q39061;Northern Hemisphere;Spanish Vikidia ID;1;1;from
Q39061;Northern Hemisphere;French Vikidia ID;1;1;from
Q39061;Northern Hemisphere;идентификатор Австралийского образовательного словаря;1;1;from
Q39061;Northern Hemisphere;код NKC;1;1;from
Q39061;Northern Hemisphere;код Freebase;1;1;from
Q39061;Northern Hemisphere;Microsoft Academic ID;1;1;from
Q39061;Northern Hemisphere;географические координаты;1;1;from
Q39061;Northern Hemisphere;состоит из;1;9;from
Q39061;Northern Hemisphere;противоположно;1;1;to
Q39061;Northern Hemisphere;тема JSTOR;1;1;from
Q39061;Northern Hemisphere;категория на Викискладе;1;1;from
Q39061;Northern Hemisphere;часть от;1;2;to
Q39061;Northern Hemisphere;код темы Quora;1;1;from
Q39061;Northern Hemisphere;код BabelNet;1;1;from
Q39061;Northern Hemisphere;код в энциклопедии «Британника онлайн»;1;1;from
Q39061;Northern Hemisphere;это частный случай понятия;1;1;from
Q39061;Northern Hemisphere;местонахождение;1;3;to
Q39061;Northern Hemisphere;государство;1;1;to
Q41228;Southern Hemisphere;находится в пределах природно-географического объекта;1;3;to
Q39061;Northern Hemisphere;общая тема категории;1;1;to
Q41228;Southern Hemisphere;основная категория по теме;1;1;from
Q41228;Southern Hemisphere;Basque Vikidia ID;1;1;from
Q41228;Southern Hemisphere;English Vikidia ID;1;1;from
Q41228;Southern Hemisphere;Spanish Vikidia ID;1;1;from
Q41228;Southern Hemisphere;French Vikidia ID;1;1;from
Q41228;Southern Hemisphere;идентификатор Австралийского образовательного словаря;1;1;from
Q41228;Southern Hemisphere;код NKC;1;1;from
Q41228;Southern Hemisphere;код Freebase;1;1;from
Q41228;Southern Hemisphere;географические координаты;1;1;from
Q41228;Southern Hemisphere;состоит из;1;9;from
Q41228;Southern Hemisphere;противоположно;1;1;to
Q41228;Southern Hemisphere;тема JSTOR;1;1;from
Q41228;Southern Hemisphere;категория на Викискладе;1;1;from
Q41228;Southern Hemisphere;часть от;1;3;to
Q41228;Southern Hemisphere;код темы Quora;1;1;from
Q41228;Southern Hemisphere;код в энциклопедии «Британника онлайн»;1;1;from
Q41228;Southern Hemisphere;это частный случай понятия;1;1;from
Q41228;Southern Hemisphere;код VIAF;1;1;from
Q41228;Southern Hemisphere;изображение;1;1;from
Q41228;Southern Hemisphere;названо в честь;1;1;from
Q39061;Northern Hemisphere;категория объединяет темы;1;1;to
Q786270;land hemisphere;код на сайте Арабской онтологии;1;1;from
