entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q3827;Maluku Islands;государство;1;3;from
Q24643762;Glass Islands;административно-территориальная единица;1;1;from
Q24659084;Holm of Aikerness;это частный случай понятия;1;1;from
Q24659084;Holm of Aikerness;государство;1;1;from
Q24659084;Holm of Aikerness;административно-территориальная единица;1;1;from
Q24656839;Category:Black Islands, Highland;географические координаты;1;1;from
Q24656839;Category:Black Islands, Highland;код GNS;1;1;from
Q24656839;Category:Black Islands, Highland;код GeoNames;1;1;from
Q24656839;Category:Black Islands, Highland;это частный случай понятия;1;1;from
Q24656839;Category:Black Islands, Highland;государство;1;1;from
Q24656839;Category:Black Islands, Highland;административно-территориальная единица;1;1;from
Q24643762;Glass Islands;географические координаты;1;1;from
Q24643762;Glass Islands;код GNS;1;1;from
Q24643762;Glass Islands;код GeoNames;1;1;from
Q24643762;Glass Islands;это частный случай понятия;1;1;from
Q24643762;Glass Islands;государство;1;1;from
Q24641702;Holms of Ire;географические координаты;1;1;from
Q24659084;Holm of Aikerness;код GNS;1;1;from
Q24641702;Holms of Ire;код GNS;1;1;from
Q24641702;Holms of Ire;код GeoNames;1;1;from
Q24641702;Holms of Ire;это частный случай понятия;1;1;from
Q24641702;Holms of Ire;государство;1;1;from
Q24641702;Holms of Ire;административно-территориальная единица;1;1;from
Q24641518;Hermetray Group;географические координаты;1;1;from
Q24641518;Hermetray Group;код GNS;1;1;from
Q24641518;Hermetray Group;код GeoNames;1;1;from
Q24641518;Hermetray Group;это частный случай понятия;1;1;from
Q24641518;Hermetray Group;государство;1;1;from
Q24641518;Hermetray Group;административно-территориальная единица;1;1;from
Q24641313;Groay Group;географические координаты;1;1;from
Q24641313;Groay Group;код GNS;1;1;from
Q24641313;Groay Group;код GeoNames;1;1;from
Q24659084;Holm of Aikerness;код GeoNames;1;1;from
Q24659084;Holm of Aikerness;географические координаты;1;1;from
Q24692450;Q24692450;административно-территориальная единица;1;1;from
Q24691347;Q24691347;это частный случай понятия;1;1;from
Q24691550;Q24691550;код GNS;1;1;from
Q24691550;Q24691550;код GeoNames;1;1;from
Q24691550;Q24691550;это частный случай понятия;1;1;from
Q24691550;Q24691550;государство;1;1;from
Q24691550;Q24691550;административно-территориальная единица;1;1;from
Q24691433;Pays Indien;географические координаты;1;1;from
Q24691433;Pays Indien;код GNS;1;1;from
Q24691433;Pays Indien;код GeoNames;1;1;from
