entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q1283;Dolomites;административно-территориальная единица;1;2;from
Q3855121;Q3855121;административно-территориальная единица;1;1;from
Q3845307;Q3845307;государство;1;1;from
Q3845307;Q3845307;это частный случай понятия;1;1;from
Q3845307;Q3845307;вид спорта;1;1;from
Q3845307;Q3845307;официальный сайт;1;1;from
Q3850968;Q3850968;изображение;1;1;from
Q3850968;Q3850968;это частный случай понятия;1;1;from
Q3850968;Q3850968;горный хребет;1;1;from
Q3850968;Q3850968;наивысшая точка;1;1;from
Q3855121;Q3855121;государство;1;1;from
Q3860779;Q3860779;наивысшая точка;1;1;from
Q3855121;Q3855121;изображение;1;1;from
Q3855121;Q3855121;это частный случай понятия;1;1;from
Q3855121;Q3855121;высота над уровнем моря;1;1;from
Q3855121;Q3855121;горный хребет;1;1;to
Q3855121;Q3855121;наивысшая точка;1;1;from
Q3858436;Q3858436;это частный случай понятия;1;1;from
Q3860779;Q3860779;изображение;1;1;from
Q3860779;Q3860779;это частный случай понятия;1;1;from
Q3829823;Q3829823;это частный случай понятия;1;1;from
Q3792388;Q3792388;это частный случай понятия;1;1;from
Q3792388;Q3792388;государство;1;1;from
Q3777897;Q3777897;наивысшая точка;1;1;from
Q3777614;Q3777614;горный хребет;1;2;to
Q3777614;Q3777614;наивысшая точка;1;1;from
Q3777875;Q3777875;изображение;1;1;from
Q3777875;Q3777875;это частный случай понятия;1;1;from
Q3777875;Q3777875;горный хребет;1;1;from
Q3777875;Q3777875;наивысшая точка;1;1;from
Q3777876;Q3777876;изображение;1;1;from
Q3777876;Q3777876;это частный случай понятия;1;1;from
Q3777876;Q3777876;горный хребет;1;1;from
Q3777876;Q3777876;наивысшая точка;1;1;from
Q3777881;Q3777881;изображение;1;1;from
Q3777881;Q3777881;это частный случай понятия;1;1;from
Q3777881;Q3777881;горный хребет;1;1;from
Q3777881;Q3777881;наивысшая точка;1;1;from
Q3777897;Q3777897;изображение;1;1;from
Q3777897;Q3777897;это частный случай понятия;1;1;from
Q3777897;Q3777897;горный хребет;1;1;from
Q3860779;Q3860779;горный хребет;1;1;from
Q3861914;Monte Rosa SkyMarathon;государство;1;1;from
Q3777614;Q3777614;код VIAF;1;1;from
Q18541731;Siriu Massif;горный хребет;1;1;from
Q17353368;Q17353368;наивысшая точка;1;1;from
Q17353368;Q17353368;находится в пределах природно-географического объекта;1;1;from
Q17353368;Q17353368;основная категория по теме;1;1;from
Q17353368;Q17353368;горный хребет;1;13;to
Q17353368;Q17353368;общая тема категории;1;1;to
Q18541731;Siriu Massif;государство;1;1;from
Q18541731;Siriu Massif;это частный случай понятия;1;1;from
Q18541731;Siriu Massif;код GeoNames;1;1;from
Q18541731;Siriu Massif;географические координаты;1;1;from
Q3861914;Monte Rosa SkyMarathon;это частный случай понятия;1;1;from
Q19287198;Q19287198;государство;1;2;from
Q19287198;Q19287198;изображение;1;1;from
Q19287198;Q19287198;это частный случай понятия;1;1;from
Q19287198;Q19287198;категория на Викискладе;1;1;from
Q19287198;Q19287198;ID отношения в OpenStreetMap;1;1;from
Q19287198;Q19287198;горный хребет;1;9;to
Q19287198;Q19287198;состоит из;1;2;from
Q19287198;Q19287198;наивысшая точка;1;1;from
Q17353368;Q17353368;высота над уровнем моря;1;1;from
Q17353368;Q17353368;это частный случай понятия;1;1;from
Q17353368;Q17353368;карта местонахождения;1;1;from
Q17353368;Q17353368;сделано из;1;1;from
Q3861914;Monte Rosa SkyMarathon;период события;1;1;from
Q3861914;Monte Rosa SkyMarathon;дата основания/создания/возникновения;1;1;from
Q3861914;Monte Rosa SkyMarathon;вид спорта;1;1;from
Q3861914;Monte Rosa SkyMarathon;официальный сайт;1;2;from
Q3862452;Monti Marsicani;государство;1;1;from
Q3862452;Monti Marsicani;изображение;1;1;from
Q3862452;Monti Marsicani;это частный случай понятия;1;1;from
Q3862452;Monti Marsicani;код BabelNet;1;1;from
Q3862452;Monti Marsicani;категория на Викискладе;1;1;from
Q3862452;Monti Marsicani;географические координаты;1;1;from
Q3862452;Monti Marsicani;состоит из;1;1;to
Q3862452;Monti Marsicani;часть от;1;2;to
Q3862452;Monti Marsicani;горный хребет;1;2;to
Q3862454;Q3862454;это частный случай понятия;1;1;from
Q3862454;Q3862454;горный хребет;1;1;from
Q17353368;Q17353368;административно-территориальная единица;1;1;from
Q17353368;Q17353368;государство;1;1;from
Q3777614;Q3777614;это частный случай понятия;1;1;from
Q3777614;Q3777614;изображение;1;1;from
Q19287198;Q19287198;часть от;1;2;to
Q3777409;Q3777409;это частный случай понятия;1;1;from
Q3777368;Q3777368;это частный случай понятия;1;1;from
Q3777368;Q3777368;горный хребет;1;1;from
Q3777368;Q3777368;наивысшая точка;1;1;from
Q3777401;Q3777401;изображение;1;1;from
Q3777401;Q3777401;это частный случай понятия;1;1;from
Q3777401;Q3777401;горный хребет;1;1;from
Q3777401;Q3777401;наивысшая точка;1;1;from
Q3777409;Q3777409;изображение;1;1;from
Q3777409;Q3777409;горный хребет;1;1;from
Q3777483;Q3777483;горный хребет;1;1;from
Q3777409;Q3777409;наивысшая точка;1;1;from
Q3777455;Q3777455;изображение;1;1;from
Q3777455;Q3777455;это частный случай понятия;1;1;from
Q3777455;Q3777455;горный хребет;1;1;from
Q3777473;Q3777473;изображение;1;1;from
Q3777473;Q3777473;это частный случай понятия;1;1;from
Q3777473;Q3777473;горный хребет;1;1;from
Q3777473;Q3777473;наивысшая точка;1;1;from
Q3777338;Q3777338;наивысшая точка;1;1;from
Q3777338;Q3777338;горный хребет;1;1;from
Q3777338;Q3777338;это частный случай понятия;1;1;from
Q3777338;Q3777338;изображение;1;1;from
Q3712712;Q3712712;горный хребет;1;1;from
Q3712712;Q3712712;наивысшая точка;1;1;from
Q3714397;Q3714397;это частный случай понятия;1;1;from
Q3714397;Q3714397;горный хребет;1;1;from
Q3714397;Q3714397;наивысшая точка;1;1;from
Q3714398;Dorsale dei Peloritani;это частный случай понятия;1;1;from
Q3754459;Q3754459;государство;1;1;from
Q3754459;Q3754459;это частный случай понятия;1;1;from
Q3761655;Q3761655;это частный случай понятия;1;1;from
Q3777326;Q3777326;изображение;1;1;from
Q3777326;Q3777326;это частный случай понятия;1;1;from
Q3777326;Q3777326;горный хребет;1;1;from
Q3777326;Q3777326;наивысшая точка;1;1;from
Q3777334;Q3777334;изображение;1;1;from
Q3777334;Q3777334;это частный случай понятия;1;1;from
Q3777334;Q3777334;горный хребет;1;1;from
Q3777334;Q3777334;наивысшая точка;1;1;from
Q3777483;Q3777483;это частный случай понятия;1;1;from
Q3777483;Q3777483;наивысшая точка;1;1;from
Q3777613;Q3777613;наивысшая точка;1;1;from
Q3777528;Q3777528;это частный случай понятия;1;1;from
Q3777499;Q3777499;наивысшая точка;1;1;from
Q3777502;Q3777502;изображение;1;1;from
Q3777502;Q3777502;это частный случай понятия;1;1;from
Q3777502;Q3777502;горный хребет;1;1;from
Q3777502;Q3777502;наивысшая точка;1;1;from
Q3777504;Q3777504;это частный случай понятия;1;1;from
Q3777504;Q3777504;горный хребет;1;1;from
Q3777504;Q3777504;наивысшая точка;1;1;from
Q3777528;Q3777528;горный хребет;1;1;from
Q3777489;Q3777489;изображение;1;1;from
Q3777528;Q3777528;наивысшая точка;1;1;from
Q3777531;Q3777531;изображение;1;1;from
Q3777531;Q3777531;это частный случай понятия;1;1;from
Q3777531;Q3777531;горный хребет;1;1;from
Q3777531;Q3777531;наивысшая точка;1;1;from
Q3777613;Q3777613;изображение;1;1;from
Q3777613;Q3777613;это частный случай понятия;1;1;from
Q3777613;Q3777613;горный хребет;1;1;from
Q3777499;Q3777499;горный хребет;1;1;from
Q3777499;Q3777499;это частный случай понятия;1;1;from
Q3777499;Q3777499;изображение;1;1;from
Q3777497;Nuvolau Group;наивысшая точка;1;1;from
Q3777489;Q3777489;это частный случай понятия;1;1;from
Q3777489;Q3777489;ID отношения в OpenStreetMap;1;1;from
Q3777489;Q3777489;наивысшая точка;1;1;from
Q3777490;Q3777490;изображение;1;1;from
Q3777490;Q3777490;это частный случай понятия;1;1;from
Q3777490;Q3777490;горный хребет;1;1;from
Q3777491;Q3777491;это частный случай понятия;1;1;from
Q3777491;Q3777491;горный хребет;1;1;from
Q3777491;Q3777491;наивысшая точка;1;1;from
Q3777494;Q3777494;изображение;1;1;from
Q3777494;Q3777494;это частный случай понятия;1;1;from
Q3777494;Q3777494;горный хребет;1;1;from
Q3777494;Q3777494;наивысшая точка;1;1;from
Q3777495;Q3777495;это частный случай понятия;1;1;from
Q3777497;Nuvolau Group;изображение;1;1;from
Q3777497;Nuvolau Group;это частный случай понятия;1;1;from
Q3777497;Nuvolau Group;горный хребет;1;1;to
Q19287198;Q19287198;географические координаты;1;1;from
Q19288849;Q19288849;государство;1;2;from
Q3712712;Q3712712;изображение;1;1;from
Q22668923;Куба-Таба;государство;1;1;from
Q22364087;Montagnes Vertes;административно-территориальная единица;1;1;from
Q22364087;Montagnes Vertes;государство;1;1;from
Q22364087;Montagnes Vertes;это частный случай понятия;1;1;from
Q22364087;Montagnes Vertes;код GeoNames;1;1;from
Q22364087;Montagnes Vertes;код топонима в Квебеке;1;1;from
Q22364087;Montagnes Vertes;горный хребет;1;1;from
