entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q2267920;Q2267920;административно-территориальная единица;1;1;from
Q49005334;Q49005334;код GeoNames;1;1;from
Q49005334;Q49005334;государство;1;1;from
Q49005334;Q49005334;административно-территориальная единица;1;1;from
Q49005333;Q49005333;географические координаты;1;1;from
Q49005333;Q49005333;код GNS;1;1;from
Q49005333;Q49005333;код GeoNames;1;1;from
Q49005333;Q49005333;это частный случай понятия;1;1;from
Q49005333;Q49005333;государство;1;1;from
Q49005333;Q49005333;административно-территориальная единица;1;1;from
Q49005332;Q49005332;географические координаты;1;1;from
Q49005332;Q49005332;код GNS;1;1;from
Q49005332;Q49005332;код GeoNames;1;1;from
Q49005332;Q49005332;это частный случай понятия;1;1;from
Q49005332;Q49005332;государство;1;1;from
Q49005332;Q49005332;административно-территориальная единица;1;1;from
Q49005331;Q49005331;географические координаты;1;1;from
Q49005331;Q49005331;код GNS;1;1;from
Q49005331;Q49005331;код GeoNames;1;1;from
Q49005331;Q49005331;это частный случай понятия;1;1;from
Q49005331;Q49005331;государство;1;1;from
Q49005334;Q49005334;это частный случай понятия;1;1;from
Q49005334;Q49005334;код GNS;1;1;from
Q49005330;Q49005330;географические координаты;1;1;from
Q49005334;Q49005334;географические координаты;1;1;from
Q49005338;Q49005338;административно-территориальная единица;1;1;from
Q49005337;Q49005337;географические координаты;1;1;from
Q49005337;Q49005337;код GNS;1;1;from
Q49005337;Q49005337;код GeoNames;1;1;from
Q49005337;Q49005337;это частный случай понятия;1;1;from
Q49005337;Q49005337;государство;1;1;from
Q49005337;Q49005337;административно-территориальная единица;1;1;from
Q49005336;Q49005336;географические координаты;1;1;from
Q49005336;Q49005336;код GNS;1;1;from
Q49005336;Q49005336;код GeoNames;1;1;from
Q49005336;Q49005336;это частный случай понятия;1;1;from
Q49005336;Q49005336;государство;1;1;from
Q49005336;Q49005336;административно-территориальная единица;1;1;from
Q49005335;Q49005335;географические координаты;1;1;from
Q49005335;Q49005335;код GNS;1;1;from
Q49005335;Q49005335;код GeoNames;1;1;from
Q49005335;Q49005335;это частный случай понятия;1;1;from
Q49005335;Q49005335;государство;1;1;from
Q49005335;Q49005335;административно-территориальная единица;1;1;from
Q49005331;Q49005331;административно-территориальная единица;1;1;from
Q49005330;Q49005330;код GNS;1;1;from
Q49005323;Q49005323;государство;1;1;from
Q49005326;Q49005326;географические координаты;1;1;from
Q49005326;Q49005326;код GeoNames;1;1;from
Q49005326;Q49005326;это частный случай понятия;1;1;from
Q49005326;Q49005326;государство;1;1;from
Q49005326;Q49005326;административно-территориальная единица;1;1;from
Q49005325;Q49005325;географические координаты;1;1;from
Q49005325;Q49005325;код GNS;1;1;from
Q49005325;Q49005325;код GeoNames;1;1;from
Q49005325;Q49005325;это частный случай понятия;1;1;from
Q49005325;Q49005325;государство;1;1;from
Q49005325;Q49005325;административно-территориальная единица;1;1;from
Q49005324;Q49005324;географические координаты;1;1;from
Q49005324;Q49005324;код GNS;1;1;from
Q49005324;Q49005324;код GeoNames;1;1;from
Q49005324;Q49005324;это частный случай понятия;1;1;from
Q49005324;Q49005324;государство;1;1;from
Q49005324;Q49005324;административно-территориальная единица;1;1;from
Q49005323;Q49005323;географические координаты;1;1;from
Q49005323;Q49005323;код GNS;1;1;from
Q49005323;Q49005323;код GeoNames;1;1;from
Q49005326;Q49005326;код GNS;1;1;from
Q49005327;Q49005327;административно-территориальная единица;1;1;from
Q49005330;Q49005330;код GeoNames;1;1;from
Q49005327;Q49005327;государство;1;1;from
