entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q26682;Yalalevu;административно-территориальная единица;1;1;from
Q60375541;Q60375541;географические координаты;1;1;from
Q60375540;Howe;административно-территориальная единица;1;1;from
Q60375540;Howe;государство;1;1;from
Q60375540;Howe;это частный случай понятия;1;1;from
Q60375540;Howe;географические координаты;1;1;from
Q60375541;Q60375541;административно-территориальная единица;1;1;from
Q60375541;Q60375541;государство;1;1;from
Q60375541;Q60375541;это частный случай понятия;1;1;from
Q60375542;Giersberg;административно-территориальная единица;1;1;from
Q60375539;Q60375539;это частный случай понятия;1;1;from
Q60375542;Giersberg;государство;1;1;from
Q60375542;Giersberg;это частный случай понятия;1;1;from
Q60375542;Giersberg;географические координаты;1;1;from
Q60375543;Hustedt;административно-территориальная единица;1;1;from
Q60375543;Hustedt;государство;1;1;from
Q60375543;Hustedt;это частный случай понятия;1;1;from
Q60375543;Hustedt;географические координаты;1;1;from
Q60375539;Q60375539;географические координаты;1;1;from
Q60375539;Q60375539;государство;1;1;from
Q60375555;Nottorf;административно-территориальная единица;1;1;from
Q60375531;Horst;географические координаты;1;1;from
Q60375530;Ahrensfelder Damm;административно-территориальная единица;1;1;from
Q60375530;Ahrensfelder Damm;государство;1;1;from
Q60375530;Ahrensfelder Damm;это частный случай понятия;1;1;from
Q60375530;Ahrensfelder Damm;географические координаты;1;1;from
Q60375531;Horst;административно-территориальная единица;1;1;from
Q60375531;Horst;государство;1;1;from
Q60375531;Horst;это частный случай понятия;1;1;from
Q60375534;Q60375534;административно-территориальная единица;1;1;from
Q60375539;Q60375539;административно-территориальная единица;1;1;from
Q60375534;Q60375534;государство;1;1;from
Q60375534;Q60375534;это частный случай понятия;1;1;from
Q60375534;Q60375534;географические координаты;1;1;from
Q60375536;Q60375536;административно-территориальная единица;1;1;from
Q60375536;Q60375536;государство;1;1;from
Q60375536;Q60375536;это частный случай понятия;1;1;from
Q60375536;Q60375536;географические координаты;1;1;from
Q60375544;Fössen;административно-территориальная единица;1;1;from
Q60375544;Fössen;государство;1;1;from
Q60375544;Fössen;это частный случай понятия;1;1;from
Q60375551;Hagen;это частный случай понятия;1;1;from
Q60375549;Giersdorf;географические координаты;1;1;from
Q60375550;Schogrinden;административно-территориальная единица;1;1;from
Q60375550;Schogrinden;государство;1;1;from
Q60375550;Schogrinden;это частный случай понятия;1;1;from
Q60375550;Schogrinden;географические координаты;1;1;from
Q60375551;Hagen;административно-территориальная единица;1;1;from
Q60375551;Hagen;государство;1;1;from
Q60375551;Hagen;географические координаты;1;1;from
Q60375544;Fössen;географические координаты;1;1;from
Q60375552;Grinden;административно-территориальная единица;1;1;from
Q60375552;Grinden;государство;1;1;from
Q60375552;Grinden;это частный случай понятия;1;1;from
Q60375552;Grinden;географические координаты;1;1;from
Q60375554;Nottorf;административно-территориальная единица;1;1;from
Q60375554;Nottorf;государство;1;1;from
Q60375554;Nottorf;это частный случай понятия;1;1;from
Q60375549;Giersdorf;это частный случай понятия;1;1;from
Q60375549;Giersdorf;государство;1;1;from
Q60375549;Giersdorf;административно-территориальная единица;1;1;from
Q60375548;Schanzendorf;географические координаты;1;1;from
Q60375545;Grasdorf;административно-территориальная единица;1;1;from
Q60375545;Grasdorf;государство;1;1;from
Q60375545;Grasdorf;это частный случай понятия;1;1;from
Q60375545;Grasdorf;географические координаты;1;1;from
Q60375546;Lindholz;административно-территориальная единица;1;1;from
Q60375546;Lindholz;государство;1;1;from
Q60375546;Lindholz;это частный случай понятия;1;1;from
Q60375546;Lindholz;географические координаты;1;1;from
Q60375547;Q60375547;административно-территориальная единица;1;1;from
Q60375547;Q60375547;государство;1;1;from
Q60375547;Q60375547;это частный случай понятия;1;1;from
Q60375547;Q60375547;географические координаты;1;1;from
Q60375548;Schanzendorf;административно-территориальная единица;1;1;from
