entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q173;Alabama;административно-территориальная единица;1;3007;to
Q1454;North Carolina;изображение флага;1;1;from
Q1454;North Carolina;должность главы правительства;1;1;from
Q1454;North Carolina;код в Большой каталанской энциклопедии;1;1;from
Q1454;North Carolina;код US National Archives;1;1;from
Q1454;North Carolina;портал Викимедиа;1;1;from
Q1454;North Carolina;численность населения;1;26;from
Q1454;North Carolina;десятичная классификация Дьюи;1;1;from
Q1454;North Carolina;изображение герба;1;1;from
Q1454;North Carolina;глава правительства;1;1;from
Q1454;North Carolina;имеет границы с;1;4;to
Q1454;North Carolina;официальный язык;1;1;from
Q1454;North Carolina;самая южная точка;1;1;from
Q1454;North Carolina;столица;1;1;from
Q1454;North Carolina;это частный случай понятия;1;1;from
Q1454;North Carolina;код LCNAF;1;1;from
Q1454;North Carolina;карта местонахождения;1;1;from
Q1454;North Carolina;описание герба;1;1;from
Q1454;North Carolina;код GND;1;1;from
Q1454;North Carolina;код VIAF;1;1;from
Q1454;North Carolina;код ISNI;1;2;from
Q1454;North Carolina;высший судебный орган;1;1;from
Q1454;North Carolina;самая северная точка;1;1;from
Q1454;North Carolina;самая восточная точка;1;1;from
Q1454;North Carolina;находится на берегу водоёма;1;1;from
Q1454;North Carolina;глубочайшая точка;1;1;from
Q1454;North Carolina;код GAMEO;1;1;from
Q1454;North Carolina;короткое название;1;2;from
Q1454;North Carolina;категория для людей, связанных с местностью;1;1;from
Q1454;North Carolina;категория для людей, похороненных здесь;1;1;from
Q1454;North Carolina;категория фильмов, снятых в этом месте;1;1;from
Q1454;North Carolina;код персоны/учреждения в Британском музее;1;1;from
Q1454;North Carolina;название на языке оригинала;1;1;from
Q1454;North Carolina;код TGN;1;1;from
Q1454;North Carolina;код BBC Things;1;1;from
Q1454;North Carolina;код GeoNames;1;1;from
Q1454;North Carolina;самая западная точка;1;1;from
Q1454;North Carolina;этнохороним;1;2;from
Q1454;North Carolina;описание девиза;1;1;from
Q1454;North Carolina;категория для людей, умерших здесь;1;1;from
Q1454;North Carolina;категория для людей, родившихся здесь;1;1;from
Q1454;North Carolina;текст девиза;1;2;from
Q1454;North Carolina;основной шаблон по теме;1;1;from
Q1454;North Carolina;код в энциклопедии «Британника онлайн»;1;1;from
Q1454;North Carolina;заменил;1;1;from
Q1454;North Carolina;описывается в источниках;1;5;from
Q1454;North Carolina;исполнительная власть;1;1;from
Q1454;North Carolina;законодательный орган;1;2;from
Q1509;Tennessee;место съёмок;1;1;to
Q1439;Texas;история происходит в месте;1;453;to
Q1439;Texas;расположение конечной точки;1;11;to
Q1439;Texas;место погребения;1;67;to
Q1439;Texas;происходит из;1;6;to
Q1439;Texas;тематически относится к;1;6;to
Q1439;Texas;место создания;1;70;to
Q1439;Texas;является эндемиком в;1;93;to
Q1439;Texas;место съёмок;1;16;to
Q1439;Texas;место рождения;1;529;to
Q1439;Texas;место смерти;1;110;to
Q1439;Texas;категория объединяет темы;1;695;to
Q1439;Texas;основная тема портала Викимедиа;1;1;to
Q1439;Texas;место жительства;1;57;to
Q1439;Texas;юрисдикция распространяется на;1;62;to
Q1439;Texas;dmoz;1;1;from
Q1439;Texas;место в MusicBrainz;1;1;from
Q1439;Texas;код NLI;1;1;from
Q1439;Texas;баннер Викигида;1;1;from
Q1439;Texas;галерея на Викискладе;1;1;from
Q1439;Texas;основная категория по теме;1;1;from
Q1439;Texas;FIPS 10-4 (страны и регионы);1;1;from
Q1439;Texas;расположение штаб-квартиры;1;59;to
Q1439;Texas;местонахождение;1;22;to
Q1454;North Carolina;изображение;1;1;from
Q1439;Texas;место активности;1;3;to
Q1454;North Carolina;государство;1;8;to
Q1454;North Carolina;описание флага;1;1;from
Q1454;North Carolina;административно делится на;1;2;to
Q1454;North Carolina;названо в честь;1;5;to
Q1454;North Carolina;административно-территориальная единица;1;5424;to
Q1439;Texas;энтохороним от;1;2;to
Q1439;Texas;является столицей;1;1;to
Q1439;Texas;изображённый объект;1;1;to
Q1439;Texas;находится в пользовании у;1;1;to
Q1439;Texas;общая тема категории;1;3;to
Q1439;Texas;зона обслуживания;1;5;to
Q1439;Texas;место обнаружения;1;1;to
Q1439;Texas;участник(и);1;2;to
Q1439;Texas;состоит из;1;1;to
Q1439;Texas;владельцем является;1;3;to
Q1439;Texas;место изготовления;1;4;to
Q1439;Texas;подписавшийся;1;2;to
Q1439;Texas;заменён на;1;1;to
Q1439;Texas;основная тема;1;12;to
Q1439;Texas;бассейн объекта в странах;1;2;to
Q1454;North Carolina;высота над уровнем моря;1;1;from
