entity;label;popularity
Q403671;Lisbon Airport;593
Q943743;Francisco de Sá Carneiro Airport;558
Q667001;Faro Airport;526
Q1432485;Porto Santo Airport;513
Q3571734;Lajes Airport;487
Q1431319;Flores Airport;461
Q1432755;Santa Maria Airport;456
Q1431519;Horta Airport;400
Q733738;Melbourne Airport;382
Q1432366;Pico Airport;338
Q17581;Sydney Airport;331
Q821275;Indira Gandhi International Airport;320
Q1578972;Albuquerque International Sunport;305
Q45935;Perth Airport;298
Q45523;Brisbane Airport;297
Q14302;Adelaide Airport;294
Q1348234;Eindhoven Airport;293
Q14300;Canberra International Airport;287
Q656807;Rotterdam The Hague Airport;285
Q15498;Hobart International Airport;284
Q474632;Cairns Airport;283
Q17609;Darwin International Airport;282
Q15520;Launceston Airport;281
Q698063;Maastricht Aachen Airport;281
Q1175431;Gold Coast Airport;281
Q17570;Newcastle Airport;280
Q17606;Alice Springs Airport;279
Q769099;Groningen Airport Eelde;278
Q223499;Stockholm Arlanda Airport;274
Q504368;Chhatrapati Shivaji International Airport;274
Q2298657;Townsville Airport;273
Q2567209;Whitsunday Coast Airport;271
Q903231;Sunshine Coast Airport;271
Q17443;Ballina Byron Gateway Airport;270
Q2501139;Mackay Airport;269
Q2339975;Karratha Airport;268
Q2501155;Rockhampton Airport;268
Q672289;Malta International Airport;263
Q269588;Edmonton International Airport;262
Q1323755;Winnipeg James Armstrong Richardson International Airport;256
Q740392;Sarajevo International Airport;241
Q503364;Kempegowda International Airport;239
Q278667;Rajiv Gandhi International Airport;239
Q1142219;Jorge Chávez International Airport;237
Q639161;Madeira Airport;227
Q46033;Frankfurt Airport;224
Q1137115;Gothenburg-Landvetter Airport;219
Q2137328;Ronneby Airport;218
Q1431971;Luleå-Kallax Airport;217
Q1431170;Alejandro Velasco Astete International Airport;217
Q1433305;Åre Östersund Airport;216
Q654636;Larnaca International Airport;216
Q388535;Netaji Subhas Chandra Bose International Airport;216
Q1433208;Visby Airport;215
Q898922;Malmö Airport;214
Q1433148;Umeå Airport;213
Q664946;Stockholm Skavsta Airport;213
Q1914256;Ängelholm-Helsingborg Airport;211
Q1431540;Crnl. FAP Francisco Secada Vignetta International Airport;209
Q1431740;Kiruna Airport;208
Q526488;Salt Lake City International Airport;208
Q1433108;Cap. FAP Carlos Martínez de Pinillos International Airport;207
Q2296338;Kalmar Airport;206
Q1062676;Las Américas International Airport;206
Q8703;Gatwick Airport;206
Q844825;Podgorica Airport;206
Q3275990;Cap. FAP José A. Quiñones Gonzáles International Airport;205
Q1352042;Punta Cana International Airport;205
Q1432424;João Paulo II Airport;203
Q20979014;FAP Captain David Abensur Rengifo International Airport;203
Q2181363;Halmstad Airport;202
Q1431111;Cibao International Airport;199
Q2673180;Sundsvall-Timrå Airport;198
Q1432884;Skellefteå Airport;198
Q2673175;Örnsköldsvik Airport;197
Q2625512;Örebro Airport;197
Q1433114;Cap. FAP Pedro Canga Rodríguez Airport;197
Q3085079;Ilo Airport;197
Q1155940;Växjö/Kronoberg Airport;197
Q2714211;Jönköping Airport;196
Q1050707;Paphos International Airport;196
Q944839;Dala Airport;195
Q26256;Lycksele Airport;194
Q1933087;Trollhättan-Vänersborg Airport;194
Q659349;Tivat Airport;194
Q580554;Norrköping Airport;194
Q1933061;Hemavan-Tärnaby Airport;194
Q734482;Karlstad Airport;194
Q581683;Capitán FAP Renán Elías Olivera Airport;194
Q3503582;Kristianstad Airport;194
Q1430874;Arvidsjaur Airport;193
Q1150868;Kramfors-Sollefteå Airport;193
Q1431883;Linköping/Saab Airport;192
Q615917;Gällivare Airport;192
Q592172;Cochin International Airport;190
Q1933049;Vilhelmina Airport;189
Q1432282;Pajala Airport;189
Q59733;La Isabela International Airport;189
Q1432951;São Jorge Airport;189
Q3502552;Härjedalen Sveg Airport;188
Q401700;Sardar Vallabhbhai Patel International Airport;188
Q176634;Graciosa Airport;188
Q502670;Chennai International Airport;186
Q635361;Fort Lauderdale–Hollywood International Airport;185
Q156971;EuroAirport Basel-Mulhouse-Freiburg;181
Q2213149;Hagfors Airport;180
Q1262548;Samaná El Catey International Airport;179
Q26215;Mora-Siljan Airport;177
Q1431173;Dabolim Airport;174
Q844281;Gothenburg City Airport;171
Q2502553;Torsby Airport;170
Q1432987;Cap. FAP Víctor Montes Arias Airport;170
Q572387;Jaipur International  Airport;170
Q2673008;Lokpriya Gopinath Bordoloi International Airport;168
Q8731;Los Angeles International Airport;168
