entity;label;popularity
Q14686;Gulf of Finland;386
Q2630311;Florida Bay;197
Q41573;Bay of Biscay;183
Q76925;Venetian Lagoon;166
Q216868;Chesapeake Bay;158
Q174731;Gulf of Riga;156
Q223810;James Bay;146
Q1144680;Gulf of Morbihan;133
Q1394912;False Bay;125
Q224101;Guanabara Bay;118
Q141017;Tokyo Bay;114
Q131217;Gulf of Thailand;110
Q41430;Gulf of Guinea;107
Q232264;San Francisco Bay;107
Q1004067;Frobisher Bay;104
Q999162;Osaka Bay;84
Q786805;Penzhina Bay;82
Q1134573;Coronation Gulf;77
Q667456;Oslofjord;76
Q213367;Gdańsk Bay;75
Q494927;Peter the Great Gulf;73
Q1368308;Ise Bay;70
Q181857;Bay of Fundy;67
Q876470;Gulf of Maine;67
Q1165951;Ungava Bay;65
Q738808;Delaware Bay;64
Q894564;Boston Harbor;64
Q5596;Curonian Lagoon;64
Q1323629;Gulf St Vincent;63
Q639399;Shelikhov Gulf;63
Q1059646;Chaleur Bay;62
Q1130771;Sivash;61
Q156116;Prydz Bay;59
Q201385;Gulf of Naples;58
Q81611;Gulf of Aqaba;57
Q141727;Marguerite Bay;57
Q41837;Gulf of Aden;57
Q209682;Gulf of Corinth;56
Q1267413;Georgian Bay;56
Q845217;Foxe Basin;56
Q747189;Cardigan Bay;56
Q934883;Gulf of Patras;55
Q156123;Lützow-Holm Bay;55
Q217487;Shark Bay;55
Q186733;Great Australian Bight;55
Q1059534;Tampa Bay;52
Q938327;Cumberland Sound;52
Q3235968;Swansea Bay;50
Q181969;Bohai Sea;50
Q211779;Saronic Gulf;49
Q1129590;Cook Inlet;49
Q1324526;Port Phillip Bay;48
Q140290;Bay of Plenty;48
Q192738;Gulf of Taranto;46
Q676154;Manila Bay;45
Q1360927;Moray Firth;45
Q1509253;Gulf of Nicoya;44
Q195413;Solway Firth;44
Q1108019;Korfa Bay;44
Q648954;Spencer Gulf;44
Q367304;Gulf of Patience;44
Q1137498;Kandalaksha Gulf;43
Q5605;Vistula Lagoon;43
Q212428;Gulf of Tonkin;43
Q49557;Ariake Sea;42
Q3396731;Cardiff Bay;42
Q908701;Onega Bay;42
Q281813;Holme Bay;41
Q1310944;Baía de Todos os Santos;41
Q481734;Amur Bay;41
Q207468;Bay of Kotor;41
Q844003;Gulf of Gonâve;41
Q79948;Gulf of Oman;41
Q1961204;Olyutorsky Gulf;41
Q1512616;Golden Bay;40
Q938838;Kvarner Gulf;40
Q161591;Kola Bay;40
Q1061221;Sagami Bay;40
Q489472;Toyama Bay;39
Q754365;Penobscot Bay;39
Q933264;Gulf of Fonseca;39
Q426453;Scoresby Sound;39
Q27698;Neva Bay;39
Q700309;Bay of Lübeck;39
Q917872;Bristol Bay;39
Q1241943;Narragansett Bay;39
Q844799;Gulf of Paria;39
Q2326240;Gulf of Kronotsky;38
Q288912;Étang de Berre;38
Q312433;Schlei;37
Q1138301;New York Harbor;37
Q1679819;Jamaica Bay;36
Q795608;Gulf of Honduras;36
Q999055;San Pablo Bay;35
Q2211837;Saginaw Bay;35
Q894682;Botany Bay;35
Q1064776;Upper New York Bay;34
Q915250;Chaunskaya Bay;34
Q3182027;Brunei Bay;34
Q1201023;Suruga Bay;33
Q913418;Thermaic Gulf;33
Q5595169;Grand Traverse Bay;33
Q1154346;Mikawa Bay;33
Q1947589;Moreton Bay;33
Q2618618;Dnieper-Bug Estuary;32
Q631282;Prince William Sound;32
Q321837;German Bight;32
