entity;label;popularity
Q12046593;Danube basin;11798
Q4079154;Volga Basin;7716
Q2887503;Ob Basin;5602
Q1434368;Rhine basin;2713
Q46474054;Limpopo basin;1715
Q2887540;Dnieper basin;1024
Q2362283;Río de la Plata Basin;1006
Q2887512;Neva basin;940
Q12046596;Elbe Basin;934
Q66360664;Tobol River basin;928
Q8352403;Ebro Basin;745
Q2887520;Vistula basin;671
Q28842084;Pripyat basin;628
Q13370189;Neman Basin;564
Q34361511;Dniester Basin;520
Q46511967;Orange River basin;520
Q2887499;Yenisei basin;514
Q2485172;Meuse basin;506
Q244451;Amazon basin;495
Q2887549;Po basin;491
Q46129179;Susquehanna River basin;483
Q9210293;Oder Basin;482
Q2887546;Mississippi River System;464
Q51885235;estuary basin of the Saint Lawrence River;461
Q2887550;Rhône basin;418
Q5793719;Tagus Basin;386
Q2887510;Loire basin;372
Q28031866;Saint Maurice River basin;358
Q8352402;Douro basin;351
Q2887506;Garonne basin;342
Q534290;Murray–Darling basin;339
Q31837222;Neckar basin;318
Q28872990;Desna basin;317
Q2887515;Seine basin;314
Q44725607;Ohio River basin;288
Q50561121;Օտտավայի ավազան;288
Q12774312;Váh Basin;286
Q2887539;Columbia basin;282
Q2887511;Lena basin;275
Q28920951;Sozh basin;262
Q12046607;Vltava Basin;261
Q8240299;Amur basin;228
Q20925112;Bug Basin;222
Q65920861;Q65920861;222
Q72972391;Terek River Basin;218
Q932289;Congo basin;214
Q63345427;Lake Superior basin;214
Q46514643;Delaware River basin;212
Q67516169;James Bay Basin;202
Q50346401;Бассейн Тетерева;192
Q47004199;Nottaway River basin;189
Q15758768;Yangtze River basin;184
Q38684;Bay of Bengal;180
Q47272171;Missouri River basin;179
Q44766800;Snake River basin;174
Q66360783;Maine basin;172
Q50375272;Q50375272;171
Q63345804;Lake Michigan basin;166
Q46202253;Saône basin;156
Q46514967;Potomac River basin;155
Q2887548;Nile basin;153
Q64767961;Nelson-Churchill river basin;151
Q50903488;Ara river basin;145
Q26861213;Guadalquivir Basin;144
Q63611073;bassin du Saguenay;143
Q22680049;Pregolya Basin;143
Q36218698;Q36218698;141
Q34589;Euphrates;141
Q66360729;Allier basin;140
Q2887573;Dordogne basin;140
Q47004520;Connecticut River basin;139
Q46181533;Green River Basin;139
Q63346276;Lake Ontario basin;134
Q35086304;Oise basin;133
Q46126990;Colorado River basin;131
Q66360751;Vienne basin;131
Q20906226;Narew Basin;127
Q2887577;Scheldt basin;125
Q9301187;Pacific Rim;125
Q52241593;Neris basin;125
Q44758029;Arkansas River basin;125
Q5521121;Ganges Basin;125
Q46210901;Willamette River basin;118
Q66360739;Cher basin;118
Q47499617;Mobile River basin;112
Q6475771;Lake Erie basin;112
Q46951458;Allegheny River basin;110
Q14210889;Chao Phraya basin;109
Q13614993;Q13614993;109
Q52279832;Q52279832;107
Q46200876;Durance basin;106
Q63345678;Lake Huron basin;105
Q46201399;Isère basin;104
Q44720395;Tennessee River basin;103
Q72898527;West Branch Susquehanna River Basin;102
Q5793713;Guadiana River basin;102
Q52186615;Q52186615;101
Q70205427;Q70205427;101
Q46507260;Indus basin;100
Q46128668;Sacramento River basin;98
Q51991620;Q51991620;95
Q52228982;Rio Grande basin;95
Q46999340;James River basin;94
Q46507717;Mekong River basin;93
Q44715398;Atlantic Ocean basin;90
Q66360810;Tarn basin;90
Q28186695;Yukon River Basin;89
Q47202308;Raritan River basin;88
Q66360868;Lot basin;88
Q23661732;Q23661732;87
Q2887518;Orinoco basin;87
Q34359193;Maritsa Basin;86
Q46998372;Monongahela River basin;85
Q50127527;Berezina River Basin;85
Q4993045;Tyresån Lake System;84
Q66360809;Aveyron basin;82
Q14594747;Zambezi Basin;80
Q46513730;Adige basin;80
Q66356888;South Platte River basin;80
Q58456151;Norwegian Sea basin;78
Q46558295;Q46558295;78
Q49990054;Kemijoki basin;78
Q66360858;Truyère basin;76
Q35098207;Basin of River Ourthe;75
Q44732907;San Joaquin River basin;75
Q66556162;Valdivia Basin;75
Q49990602;Paatsjoki basin;75
Q6643992;list of tributaries of the Niger;74
Q2887553;Paraíba do Sul basin;73
Q2887517;Vilaine basin;73
Q5793715;Júcar Basin;73
Q50419786;Batiscanie;72
Q86454885;Q86454885;72
Q9642983;São Francisco River basin;71
Q46220672;Gila River basin;71
Q46200369;Ain basin;70
Q72975980;Oswego River Basin;70
