entity;label;popularity
Q3227834;The Triumph of the Republic;96
Q185382;Trevi Fountain;52
Q717956;Unisphere;49
Q4865203;Bartholdi Fountain;46
Q152072;Manneken Pis;45
Q14626964;Latona Fountain;41
Q746063;Villa d'Este;38
Q5316041;Dupont Circle Fountain;36
Q3076255;fontaine de l'Observatoire;34
Q6023031;Goya memorial;33
Q55752855;Saint Francis Fountain;32
Q27229660;Q27229660;32
Q55742275;state archives fountain;31
Q1426406;Universal Post Monument;31
Q56037467;courtyard fountain school house Stapfenacker;31
Q58877696;Fonte da Rampa do Mercado;31
Q2132659;town hall courtyard fountain;30
Q55807490;Ziegler hospital ball fountain;30
Q55401244;Konservatoriumbrunnen;30
Q2887473;Bassin de Cérès, ou de l'Été;30
Q58336725;decorative fountain complex Rose Garden Bern;30
Q2558694;International Telecommunication Union Monument;29
Q56872882;abandoned fountain Marzilibad;29
Q55978944;source of life;29
Q3076272;fontaine du Fellah;29
Q1435791;fontaine des Innocents;29
Q15948823;fontaine de la Pyramide;29
Q685445;Vennerbrunnen;29
Q1452707;Ryfflibrunnen;29
Q55482767;Willy Liechti memorial fountain;29
Q1619388;fontaine Saint-Sulpice;29
Q56117657;fountain St. Paul's Church;28
Q2027080;Meret Oppenheim fountain;28
Q58092450;decorative fountain complex Bümpliz cemetery;28
Q3076218;fontaine de la Vierge;28
Q27229893;Widmer-Zwyssig-Brunnen;28
Q47914792;Bärenplatz fountain;28
Q55740141;fox fountain;28
Q55815813;fountain pumping station Schönau;28
Q2887459;Q2887459;28
Q2887478;Bassin de Flore, ou du Printemps;28
Q2887493;Bassin de Saturne, ou de l'Hiver;28
Q17510112;Shaftesbury Memorial Fountain;27
Q3076294;fontaine du jardin Villemin;27
Q56570011;Schwanengasse fountain;27
Q55755623;Wylerbad fountain;27
Q645374;Fountain of Neptune, Florence;27
Q55814199;fountain playground Untere Humboldtstrasse;27
Q55990936;Burgerspital fountain;27
Q55732993;fountain Rossfeld schoolhouse;27
Q27229664;Q27229664;26
Q56651684;water play on the Bundesplatz;26
Q66467300;fountain Schlossmatt;26
Q2887491;Neptune Fountain;26
