entity;label;popularity
Q51;Antarctica;19999
Q21590062;Antarctic Treaty area;19011
Q132959;Sub-Saharan Africa;3655
Q43266;Moravia;3485
Q4412;West Africa;2746
Q7204;Middle East;2368
Q5428;Siberia;1864
Q27394;Southern Africa;1280
Q27407;East Africa;1226
Q18097;Korea;1209
Q17252;Tibet;1126
Q78967;Peloponnese;1067
Q27381;North Africa;727
Q664609;Caribbean;710
Q39473;Transylvania;689
Q170143;Banat;663
Q27275;Central Asia;616
Q11708;Southeast Asia;542
Q81720;Silesia;530
Q102911;Holland;470
Q23792;Palestine;461
Q211778;Lake District;430
Q166919;Thessaly;426
Q45551;Czech Silesia;356
Q2328124;Tierra de Campos;240
Q692712;Hegau;232
Q205047;Kurdistan Region;198
Q101081;Provence;194
Q12585;Latin America;194
Q59542795;countries with 70 years pma or shorter;182
Q61830521;countries with 80 years pma or shorter;178
Q183464;Livonia;177
Q60332278;countries with 100 years pma or shorter;176
Q18869;Caucasus;163
Q21195;Scandinavia;157
Q4210;Thuringian Forest;152
Q1286223;South Wales;141
Q41470;Kurdistan;140
Q13780930;worldwide;138
Q169132;Punjab;136
Q3746183;Persia;134
Q8614;Westphalia;131
Q27468;Eastern Europe;130
Q152356;Eifel;130
Q80338;Bengal;125
Q9301187;Pacific Rim;125
Q27509;Central Europe;124
Q81126;Manchuria;120
Q109057;Mecklenburg;120
Q2729021;Agder;115
Q2915499;Upper Galilee;115
Q844837;Southern California;114
Q83241;Galilee;110
Q27231;East Asia;108
Q135028;Nubia;108
Q850235;Midlands;108
Q2915691;Lower Galilee;106
Q1231;Kosovo;103
Q158490;Gaeltacht;101
Q217265;Cappadocia;101
Q12898802;Arcadia;101
Q1084560;Northwest Highlands;98
Q7332669;Ridge-and-Valley Appalachians;97
Q25389;Jutland;95
Q81734;Macedonia;94
Q771405;South Asia;93
Q27433;Central Africa;91
Q44302;Nagorno-Karabakh;89
Q11812551;Swabia;88
Q620864;Cilicia;88
Q153809;Tyrol;85
Q103251;Macedonia;85
Q132646;Bactria;84
Q669037;West Indies;84
Q105206;Bukovina;84
Q186822;Lofoten;83
Q81483;Levant;81
Q7943;Upper Lusatia;81
Q1315785;Turkestan;80
Q150907;Franconia;79
Q3359409;Micronesia;78
Q27293;Western Asia;78
Q6877935;Baden;78
Q274536;Azerbaijan;76
Q12707;Great Plains;76
Q35942;Polynesia;75
Q185072;Courland;75
Q27479;Northern Europe;74
Q165269;East Frisia;74
Q27496;Western Europe;72
Q62132;Sápmi;72
Q143487;Arab world;72
Q32047;Illyria;72
Q667529;Blue Mountains;72
Q27996474;Northern Netherlands;70
Q28227;Maghreb;69
Q32530;Lusatia;69
Q1507;Patagonía;68
Q207989;Southern Italy;68
Q169977;Hejaz;68
Q152243;Rhineland;67
Q192435;Tripolitania;66
Q19188;Mainland China;65
Q104028;Judea;63
Q28662813;Celtiberian Range;63
Q2841453;Amazonia;63
Q315496;Upper Harz;63
Q66065;Sahel;61
Q184319;Adélie Land;60
Q15643114;Pitsilia;59
Q27449;Southern Europe;59
Q189999;Queen Maud Land;59
Q1066807;Northern California;57
Q37736;North Caucasus;57
Q37394;Melanesia;56
Q828357;Sunshine Coast;56
Q4345530;Northern Italy;56
Q2397204;Karabakh;54
Q208643;Malay Archipelago;54
Q165198;Cyrenaica;54
Q485112;Puntland;53
Q1294629;Samaria;53
Q1134643;Southern England;52
Q850620;Périgord;52
Q169276;Allgäu;52
Q60140;Indian subcontinent;51
Q111224;Holstein;51
Q12612;Western United States;51
Q542146;South India;51
Q580631;East Anglia;50
Q163329;Canaan;50
Q160570;Friuli;50
Q46178;Kabylie;50
Q329505;Southern Jutland;50
Q326359;Palatinate;49
Q186545;Midwestern United States;49
Q3845;Western New Guinea;48
Q208154;Najd;48
Q208965;Victoria Land;48
Q859413;Big Sur;48
Q4194;Sauerland;48
Q1196306;Tōkaidō;48
Q701658;Mecklenburg Lake District;48
Q62900839;all countries;47
Q380307;Labrador;47
Q1555938;Antarctic;47
Q118574;Altiplano;47
Q166131;Antilles;47
Q148689;Lower Lusatia;46
Q185032;Pannonian Basin;46
Q188736;Bosnia;46
Q596660;New Territories;45
Q190600;Central Greece;45
Q933;South Pole;45
Q575289;Mühlviertel;45
Q12353254;North Pacific Ocean;45
Q184313;Magna Graecia;43
Q708317;Vogtland;43
Q182647;Khwarezm;42
Q10334749;Memphite necropolis;42
Q153464;Bergisches Land;42
Q203073;Ross Dependency;42
Q213137;East Indies;41
Q643843;Mazovia;41
Q1396047;Far North Queensland;41
Q1137314;Laponian area;41
Q875134;European Russia;41
Q83857;Great Hungarian Plain;41
Q266703;Salzkammergut;41
Q322620;Warmia;41
Q1892770;North Wales;41
Q48214;Near East;41
Q178085;Principality of Zeta;41
Q333934;Swiss Plateau;40
Q1362696;Pilbara;40
Q641203;Armorica;40
Q179842;Tibetan Plateau;40
Q10975458;Maramureș;40
Q184430;Zeelandic Flanders;40
Q622778;Tonkin;40
Q618370;Graham Land;40
Q1334003;Saikaidō;40
Q821626;Meseta;39
Q45256;Australasia;39
Q3537754;Transnistria;39
Q1700;Münsterland;39
Q43708;Bermuda Triangle;39
Q203751;Upper Egypt;38
Q4302536;Mordovskaya Autonomous Oblast;38
Q1185346;Demerara;38
Q1072077;North Hungarian Mountains;38
Q1048669;Latium;38
Q4492881;Frisia;37
Q42530;tropics;37
Q29223;Theban Necropolis;37
Q632014;Mid-Atlantic;37
Q952483;Connemara;37
Q1998401;North Yemen;37
Q105472;Macaronesia;37
Q604496;Fennoscandia;37
Q550691;Malwa;36
Q12603;Pacific Northwest;36
Q377916;Ibero-America;36
Q194242;Sudetenland;36
Q911639;Transdanubian Mountains;36
Q858847;Southwestern United States;36
Q819339;Bergstraße;36
Q14324291;South European Russia;36
Q848308;Sepik;36
Q155321;Land of Israel;35
Q181103;Balochistan;35
Q29876;Middle America;35
Q1134547;Ellsworth Land;34
Q3626;Chilean Antarctic Territory;34
Q46519;Southern Germany;34
Q1190137;Greater Boston;34
Q866405;East Antarctica;33
Q46613;Northern Germany;33
Q850526;Betuwe;33
Q851955;Bundelkhand;32
Q24460;Northeastern United States;32
Q1139046;Southeastern United States;32
Q1237299;Southern France;32
Q19044;Svaneti;32
Q19868;Montferrat;32
Q442655;Altmark;32
Q463871;Lower Egypt;32
Q4903676;Bickley;32
Q2118709;European Netherlands;32
Q225400;Waldviertel;32
Q228608;South Limburg;32
Q475403;Bernese Oberland;31
Q1634214;Volga Region;31
Q1551170;Palmer Land;31
Q2215414;Natural and Cultural Heritage of the Ohrid region;31
Q3396247;Q3396247;31
Q10555398;Kuban;31
Q11390;Lesser Poland;31
Q1480109;Southern Lebanon;30
Q900636;Central and Eastern Europe;30
Q263686;Southeast Europe;30
Q598570;Sloboda Ukraine;30
Q7567226;South Florida;30
Q170526;Fertile Crescent;30
Q644111;Transbaikal;30
Q2018923;Upstate New York;29
Q815834;Masuria;29
Q5317255;Dutch Caribbean;29
Q14204659;Badlands and Black Hills;29
Q1192701;Western Thrace;28
Q262269;Farther Pomerania;28
Q580447;Duchy of Styria;28
Q337417;Acadiana;28
Q605779;Wilkes Land;28
Q2354215;Central London;28
Q616912;Jungfrau-Aletsch protected area;28
Q1464033;West Friesland;28
