entity;label;popularity
Q5456;Andes;3649
Q178611;Jura Mountains;363
Q1288;Carpathian Mountains;308
Q187843;Vosges Mountains;273
Q186547;Scandinavian Mountains;260
Q5463;Rocky Mountains;255
Q190695;Central Massive;176
Q4219;Rothaargebirge;176
Q1262;Graian Alps;144
Q208076;Cantabrian Mountains;143
Q5955;Altai Mountains;125
Q831469;Baetic System;112
Q669883;Franconian Jura;110
Q156684;Alaska Range;106
Q4236;Siebengebirge;100
Q2504871;Cordillera Penibética;85
Q25220;Swiss Alps;80
Q895152;Boundary Ranges;71
Q181311;Bregenz Forest Mountains;67
Q710305;Central Mountain Range;66
Q1089367;Chugach Mountains;66
Q18630638;Schwyz Alps;63
Q1577859;Snowy Mountains;63
Q559784;Serra do Mar;57
Q26955;Sierra Nevada;50
Q920070;Coast Mountains;46
Q1980627;Armorican Massif;46
Q207313;Mid-Atlantic Ridge;45
Q3360096;Queen Fabiola Mountains;37
Q713776;Xueshan Range;31
Q1514701;Kenai Mountains;30
Q828541;Tordrillo Mountains;29
Q3323158;monts du Vivarais;28
Q200635;Mantiqueira Mountains;28
Q7653625;Swannell Ranges;25
Q3297613;Ardenne;24
Q917429;Matobo Hills;24
Q8439;Monts du Lyonnais;22
Q284639;Hudson Highlands;22
Q7878579;Tmolus;21
Q845183;Kuskokwim Mountains;19
Q2367275;Safēd Kōh;18
Q783415;Talkeetna Mountains;18
Q1441442;Jebel Uweinat;18
Q3576627;King Leopold Ranges;17
Q1072536;Chigmit Mountains;16
Q3531488;Knuckles Mountain Range;15
Q2655719;Mongolian Altai;15
Q7675677;Tahtsa Ranges;14
Q958383;Espinhaço Mountains;14
Q22594224;Hanegretji;13
Q1195285;Nanling Mountains;13
Q4984088;Budawang Range;12
Q1256114;Pioneer Heights;12
Q20019202;Lely range;12
Q327434;Austrian Alps;12
Q20019224;Nassau Mountains;12
Q2667865;Saylyugem Mountains;12
Q575665;Tatun Volcano Group;12
Q2496769;Chuya Alps;11
Q12277118;Golešnica;11
Q24818699;Prinsesse Elisabeth Alper;11
Q2577955;Western Sakhalin Mountains;10
Q19385688;Prinsesse Caroline-Mathilde Alper;10
Q5002638;Butler Range;10
Q5161754;Connelly Range;9
Q7106798;Osilinka Ranges;9
Q5450547;Finlay Ranges;9
Q47472190;Brownsberg Mountains;9
Q8060838;Yukon Ranges;9
Q5922596;Howson Range;9
Q4876074;Beady Range;9
Q3663438;Kanin;9
Q6032207;Ingenika Range;9
Q7988085;Western Mountains;8
Q19600141;Amatusuk Hills;8
Q5533090;Genevieve Range;8
Q5639115;Haihte Range;8
Q4999944;Burniston Range;8
Q4830396;Axelgold Range;8
Q4680103;Adamant Range;8
Q3005437;Q3005437;8
Q5177085;Countess of Dufferin Range;8
Q4101391;Bei Shan;7
Q10881907;Q10881907;7
Q19829545;Ida;7
Q4999597;Burnaby Range;7
Q5642225;Halifax Range;7
Q21901500;Rocky Mountains;7
Q5346121;Edwards Range;7
Q5526693;Gastineau Range;7
Q7037714;Nimmel Range;7
Q1272442;Limestone Alps;6
Q4946141;Bornite Range;6
Q14875809;Blackwelder Mountains;6
Q17164193;Yingé Ling;6
Q8044311;Xiaoxiangling;6
Q2118899;Purog Kangri;6
Q10782299;Bloods Range;6
Q10881223;Q10881223;6
Q11751363;Kuruktag;6
Q2204331;Sinai mountain range;6
Q20898307;Topo La Laguna;6
Q17266521;Sierra de las Cabras;5
Q16847510;Broughton Peaks;5
Q15898954;Q15898954;5
Q13408442;Jizhen Mountain;5
Q13375066;Tiantang Peak;5
Q5016644;Cadwallader Range;5
Q1110181;Q1110181;4
Q16926222;Q16926222;4
Q16163461;Q16163461;4
Q20536520;Zirabulak mountains;4
Q64848883;Предальпы;4
Q15950675;Mengshan Mountains;3
Q6835495;Q6835495;3
Q11114261;Q11114261;3
Q10934783;Q10934783;3
Q10938707;Q10938707;3
Q10885137;Q10885137;3
Q15894619;Mengzhu Mountains;3
Q6832845;Dayu Mountains;3
Q28408636;Q28408636;3
Q6851340;Q6851340;2
Q9378825;Q9378825;2
Q10896104;Q10896104;2
Q10396703;Q10396703;2
Q10508461;Q10508461;2
Q10510439;Q10510439;2
Q19947234;Sierra Caral;2
Q10879023;Jiulianshan;2
Q6832590;Q6832590;2
Q11149375;Q11149375;2
Q10917213;Q10917213;2
Q18654288;Haiyang Mountains;2
Q18652371;Q18652371;2
Q17498516;Q17498516;2
Q10925571;Q10925571;2
Q10933802;Q10933802;2
Q10957905;Q10957905;2
Q15901376;Q15901376;2
Q11076827;Q11076827;2
Q15894765;Q15894765;2
Q15894398;Q15894398;2
Q11087950;Q11087950;2
Q11112706;Q11112706;2
Q11181165;Q11181165;2
Q18088753;Q18088753;1
