entity;label;popularity
Q1875;Arkhangelsk Oblast;2887
Q6585;Irkutsk Oblast;2870
Q6886;Amur Oblast;1790
Q5462;Sverdlovsk Oblast;1783
Q1697;Moscow Oblast;1572
Q5387;Kirov Oblast;1286
Q2015;Vologda Oblast;1184
Q7971;Magadan Oblast;1068
Q6076;Kemerovo Oblast;1046
Q7797;Sakhalin Oblast;1044
Q2246;Nizhny Novgorod Oblast;1041
Q2292;Tver Oblast;976
Q2191;Leningrad Oblast;948
Q5884;Tomsk Oblast;897
Q5338;Orenburg Oblast;842
Q2596;Kostroma Oblast;810
Q5714;Chelyabinsk Oblast;760
Q1759;Murmansk Oblast;734
Q2240;Novgorod Oblast;670
Q3573;Rostov Oblast;645
Q2448;Yaroslavl Oblast;645
Q2218;Pskov Oblast;634
Q5851;Novosibirsk Oblast;596
Q3819;Volgograd Oblast;582
Q2347;Smolensk Oblast;574
Q1749;Kaliningrad Oblast;563
Q2792;Tula Oblast;543
Q5835;Omsk Oblast;543
Q5824;Tyumen Oblast;537
Q2654;Ivanovo Oblast;513
Q1727;Samara Oblast;508
Q2753;Ryazan Oblast;499
Q5334;Saratov Oblast;497
Q2702;Vladimir Oblast;483
Q3447;Voronezh Oblast;478
Q2842;Kaluga Oblast;453
Q2810;Bryansk Oblast;424
Q3178;Kursk Oblast;387
Q5741;Kurgan Oblast;363
Q5545;Penza Oblast;360
Q3550;Tambov Oblast;348
Q3510;Lipetsk Oblast;315
Q3129;Oryol Oblast;308
Q3329;Belgorod Oblast;304
Q5634;Ulyanovsk Oblast;303
Q3941;Astrakhan Oblast;219
