entity;label;popularity
Q12090757;Wasson Oil Field;26
Q754632;Athabasca oil sands;20
Q2990565;Orinoco Belt;19
Q909690;Brent field;18
Q24412;Hibernia oil field;17
Q8022769;Wilmington Oil Field;17
Q1323379;Ekofisk oil field;17
Q2296730;Statfjord oil field;16
Q7365491;Roncador Oil Field;15
Q1734853;Kashagan Field;15
Q943055;Lula oil field;15
Q12163535;Q12163535;15
Q16001431;Abqaiq oil field;14
Q2602814;Spindletop;14
Q12078989;Arenque Oil Field;14
Q12158728;Swan Hills Oil Field;14
Q4531376;Al Kifl;13
Q2608771;Chicontepec Formation;13
Q5799720;Vaca Muerta oil field;13
Q2060371;Santos Basin;13
Q1639678;Khurais oil field;12
Q7161923;Pembina oil field;12
Q588383;Gullfaks oil field;12
Q14954517;Hides gas field;12
Q56366958;Q56366958;12
Q1996660;Maracaibo Basin;12
Q23706039;Leduc-Woodbend Oilfield;12
Q4567071;Draugen oil field;11
Q7191006;Pico Canyon Oilfield;11
Q4292860;Midway-Sunset Oil Field;11
Q27519;Shaybah;10
Q1761937;Bombay High;10
Q2004739;Sakhalin-II;10
Q2635133;Troll field;10
Q1583743;Mittelplate;10
Q1604978;Prudhoe Bay Oil Field;10
Q7920387;Ventura Oil Field;10
Q4199344;Illinois Basin;10
Q22008301;Patos;10
Q23697101;Acae;10
Q2044903;East Texas Oil Field;9
Q34819482;Bartelso Oil Field;9
Q31491901;Rock Creek Oil Field;9
Q751862;Kovykta field;9
Q1093731;Daqing Field;9
Q2671176;Baba Gurgur;9
Q741935;Ghawar Field;9
Q23643161;First Commercial Oil Field;9
Q2441654;Safaniya Oil Field;9
Q31529666;Spindletop Oil Field;9
Q6958218;Naft Shahr;9
Q31468854;Armer Oil Field;8
Q31465183;Amacker Tippett Oil Field;8
Q31468495;Arenosa Oil Field;8
Q31468915;Armstrong Branch Gas Field;8
Q31465751;Amrow Oil Field;8
Q31469744;Aspermont Lake Oil Field;8
Q31467914;Appleton Oil Field;8
Q31467366;Anton West Oil Field;8
Q31466190;Andector Oil Field;8
Q31469918;Atapco Oil Field;8
Q31467352;Anton - Irish Clear Fork Oil Field;8
Q31466382;Andrews North Oil Field;8
Q31470082;Athey Oil and Gas Field;8
Q49099134;Theodore Roosevelt Oil Field;8
Q31466407;Andrews South Oil Field;8
Q31464388;Allarmarks Oil Field;8
Q32053955;Hassi Messaoud;8
Q31461579;Adair Oil Field;8
Q31576574;Eldorado Canyon Gas Field;8
Q31796499;Bayou Jonas Gas Field;8
Q31594567;Yantis Gas and Oil Field;8
Q21963315;Moonie Oil Field;8
Q22012339;Devoll;8
Q23706038;Turner Valley Oilfield;8
Q31583498;West Well;8
Q31808988;Lutrick Oil Field;8
Q23810707;Hassi Mazoula;8
Q23955393;Al Ghardaqah;8
Q31580804;Weigang Oil Field;8
Q31578968;Escondido Oil Field;8
Q31574108;Vogtsberger Oil Field;8
Q31461454;Ackerly Oil Field;8
Q31868818;Ad Dammām;8
Q31874402;Al Lughfah;8
Q31890897;Ash Shaybah;8
Q31477292;Bakke Oil Field;8
Q7100335;Orcutt Oil Field;8
Q7067294;Noxal oil field;8
Q34928174;Buena Vista Oil Field;8
Q5199856;Cymric Oil Field;8
Q31532894;Stehle Oil Field;8
Q31461006;Abell Oil and Gas Field;8
Q31461180;Abra;8
Q31471624;Azalea Oil Field;8
Q17163924;Q17163924;8
Q1014779;Burgan field;8
Q31493084;Bayview Oil Field;8
Q31487115;Barnhart Oil Field;8
Q31494309;Beaverton Gas Field;8
Q2502448;Oseberg oil field;8
Q31486866;Barlow Bend Oil Field;8
Q1801811;Heidrun field;8
Q31487709;Barrytown Oil Field;8
Q31487810;Bartlett Oil Field;8
Q975050;Ixtoc I oil spill;8
Q3091347;Piper oilfield;8
Q31484346;Bankston Gas Field;8
Q34830654;Oza;8
Q31487138;Barnwell Gas Field;8
Q34936595;Gorham Oil Field;8
Q31481272;Ball Kuehn Oil Field;8
Q1150989;Shengli Oil Field;8
Q31494159;Beaver Creek Gas Field;8
Q664409;Sakhalin-I;8
Q31580740;Weger Oil Field;7
Q31581490;Feldman Oil and Gas Field;7
Q31581388;Fayette Gas Field;7
Q31581203;Farnsworth Oil Field;7
Q31580203;Way Lake Oil Field;7
Q31581170;Farmer Oil Field;7
Q31581038;Welch Oil Field;7
Q31580275;Wayside Gas Field;7
Q31513206;Brown and Thorp Oil Field;7
Q31580291;Wayside Oil Field;7
Q31580306;F and H Oil Field;7
Q31580960;Fanny Church Oil Field;7
Q31580663;Fairview Oil and Gas Field;7
Q31580836;Weiland Oil Field;7
Q31581520;Wemac Oil Field;7
Q31580724;Weesatche Gas Field;7
Q31513156;Brown Oil Field;7
Q31527526;South Cold Creek Oil Field;7
Q31581568;Wendland Oil Field;7
Q31581584;Wentz Oil and Gas Field;7
Q31582680;Flat Rock Oil Field;7
Q31582621;West Jasper Gas Field;7
Q31582531;Flanagan Harris Oil Field;7
Q31582492;West George West Oil Field;7
Q31582456;West Foley Gas Field;7
Q31582438;West Fayette Gas Field;7
Q31582369;West Detroit Gas Field;7
Q31512569;Bronte Oil Field;7
Q31582269;West Conroe Oil Field;7
Q31582234;West Columbia Oil Field;7
Q31582218;West Cole Oil Field;7
Q31582169;West Chico Oil Field;7
Q31582151;West Charlotte Oil Field;7
Q31582033;West Big Foot Gas Field;7
Q31582016;West Bend Oil Field;7
Q31582000;West Beaumont Oil Field;7
Q31581936;West Barrytown Oil Field;7
Q31581728;Fields Oil Field;7
Q31581704;Wesley Chapel Gas Field;7
Q31581672;Wescott Oil Field;7
Q31579422;Water Valley Oil Field;7
Q31513022;Brown Bassett Gas Field;7
Q31581643;Fernbank Gas Field;7
Q31579867;Watson Creek Gas Field;7
Q31578445;Warmsley Oil Field;7
Q31579305;Waskom Gas and Oil Field;7
Q31574147;Volcano Oil Field;7
Q31574898;East Shafter Lake Oil Field;7
Q31574855;East Oyster Bay Gas Field;7
Q31574774;East Means Oil Field;7
Q31574594;East Howard County Oil Field;7
Q31574562;East Goldsmith Oil Field;7
Q31574487;W B D Oil Field;7
Q31574465;East Detroit Oil and Gas Field;7
Q31574312;East Bayou Jonas Gas Field;7
Q31574280;Voth Oil Field;7
Q31574182;Von Ormy Oil Field;7
Q31514908;Scott Delaware Oil Field;7
Q31578856;Warsaw Oil Field;7
Q31574073;Vocation Oil Field;7
Q31574025;Vivian Oil Field;7
Q31573800;Virey Oil Field;7
Q31573392;Durham Oil Field;7
Q31573196;Dunn Creek Gas Field;7
Q31573065;Dune Oil Field;7
Q31572688;Vienna Gas Field;7
Q31572617;Vidor North Oil Field;7
Q31572276;Vickie Lynn Oil Field;7
Q31572179;Viboras Oil Field;7
Q31575010;East Tunstill Oil Field;7
Q31575040;East Vealmoor Oil Field;7
Q31575055;East Watson Creek Gas Field;7
Q31575481;Waddell Oil Field;7
Q31578609;Warren Gas Plant;7
Q31578507;Warner Oil Field;7
Q31582920;West Oil Field;7
Q31578273;Warfield Oil Field;7
Q31577920;Ward Estes North Oil Field;7
Q31513688;Brush Creek Gas Field;7
Q31577818;Emma Oil Field;7
Q31577701;Embar Oil Field;7
Q31577221;Walnut Bend Oil Field;7
Q31577114;Elkhorn Oil Field;7
Q31577084;Wallers Creek Oil Field;7
Q31577002;Wallace Oil Field;7
Q31576706;Walker Oil Field;7
Q31576689;Walker Oil Field;7
Q31514456;Scharbauer Oil Field;7
Q31514602;Schoolhouse Branch Gas Field;7
Q31576297;El Mar Oil Field;7
Q31576279;El Mar Oil Field;7
Q31576183;El Cinco Oil Field;7
Q31576142;Waha Oil Field;7
Q31575837;Edwards Oil Field;7
Q31582789;West McCracken Mountain Gas Field;7
Q31583198;West Sadler Oil Field;7
Q31582938;West Oil Field;7
Q31590446;Germania Oil Field;7
Q31592584;Woodlawn Oil Field;7
Q31592539;Woodlawn Gas Field;7
Q31592306;Woodbine Oil Field;7
Q31591286;Winnsboro Oil Field;7
Q31591151;Winkler County Oil Field;7
Q31590949;Windthorst Oil Field;7
Q31590836;Gibson Oil Field;7
Q31590491;Wimberly Oil Field;7
Q31590474;Wimberly Oil Field;7
Q31590457;Wilton Oil Field;7
Q31590178;George Allen Oil Field;7
Q31592975;Woodson Oil Field;7
Q31589877;Wilshire Oil Field;7
Q31589816;Willrode Oil Field;7
Q31509010;Sand Hills South Oil Field;7
Q31589685;Willow Slough Oil Field;7
Q31589321;Willis Oil Field;7
Q31589224;Garza Oil Field;7
Q31589048;Garner Oil Field;7
Q31588946;Williams Oil Field;7
Q31588534;William Wise Oil Field;7
Q31588309;Willamar Oil Field;7
Q31592841;Woods Creek Gas Field;7
Q31593206;Woolbank Creek Gas Field;7
Q31509787;Sanford Yake Oil Field;7
Q31594805;Yeager Oil Field;7
Q31796738;Chittim Gas Field;7
Q31796517;Belding Oil and Gas Field;7
Q31507085;Board Tree Branch Gas Field;7
Q31596575;Zion Chapel Oil Field;7
Q31595872;Yturria Oil Field;7
Q31595780;Yoward Oil Field;7
Q31595605;Yorktown Gas Field;7
Q31595116;Yellow House Oil Field;7
Q31595072;Yellow Creek Oil Field;7
Q31595057;Yellow Creek Gas Field;7
Q31594642;Yarbrough Allen Oil Field;7
Q31593280;Word Oil Field;7
