entity;label;popularity
Q253763;Munich Waldfriedhof;229
Q8955156;Old Christian cemetery;153
Q562211;Ohlsdorf Cemetery;152
Q739334;Botanical Garden of Brussels;151
Q1441598;Osterley Park;144
Q3521808;The Maryland Zoo;139
Q5319309;Dyrham Park;120
Q1030655;Nordfriedhof;118
Q190494;Zentralfriedhof Friedrichsfelde;109
Q2278595;Elswout;105
Q2152268;Riensberger Friedhof;98
Q2982903;Calgary Zoo;97
Q833646;Bois de la Cambre;92
Q9686;Berlin Tempelhof Airport;89
Q3028205;Jardim da Luz;87
Q1131807;Buen Retiro park;83
Q7756167;The Parks at Chehaw;82
Q3036898;Great Cemetery;81
Q511560;Amsterdamse Bos;71
Q746216;Ueno  Imperial Grant Park;69
Q1419691;Vondelpark;69
Q5817032;Ramos de Azevedo Park;65
Q212248;Ibirapuera Park;64
Q321716;Kunsthalle Bielefeld;64
Q1627748;Hoppenlau Cemetery;64
Q2627907;Maria Luisa Park;59
Q3364212;Gatineau Park;58
Q2678888;Leopoldpark;57
Q531028;Moyland Castle;57
Q2340684;Park of Versailles;56
Q1794858;Real Jardín Botánico de Madrid;56
Q3364358;Wolvendael Park;55
Q1021372;Q1021372;54
Q2994456;Askold's Grave;52
Q2054755;Sonsbeek Park;51
Q2469784;Kenaupark;51
Q383296;Olympiapark;50
Q37956832;Colorado state park;50
Q165401;Mainau;49
Q49495906;Buddy Attick Lake Park;48
Q1069635;Daguan Yuan;48
Q438119;Alter Nordfriedhof;47
Q155921;Bletchley Park;46
Q1948006;Bronbeek;45
Q1360424;Brooklyn Botanic Garden;45
Q5603701;Greenbelt Park;45
Q212867;Park Güell;44
Q635559;Golden Gate Park;44
Q4366100;Mariëndaal;44
Q694020;Großer Tiergarten;44
Q22477136;Parc de Dieppe;43
Q264752;Prater;43
Q5610647;Grosvenor Park;43
Q4870017;Battle Creek Cypress Swamp Sanctuary;43
Q652464;Kolomenskoye;42
Q10353440;Campo de Santana;41
Q1547682;Jurong Bird Park;41
Q2736153;Lincoln's Inn Fields;41
Q2306339;Rizal Park;40
Q804697;Balboa Park;40
Q4345217;Park of Eternal Glory;39
Q688588;Stadtpark (Vienna);39
Q5471590;Fort Marcy Park;39
Q855493;Exhibition of achievements of national economy;39
Q7339918;Roath Park;39
Q41411344;Nathan Benderson Park;39
Q549557;Natural park of Ebro Delta;38
Q449256;Sanssouci Park;38
Q1142072;Richmond Park;38
Q7198235;Piscataway Park;37
Q17390197;Fundação Calouste Gulbenkian, incluindo o parque, a sede, o museu, o CAM e os jardins;37
Q35052761;Fort Foote Park;37
Q216914;St. James's Park;37
Q260223;Englischer Garten;37
Q1671664;Invalid's Park;37
Q2483461;Eagle Creek Park;36
Q6062671;Málaga Park;36
Q639321;Museumplein;36
Q1570958;Hampstead Heath;36
Q49518888;Long Branch Park;36
Q3554948;Vasquez Rocks;35
Q49489885;Fleming Park;35
Q7581222;Springvale Botanical Cemetery;35
Q6906313;Montreal Park;35
Q147994;Tsaritsyno Park;35
Q156308;parc Mużakowski;34
Q933185;U Thant Island;34
Q263567;Rose Island;34
Q1101790;Cinquantenaire;34
Q4917608;Bishop John Carroll;33
Q574773;Herrenhausen Gardens;33
Q316385;Archaeological Park of Xanten;33
Q5940360;Humboldt Park;33
Q1207208;Hiroshima Peace Memorial Park;32
Q4883717;Belle Vue Park;32
Q3569306;Windsor Great Park;32
Q2030715;Parc de Saint-Cloud;32
Q25711;Brühl's Terrace;32
Q5331845;Ebey's Landing National Historical Reserve;32
Q6936260;Municipal Park;32
Q929586;Greenwich Park;31
Q345279;Łazienki Park;31
Q197889;Zhongnanhai;31
Q458423;Amboseli National Park;31
Q2630165;Quinta da Regaleira;31
Q1017532;Bushy Park;31
Q2551235;Wimbledon Common;31
Q49510697;Kilgour Branch Park;31
Q1407381;Parkfriedhof Eichhof;31
Q550215;Pincian Hill;30
Q2664573;Park Zypendaal;30
Q7926695;Victoria Embankment Gardens;30
Q34888251;Cloverly Park;30
Q49485987;Edwin Warner Park;30
Q34895266;Bedfordshire Park;30
Q473655;WinSport;30
Q810947;Battersea Park;30
Q264176;Schlossberg;30
Q1126911;Frogner Park;30
Q2851321;Westmoreland Circle;30
Q2167108;Rose Garden Bern;30
Q3991;parc de la Tête d'Or;30
Q17255048;Frederikspark;29
Q65115208;sculpture park ZPK;29
Q1065157;Turnham Green;29
Q907935;Wallanlagen, Bremen;29
Q666937;Treptower Park;29
Q12033431;Libuše's valley;29
Q14236790;Timucuan Ecological and Historic Preserve;29
Q3180096;Jay Pritzker Pavilion;29
Q2195300;Q2195300;29
Q2500590;Quinta da Boa Vista;29
Q30091535;Q30091535;28
Q896879;Eremitage;28
Q55560475;Charlottetown Boulder Park;28
Q2104197;Poppelsdorfer Allee;28
Q1932161;Mierendorffplatz;28
Q377937;Phoenix Park;28
Q17286384;Florapark;28
Q3500538;Stromovka;28
Q126877;Gorky Park;28
Q5619226;Gunnersbury Park;28
Q3364237;Victory Park;27
Q49547482;Rachel Carson Conservation Park;27
Q707673;Hofgarten;27
Q732723;Paklenica;27
Q315105;Babelsberg Park;27
Q677478;Orangery Palace;27
Q639503;Ischigualasto Provincial Park;26
Q28555724;Dark Star Park;26
Q1046524;Casa de Campo;26
Q1196357;Goryōkaku;26
Q2054028;Parque da Independência;26
Q648023;Volkspark Friedrichshain;26
Q23987268;Q23987268;26
Q63313652;The Hollies;26
Q65555607;Serpentine Barrens Conservation Park;26
Q1892311;Brussels Park;26
Q1378379;Tanjung Puting;26
Q896095;Schlachtensee;26
Q3114740;Q3114740;25
Q31868440;Q31868440;25
Q1812685;Mon Repos;25
Q58211292;Abu Nabut Park;25
Q11157352;Denisovy sady;25
Q4974613;Brookgreen Gardens;25
Q5084151;Charleston Historic District;25
Q33607458;Q33607458;25
Q15188938;Armley Park;25
Q935426;Tatshenshini-Alsek Provincial Park;25
Q63251296;Oamaru Public Gardens;25
Q2737408;Huis Randenbroek;25
Q1892753;Nachtegalen Park;25
Q656092;Tähtitorninvuori;25
Q10344938;Dom Pedro II Park;25
Q7622525;Strawbery Banke;25
Q49562405;Sligo Creek Park;25
Q3573265;José Antonio Labordeta Grand Park;25
Q446470;Großer Garten;25
Q3364173;Park of Woluwe;25
Q34872460;Cashell Road Park;25
Q3895574;Parco di Pinocchio;25
Q4744430;American Memorial Park;25
Q34826745;Ayrlawn Park;25
Q10327237;Buçaco Forest;24
Q5457206;Flamengo Park;24
Q1368319;Esplanadi park;24
Q574740;Gardens of Bomarzo;24
Q895757;Neuzelle Abbey;24
Q1186358;Nara Park;24
Q707996;Shei-Pa National Park;24
Q6801765;McKeldin Mall;24
Q1487222;Kleine Schanze;24
Q464302;Gärten der Welt;24
Q1801127;parc de Laeken;24
Q7115740;Oxon Cove Park and Oxon Hill Farm;24
Q3034489;Domaine de Maizerets;24
Q7930443;Montalvo Arts Center;24
Q5472326;Fort Willard;23
Q317712;Luisenburg Rock Labyrinth;23
Q1340614;Griffith Park;23
Q324404;Luisenstadt Canal;23
Q49533428;Northwest Branch Recreational Park;23
Q14714868;Luchob Park;23
Q3921376;Valkhof;23
Q953021;Neverland Ranch valley;23
Q3363931;Parque Trianon;23
Q17511186;"""Stavros Niarchos"" Foundation Cultural Center";23
Q468080;Stiftung Louisenlund;23
Q1229234;Summer Garden;23
Q34898773;Big Pines Park;23
Q1136239;Mokotów Field;23
Q6389295;Kenilworth Park and Aquatic Gardens;23
Q3363835;Jarry Park;23
Q30063757;Q30063757;23
Q12046170;Polanka;23
Q2439153;Q2439153;23
Q8023885;Winckley Square;23
Q4926460;Bligh Park;22
Q2123262;Lincoln Park;22
Q17528654;Sandleford Priory;22
Q1144894;Hyde Park;22
Q5567715;Glen Echo Park;22
Q2919335;Constitution Gardens;22
Q1914181;Maximiliansanlagen;22
Q2596294;Wätjens Park;22
Q5471103;Fort Dupont Park;22
Q4074487;Babolovsky Park;22
Q896699;Kamp Abbey;22
Q1900234;Gardens of Babur;22
Q4417968;The Park «Nearest Dubki»;22
Q2378783;Alexandria Park;22
Q3390595;Monza Park;22
Q5171862;Cornish–Windsor Covered Bridge;22
Q4875976;Beacon Park;22
Q1677091;Luitpoldpark;22
Q702512;Lustgarten;22
Q263620;Villa Bosch;22
Q157543;Dessau-Wörlitz Garden Realm;22
Q14629010;Garden Bridge;22
Q7228410;Pontypool Park;22
Q2755982;Botaniska trädgården;21
Q202120;Luisenpark;21
Q1132854;Parc Jean-Drapeau;21
Q685790;Taman Mini Indonesia Indah;21
Q1075966;Kitanomaru Kōen;21
Q18157983;Shepherd Parkway;21
Q1273451;Knoops Park;21
Q1883754;Gijsbrecht van Aemstelpark;21
Q2383906;Kronenburger park;21
Q7053214;Norra Bantorget;21
Q33026202;Q33026202;21
Q2180936;Weverij De Ploeg;21
Q21933129;Maitland Park;21
Q4869025;Bathhouse Row;21
Q620593;Göreme National Park;21
Q878589;Karlsaue;21
Q599868;Kalemegdan Park;21
Q1723253;Kamp;21
Q1747665;Waldfriedhof Solln;21
Q49515257;Layhill Village Park;21
Q527309;Münden Nature Park;21
Q24662487;Wrest Park;21
Q879411;Rheinpark;21
Q3495894;Kings Park;21
Q6682294;Los Angeles Plaza Historic District;21
Q3034583;La Garenne Lemot;20
Q1493336;Gan HaShlosha National Park;20
Q24937141;Villa Ghigi;20
Q1281961;Osterholzer Friedhof;20
Q2304363;Saxon Garden;20
Q1288001;Südfriedhof;20
Q3464842;Fogelsanghstate;20
Q3363962;Egmont Park;20
Q3916683;Wilhelminapark;20
Q314807;New Garden;20
Q2660476;Sloterpark;20
Q655469;Amstelpark;20
Q1472498;Alexander Garden;20
Q437979;Alter Johannisfriedhof;20
Q49509955;Kemp Mill Urban Park;20
Q6705512;Luther Burbank Home and Gardens;20
Q523126;Landschaftspark Duisburg-Nord;20
Q1438470;Fort Canning Hill;20
Q1104673;Flower Garden;20
Q1679743;Diemelsee Nature Park;20
Q846554;Catherine Park;20
Q23891167;Kew Green;20
Q5422096;Exton Hall;20
Q7248232;Professorville;20
Q150118;Osaka Castle Park;20
Q5471362;Fort Hoskins;20
Q67895212;Holland Park;19
Q11902127;Väinölänniemi;19
Q816289;Villa Belvoir;19
Q26789281;Hackfall;19
Q33303738;Q33303738;19
Q4345277;Shevchenko Park;19
Q639887;Mauerpark;19
Q1755551;Meru National Park;19
Q7330860;Richmond Hill;19
Q1344130;Nassau Nature Park;19
Q645372;Sarphatipark;19
Q7969746;Warner Parks;19
Q23305508;Q23305508;19
Q896516;Grugapark;19
Q10345496;Parque de Serralves;19
Q49541380;Percy Warner Park;19
Q37105676;"Park of Environmental Information and Sensitisation ""Antonis Tritsis""";19
Q7123089;Paco Park;19
Q10344974;Parque Ecológico do Tietê;19
Q34902450;Bohrer Park;19
Q7073647;Oak Park, County Carlow;19
Q844407;The Domain;19
Q1837660;Fawkner Park;19
Q1872824;Arboretum Trompenburg;19
Q11456009;Fujikawa craft park;19
Q11279302;Miyama Park;19
Q5265854;Detroit Arsenal Tank Plant;19
Q962417;Q962417;19
Q1713427;Jungfernheide;19
Q12060086;Tyrš gardens, Třebíč;19
Q49476139;Buffalo Park;19
Q3363883;Wroclaw South Park;19
Q5599679;Great Northern Railway Buildings;18
Q3022307;Sochi Arboretum;18
Q513382;Frederiksberg Park;18
Q24575493;Q24575493;18
Q22074035;Parque Santos Dumont;18
Q8032756;Woodhouse Moor;18
Q7336808;Rittenhouse Square;18
Q437891;Старое кладбище в Грайфсвальде;18
Q7516362;Silver Stadium;18
Q5472324;Fort Wilkins Historic State Park;18
Q454707;Steigerwald Nature Park;18
Q15261189;Naval Live Oaks Reservation;18
Q11566601;Great Seto Bridge Memorial park;18
Q494440;Planten un Blomen;18
Q3446446;Yushan National Park;18
Q3266956;Shiba Park;18
Q54537529;Sain Joseph Pinetum Forest (Madrid);18
Q1845531;Beatrixpark;18
Q12019297;Havlíčkovy sady;18
Q3141469;Trädgårdsföreningen;18
Q3134180;Hermann Park;18
Q1416462;Großer Garten;18
Q2532125;Humboldthain;18
Q15216664;English Park;18
Q7633480;Sudbrook Park;18
Q894630;Botanischer Volkspark Blankenfelde-Pankow;18
Q2750074;Grand-Pré National Historic Site;18
Q18005426;Parc de Vallparadís;18
Q689324;Ernst-Thälmann-Park;18
Q10345088;Doce River State;18
Q34901130;Blockhouse Point Park;18
Q63038868;Yeatman's Cove;18
Q5371866;Nakajima Park;18
Q30307643;Tyršův sad;18
Q1556913;Gut Emkendorf;18
Q9390932;Q9390932;18
Q5415905;Evans Diamond;18
Q7968477;War Memorial Park;18
Q25510008;Q25510008;18
Q11718531;Q11718531;18
Q1534495;Heidegg Castle;18
Q1533091;Kopli cemetery;18
Q181044;Trent Park;18
Q2420748;Thieles Garten;18
Q4941306;Bond Swamp National Wildlife Refuge;18
Q1466446;Клостербергегартен;18
Q691377;Catherinehof;18
Q2506336;Pavlovsk Park;18
Q2503978;Royal Garden of Prague Castle;18
Q6859199;Miller Park;18
Q527972;Union Square;18
Q6470901;Velebit Nature Park;18
Q57382574;Highland Park;18
Q1854781;Vērmanes Garden;18
Q1021367;Bürgerpark Pankow;18
Q12639311;Papuk Nature Park;18
Q21641475;Marientahl Park;18
Q10345413;Parque da Aclimação;18
Q2637120;Alaun park;18
Q3678371;Cittadella di Parma;17
Q7960024;Waikiki Shell;17
Q1339602;Riverside Park;17
Q49535955;Q49535955;17
Q1298335;Moerenuma Park;17
Q1310674;Tompkins Square Park;17
Q21468226;Private Dacha;17
Q7432780;Schous plass;17
Q17591071;Park Rijnstroom;17
Q12023534;Janáčkovo stromořadí;17
Q2147560;Rheinaue;17
Q2160843;Rivierenhof;17
Q7446116;Sefton Park;17
Q1550835;Q1550835;17
Q250285;Lincoln Park;17
Q25402561;Gan Le’ummi Shimron;17
Q38040116;Smetanovy sady;17
Q2297522;Sofiyivsky Park;17
Q28673092;Q28673092;17
Q180009;Villa Haas;17
Q29478675;Sleeping Giant State Park;17
Q18770528;Q18770528;17
Q4228425;Colonizer's Park;17
Q2718912;Oosterpark;17
Q11640658;Roadside station Utsunomiya romantic-Mura;17
Q2010954;Obersee;17
Q11627810;Nishiyama park;17
Q6898210;Monarto Zoo;17
Q2004591;Rucker Park;17
Q2565135;Westfalenpark;17
Q2896269;Robert Allerton Park;17
Q2915656;Van Cortlandt Park;17
Q7190091;Gan Ha'atzmaut;17
Q3062877;Kaisaniemi Park;17
Q63465;Glover Garden;17
Q7505;Priorate park;17
Q11579677;Shirasaki Kaiyo park;17
Q6810044;Meijō Park;17
Q3363774;Assiniboine Park;17
Q4993079;Olaf Ryes plass;17
Q5929174;Hueco Tanks State Historic Site;17
Q6149037;Heiwa Park;17
Q6349786;Kal-Haven Trail;17
Q16947298;Kolmikulma;17
Q8022334;Willow Metropark;17
Q5025465;Cambridge Junction Historic State Park;17
Q56413444;Engepromenade;17
Q1108053;Parque García Sanabria;17
Q30100895;Q30100895;17
Q13098965;Q13098965;17
Q32651320;Pappelallee Cemetery;17
Q943688;Fragrant Hills;17
Q625312;Villa Gregoriana;17
Q4845618;Yacambú National Park;17
Q63038639;Sawyer Point;17
Q10323617;Mangal das Garças;17
Q5872914;Hiyama Prefectural Natural Park;17
Q1276582;Parque Tres de Febrero;17
Q10856734;Wilsonův les;17
Q1162330;The Dunes of Corrubedo and lakes of Carregal and Vixán Natural Park;17
Q1200884;Inokashira Park;17
Q4319227;Нижний парк;17
Q60743759;Farnley Hall Park;17
Q33325260;Q33325260;16
Q2897273;Fallen Monument Park;16
Q30072687;Q30072687;16
Q3070296;Old Church Park;16
Q2562401;Fælledparken;16
Q6742728;Malcolm X House;16
Q2532119;Volkspark Rehberge;16
Q2519690;Andasibe-Mantadia National Park;16
Q4920338;Black Bayou Lake National Wildlife Refuge;16
Q3364133;Q3364133;16
Q2985076;Lodi Gardens;16
Q6794182;Maverick Stadium;16
Q11426038;Jonanjima Kaihin Park;16
Q3133813;Beijers Park;16
Q6062766;Parc de la Devesa;16
Q3133545;Shikina-en;16
Q15210687;Circular Park;16
Q389366;Morokulien;16
Q67315062;Haslam Park;16
Q3122189;Erasmuspark;16
Q3034546;Château de Valgenceuse;16
Q646284;National Garden of Athens;16
Q4804996;Fort Klamath;16
Q2464508;Türkenschanzpark;16
Q11405791;Senshū park;16
Q2753218;Shuvalovsky Park;16
Q1465350;Fritz-Encke-Volkspark;16
Q1708465;Chianti Sculpture Park;16
Q1709677;Wulsdorfer Friedhof;16
Q21619055;Q21619055;16
Q21652364;Abashiri Sports Training Field;16
Q1796150;Königliche Villa (Regensburg);16
Q7220129;Edith Wolfson Park;16
Q10345511;Parque Botânico do Monteiro-Mor;16
Q60666072;Q60666072;16
Q30225954;Palace Park in Kamień Śląski;16
Q1595319;Heiliges Grab Görlitz;16
Q2054035;Parque de El Capricho;16
Q11811497;Sielecki Park in Sosnowiec;16
Q2074133;Herăstrău Park;16
Q23890580;Kalamaja Cemetery Park;16
Q5430659;Fairmount Water Works;16
Q1557074;Q1557074;16
Q239518;Pumalín Park;16
Q25089266;Jenisch park;16
Q11811316;Q11811316;16
Q5059201;Centennial Parklands;16
Q994667;Westpark;16
Q11397314;Q11397314;16
Q2312608;Bilderdijkpark;16
Q7049983;Nopporo Shinrin Kouen Prefectural Natural Park;16
Q7517190;Silwood Park;16
Q2640532;Holyrood Park;16
Q1279487;Bavarian Rhön Nature Park;16
Q320525;Monbijou Park;16
Q2686981;Ørstedsparken;16
Q3267478;Lundagård;16
Q4710971;Albert Park and Lake;16
Q4290201;Memorial park complex of the heroes of the First World War;16
Q3510321;Kinského zahrada;16
Q7731820;The Ellipse;16
Q1378533;Hibiya Park;16
Q66265653;Landgoed Heerdeberg;16
Q6095071;Quinta del Duque del Arco;16
Q4061458;Alexandriysky Park;16
Q4583462;Palace Park;16
Q493929;Kelvingrove Park;16
Q3649808;Caguana Indigenous Ceremonial Center;16
Q11526829;Higashi Hirao park;16
Q3543369;Quezon Memorial Circle;16
