entity;label;popularity
Q1623756;Hohenloher Ebene;123
Q1412534;Filder;106
Q12707;Great Plains;76
Q870258;Plain of Jars;58
Q191862;East European Plain;51
Q681964;Slavonia;46
Q185032;Pannonian Basin;46
Q910335;Bresse;44
Q3085789;Sredorek;42
Q83857;Great Hungarian Plain;41
Q1241026;Danubian Plain;41
Q208347;Gran Chaco;40
Q1531915;Q1531915;39
Q157603;Pantanal;39
Q166004;North German Plain;37
Q202207;Po Valley;30
Q191566;West Siberian Plain;29
Q184382;Pampas;29
Q218907;Sharon Plain;28
Q665570;Little Hungarian Plain;28
Q1052758;Llano Estacado;28
Q1139073;Crau;27
Q1091567;Upper Thracian Plain;25
Q1133595;Meridiani Planum;25
Q2496723;Ararat plain;25
Q1045112;Carrizo Plain;23
Q1081023;Bonneville Salt Flats;23
Q737789;Caspian Depression;23
Q914789;Fucine Lake;22
Q114731;Beauce;22
Q2388955;Záhorská Nížina;22
Q1548512;High Plains;22
Q1127195;Tihamah;21
Q857848;Campo Imperatore;20
Q6379939;Kawdy Plateau;20
Q1924039;Messara Plain;19
Q1359850;Betpak-Dala;19
Q10500509;Q10500509;19
Q246831;Çukurova;19
Q663843;Baraba steppe;19
Q381050;Nullabor Plain;19
Q575516;Turan Depression;19
Q4991540;Serengeti;18
Q20497167;Q20497167;18
Q4492616;Fraser Plateau;17
Q1366782;Escalante Desert;17
Q611417;Myzeqe;17
Q1334481;Elysium Planitia;17
Q1001294;Antarctic Plateau;16
Q877091;European Plain;16
Q1347148;North Siberian Lowland;16
Q1160995;Pampa de Achala;16
Q2671409;Barkly Tableland;16
Q3110985;Sedna Planitia;16
Q1519076;Sardarapat Memorial;15
Q575240;Kolyma Lowland;15
Q218632;Zollfeld;15
Q1357166;Limagne;15
Q21891497;Greys Plains;15
Q25460004;Q25460004;15
Q147304;North China Plain;15
Q192305;Indo-Gangetic Plain;15
Q212520;Lower Rhine Plain;14
Q54553007;Q54553007;14
Q446478;Magdeburg Börde;14
Q57556013;Pla de Boavi;14
Q1124865;Kanto Plain;14
Q60644905;Tecuci Plain;14
Q6502593;Puszta;14
Q3401280;Nebraska Sand Hills Mixed Grasslands;14
Q5179375;Covurlui;14
Q947716;Isjim steppe;14
Q1489743;Papel Pampa;13
Q1756467;Pontine Marshes;13
Q1219939;Nyírség;13
Q116737;Curragh;13
Q1759733;Pampa Aullagas;13
Q20498167;Q20498167;13
Q6467710;Labyrinth;13
Q21961816;Stockyard Plain;13
Q60583424;Forbidden Plateau;13
Q3317118;Mitidja;13
Q5467377;Forbidden Plateau;12
Q530334;Q530334;12
Q1402471;Q1402471;12
Q1396049;Snake River Plain;12
Q623373;Aquitaine Basin;12
Q691344;Piano di Magadino;12
Q3182351;Plain of the Cul-de-Sac;12
Q4524083;Шинуайрская равнина;12
Q4828398;Avery Plateau;12
Q1586218;Planum Australe;12
Q1993049;Nineveh plains;12
Q1853751;Meshchera Lowlands;12
Q4105169;Vasyuganskaya Ravnina;12
Q1033781;Canterbury Plains;12
Q2563675;Skarvsnes Foreland;12
Q1766863;Pampa del Tamarugal;12
Q1014774;Q1014774;12
Q3389669;Pla de Beret;11
Q3390973;Plaine de Néré à Bresdon;11
Q1682479;Yano-Indigirskaya Nizmennost';11
Q2429269;Центральноберезинская равнина;11
Q1791945;Kulunda steppe;11
Q1571584;Haller Ebene;11
Q2916524;Beit Netofa Valley;11
Q2540394;Fyrisvellir;11
Q7138347;Parker Mesa;11
Q1204093;Nōbi Plain;11
Q954942;Campidano;11
Q25379290;Pomerantz Tableland;11
Q60998814;Q60998814;11
Q6744681;Malta Plateau;11
Q509214;Vastitas Borealis;11
Q5046865;Carse of Gowrie;11
Q4894891;Plain of Vic;11
Q16370351;Урцадашт;11
Q1500703;Tsentral'noyakutskaya Ravnina;11
Q857312;Aeolis Palus;11
Q31878242;Barotse Flood Plain;10
Q18006721;planell de Sant Esperit;10
Q19397954;Westliches Hochfeld;10
Q3240982;Aginskaya Step';10
Q20787126;Maudheimvidda;10
Q17586721;planell d'Aigüestortes;10
Q25459675;Kalocsai-Sárköz;10
Q7734883;The Fortress;10
Q7713264;The Altiplano;10
Q4386948;Old Crow Flats;10
Q14864340;Edward VIII Plateau;10
Q7548102;Snøtoa Terrace;10
Q4284149;Масрикская равнина;10
Q21907649;Liverpool Plains;10
Q6121709;Jaeger Table;10
Q66759276;Q66759276;10
Q5687082;Haynes Table;10
Q12294890;Q12294890;10
Q3504423;Petrovo Field;10
Q5313171;Duken Flat;10
Q5367498;Else Platform;10
Q5571284;Glopeflya Plain;10
Q1032671;Hajdúság;10
Q999016;Q999016;10
Q370426;Mesaoria;10
Q1176495;Мезёфёльд;10
Q1122513;Kuznetsk Depression;10
Q1094103;Osaka Plain;10
Q3623001;Yukon Plateau;9
Q23996082;La Noguera;9
Q49598124;Moenkopi Plateau;9
Q25380001;Lexington Table;9
Q3736104;Żuławy Wiślane;9
Q3685956;Rieti Valley;9
Q21907698;Loddon Plains;9
Q3487153;Snegurochka Planitia;9
Q26232437;Illancs;9
Q21838366;Pampa de Lari;9
Q7363237;Rømlingsletta Flat;9
Q20497328;Q20497328;9
Q7492328;Sheehan Mesa;9
Q7503102;Shōwa Flat;9
Q7363006;Rome Sand Plains;9
Q21485807;Armstrong Platform;9
Q6488666;Laramie Plains;9
Q578739;Planum Boreum;9
Q6485436;Lane Plateau;9
Q20438835;Q20438835;9
Q6448793;Kuvsletta Flat;9
Q1071754;Hetao;9
Q21474294;Boucot Plateau;9
Q5642826;Halle Flat;9
Q1304218;Q1304218;9
Q4867582;Basissletta;9
Q5444233;Ferguson Desert;9
Q1133636;Terai;9
Q23790474;Plateau du Serso;9
Q25379999;Saratoga Table;9
Q7534204;Skavlsletta Flat;9
Q1240894;Danubian Flat;9
Q26230208;Q26230208;9
Q633798;Mugan plain;9
Q31967286;Name;9
Q21959893;Roebuck Plains;9
Q21475882;Penguin Highway;9
Q2523630;Plain of Catania;9
Q26762125;Plain of Esdraelon;9
Q2913029;Koke Strand;9
Q23670694;Plaine des Mbo;9
Q12280331;Q12280331;9
Q26763757;Plain of Sharon;9
Q8051718;Yellow Dog Plains;9
Q7767201;The Sugarlands;9
Q11969605;Forlandsletta;9
Q2666998;Polotskaya Nizina;9
Q32024772;Strandveld;9
Q24934565;Чаунская низменность;8
Q15278021;Skålebrehalsen Terrace;8
Q32022835;Sopu;8
Q21773577;Asad Das̲h̲t;8
Q122339;Cuckmere Haven;8
Q64532656;Q64532656;8
Q483833;Lowlands of Anadyr;8
Q12295069;Starozagorsko Pole;8
Q23666854;Ndop Plain;8
Q49601236;Q49601236;8
Q21490401;Mizuho Kôgen;8
Q1045272;Ishikari Plain;8
Q18511434;Q18511434;8
Q23818042;Plaine du Chelif;8
Q21794545;Silencio;8
Q49603266;Paria Plateau;8
Q821445;Hauraki Plains;8
Q31909938;Bannaanka Dabagorayaale;8
Q21566028;Sahl Machghara;8
Q21846043;Pampa Bachongo;8
Q937892;Uymonskaya Step';8
Q7499628;Shmidt Subglacial Basin;8
Q21782357;Dasht-e Dū Sangak;8
Q49591632;Great Plains;8
Q23802231;Plaine de la Mleta;8
Q55606204;Burt Plain;8
Q23687807;Llanos Orientales;8
Q7227396;Pomona Plateau;8
Q7194947;Pinckard Table;8
Q49591425;Grand Gulch Plateau;8
Q23652145;Pampa Buenos Aires;8
Q13634034;Budh Planitia;8
Q49607548;Q49607548;8
Q23652031;Pampa de Camarones;8
Q23799873;Plaine de Negma;8
Q21831424;Pampa del Tamboreo;8
Q32036701;Tuwa;8
Q12867743;Odishi-Guria plain;8
Q32017878;Shama;8
Q21474252;Heirtzler Highland;8
Q11193179;Pla de Barcelona;8
Q2623781;Polesian Lowland;8
Q17183288;Bungeleira;8
Q49604829;Powell Plateau;8
Q21472726;Berrheia;8
Q21476466;Buckeye Table;8
Q3515242;Nevesinjsko Polje;8
Q22037184;Pantanal;8
Q1799654;Salisbury Plain, South Georgia;8
Q23650997;Pampa Catorce de Febrero;8
Q5016170;Cactus Plain;8
Q20497483;Q20497483;8
Q24656482;Bedford Level;8
Q22469981;Pampa de Oxaya;8
Q23955835;Jabal al ‘Ajmah;8
Q1985014;Adelaide Plains;8
Q21717090;Duvanjsko Polje;8
Q23949713;Jabal al Jalālah al Qiblīyah;8
Q21961984;Brookong Plain;8
Q21477408;Butuzô Daira;8
Q23983186;Campo de Montiel;8
Q32157108;Raydā';8
Q23636415;Llano de Llampos;8
Q31867486;Abū Baḩr;8
Q23650694;Pampa de Chaca;8
Q31929808;Kantana;8
Q21475755;Halzen Mesa;8
Q49596645;Lower Kolob Plateau;8
Q2896985;Bereghinya Planitia;8
Q21475741;Peterson Terrace;8
Q21475740;Price Terrace;8
Q2499485;Nemanskaya Nizina;8
Q21475732;Bordogna Plateau;8
Q17603027;Estany de l'Estany;8
Q23809933;Plaine du Hodna;8
Q49603799;Q49603799;8
Q21474994;Claridge Terrace;8
Q21489776;Law Plateau;8
Q28835322;Huanghuai Pingyuan;8
Q32058626;Yuka;8
Q23646783;Llano de Domeyko;8
Q21489350;Marine Plain;8
Q21832204;Pampa de la Varita;8
Q17277121;Q17277121;8
Q49606816;San Rafael Desert;8
Q21474996;Campbell Terrace;8
Q21837748;Pampa de Nahuel Huapí;8
Q17311864;Q17311864;8
Q4426523;Plateau Sovetskoje;8
Q21485283;Fritz Loewe;8
Q23934661;Jabal at Tīh;8
Q17317330;Q17317330;8
Q21486866;Gropeheia;8
Q25280620;Valle de Cuyamel;8
Q23783314;Tidikelt;8
Q32015681;Sandveld;8
Q4108407;Verkhnezeyskaya Ravnina;8
Q21828591;Pampa de la Yegua Muerta;7
Q21826842;Pampa La Lomita;7
Q21826373;Kuṟah Pay Ḏāg;7
Q21826954;Pampa La Tambora;7
Q21826383;Chārwāzē Ḏāg;7
Q21828626;Pampa Yonqui-ehue;7
Q21826400;Aḩmad Guṟnak Ḏāg;7
Q21828598;Pampa de las Yeguas;7
Q21828582;Planicie de Yaví;7
Q21826555;Dasht-e Kāfar Khānah;7
Q21828557;Pampa Yalguaraz;7
Q21826702;Dasht-e Palkī;7
Q21826631;Wêchah Khwā Das̲h̲tah;7
Q21826577;Sartalay;7
Q21811741;Pā'īn Āw Das̲h̲t;7
Q21826627;Dasht-e Tay Alam;7
Q21826578;Dasht-e Bat Khāk;7
Q21826628;Burjgaī Das̲h̲tah;7
Q21826608;Tsêlaī Das̲h̲tah;7
Q21826618;Spīr Kuyū Ḏāg;7
Q21826619;Dasht-e Wazīrī;7
Q21826624;Laṟm Das̲h̲tah;7
Q21828399;Pampa del Indio;7
Q21831756;Pampa de la Tosca;7
Q21828672;Pampa de Zapala;7
Q21833538;Llano de Romo;7
Q21811289;Dasht-e Awramshāh;7
Q21833160;Pampa de Rahué;7
Q21833193;Pampa de Ranchillos;7
Q21833282;Pampa Redonda;7
Q21833338;Planicie Reina Victoria;7
Q21833362;Llanos de Retama;7
Q21833369;Pampa de Retiro;7
Q21833400;Pampa del Rincón;7
Q21833448;Pampa del Río Guenguel;7
Q21833450;Llanos de la Rioja;7
Q21833512;Pampa Rodeo Grande;7
Q21833531;Pampa Romberg;7
Q21833594;Pampa de Rucu Leufú;7
Q21832380;Planicie de los Vientos;7
Q21833611;Pampa de Sacanana;7
Q21833619;Pampa de la Sal;7
Q21833690;Pampa del Salado;7
Q21833714;Pampa de Salamanca;7
Q21833960;Pampa de San Luis;7
Q21834236;Pampa Seca;7
Q21834237;Pampa Seca;7
Q21834238;Pampa Seca;7
Q21834354;Meseta del Senguerr;7
Q21834355;Pampas del Senguerr;7
Q21834366;Llanos de la Sepultura y Ranchillos;7
Q21834382;Pampa del Setenta;7
Q21832439;Pampa Virgen;7
Q21832330;Pampa Verdún;7
Q21828912;Pampa Bandera;7
Q21831751;Pampa de Toruma;7
Q23952155;Plain of Dau Hamâta;7
Q21831345;Pampa de Tabolango;7
Q21831382;Pampa de Talagapa;7
Q21831431;Pampa Tandil;7
Q21831477;Pampa Teguer;7
Q21831497;Pampa de Tepuel;7
Q21831551;Llanos del Tigre;7
Q21831555;Pampa del Tigre;7
Q21831621;Llanos de Tocota;7
Q21811308;Dasht-e Bārīkak;7
Q21831659;Pampa del Tongoril;7
Q21831701;Pampa del Toro;7
Q21826163;Siyāh Tish-e Miskī;7
Q21832234;Pampa del Veintidós;7
Q21831768;Pampa del Tostado;7
Q21831842;Pampa Tres Arroyos;7
Q21831864;Pampa de las Tres Hermanas;7
Q21831915;Planicie de Trica-Có;7
Q21831921;Pampa de Tril;7
Q21831967;Pampa del Trujillo;7
Q21831973;Pampa de Tucunuco;7
Q21832043;Pampa de Umango;7
Q21832066;Pampa Ureta;7
Q21832084;Pampa de Uspallata;7
Q21832095;Pampa Vaca;7
Q21832229;Pampa del Veinte;7
Q21826211;Dāmān;7
Q23950934;Ţal‘at Ḩamdah;7
Q21826157;Markaz-e Rāh-e Dirājāb;7
Q21818319;Dasht-e Farhād;7
Q21818375;Dasht-e Nāspandah;7
Q21818376;Dasht-e Shōrah Gird;7
Q21818517;Dasht-e Aghadow;7
Q21818795;Sarkanḏ Ḏāg;7
Q21819050;Kōhak Das̲h̲tah;7
Q21819087;Kalā Pōṯaī Das̲h̲tah;7
Q21813855;Dasht-e Abulḩasan;7
Q21819293;Karbah Ḏāg Das̲h̲t;7
Q23951544;Ţal‘at al Ghuzz;7
Q23951535;Farsh al Ghurrān;7
Q21813145;Bāmbōl Das̲h̲t;7
Q21813080;Dasht-e Tōrghay Tepah;7
Q21819835;Dasht-e Sarī Ās;7
Q21813006;Rawānay Das̲h̲t;7
Q21819836;Dasht-e Dowlat Kōl;7
Q21812882;Dasht-e Ganjābād;7
Q21820218;Srē Khūlē Das̲h̲tah;7
Q23951513;Saţḩ Ghurāb;7
Q21812598;Dasht-e Gharāw;7
Q21820224;Paṟkī Das̲h̲tah;7
Q23951411;Ghadīr Abū Kalb;7
