entity;label;popularity
Q666664;Kasha-Katuwe Tent Rocks National Monument;23
Q1983409;Peña de los Enamorados;20
Q885093;Rotenhan Castle;18
Q2344182;Katskhi pillar;17
Q729042;Gelber Berg;17
Q2340535;Steinerne Agnes;17
Q2132711;Rathgall Hillfort;17
Q1404843;Rauher Kulm;16
Q41403164;Felsenschlucht;15
Q41246364;Q41246364;15
Q2171383;Roßtrappe;14
Q808395;Barmsteine;14
Q1416956;Fingalshöhle bei Obernzenn;14
Q1483357;Fürstenstein;14
Q57585905;Q57585905;14
Q57573527;Q57573527;14
Q56867617;Höhlenstation in Pommelsbrunn;14
Q29996595;Q29996595;14
Q57267572;Q57267572;14
Q42346418;Gipsbruch Endsee;14
Q1549070;Großer Wasserstein;14
Q43263388;Kreuzberg in Pleystein;14
Q57976680;Q57976680;14
Q57976897;Q57976897;14
Q1048187;Les Casquets;13
Q2797881;Burgfels Reichenstein NE von Stadlern;13
Q36581104;Alexander-von-Humboldt-Höhle;13
Q58452436;Quellaustritt Seeweiher (D68) WSW von Michelfeld;13
Q2407135;Q2407135;13
Q1256945;Drei Brüder von Weißenhaid;13
Q15849064;Q15849064;13
Q57574446;Q57574446;13
Q57571850;Q57571850;13
Q1514111;Schüsselstein bei Fischbach;13
Q1512593;Trolltunga;13
Q57980923;Q57980923;13
Q57573419;Q57573419;13
Q1508740;Georgenstein;13
Q59215034;Dolomitfelsgruppe Kirchengrotten SW von Engelhardsberg;13
Q15713722;Rabenfels;13
Q57574694;Q57574694;13
Q41393193;Q41393193;13
Q57233323;Q57233323;12
Q59215014;Türkenfelsen W von Ammerried;12
Q1616742;Schnittlinger Loch;12
Q48948928;Бижиктиг-Хая;12
Q1719117;Teufelshöhle bei Altdorf;12
Q2555960;Weingartnerfels;12
Q56005981;Q56005981;12
Q58010683;Q58010683;12
Q58010977;Q58010977;12
Q26260791;Molasse-Wand bei Seltmans;12
Q31345766;Kleinalmeyerschloss;12
Q1470810;Pierres de Lecq;12
Q1404662;Gsteinigt;12
Q58010677;Q58010677;12
Q57572842;Q57572842;12
Q57571709;Q57571709;12
Q19968291;Teufelskeller;12
Q14532122;Stuiben-Fall;12
Q57976488;Q57976488;12
Q57572188;Q57572188;12
Q57279119;Q57279119;12
Q80134650;Vulcan Point;12
Q57585256;Q57585256;12
Q57974687;Q57974687;12
Q57573753;Q57573753;12
Q15849066;Steinbrüche von Wernsbach;12
Q57980547;Q57980547;12
Q57390790;Neutrasfelsen bei Neutras;12
Q187758;Zellerfels;11
Q58459925;Felsfundamente der Karlburg W von Karlstadt;11
Q1341169;Kleiner Kulm bei Neustadt am Kulm;11
Q22120615;Felsenkeller in Schwandorf;11
Q58459846;Kämmleinsfelsen SW von Geroldsgrün;11
Q15061718;Weihersbrunnen;11
Q34241304;George Rock;11
Q3944148;Sa Palomera;11
Q56241824;Q56241824;11
Q59215055;Knopfstein S von Bärnfels;11
Q321467;Wolfenstein;11
Q58459847;Burgstein im Geroldsgrüner Forst SW von Geroldsgrün;11
Q57279031;Q57279031;11
Q57282041;Bernhardsnagel;11
Q691567;Les Dirouilles;11
Q57282858;Q57282858;11
Q57284257;Q57284257;11
Q59213216;Eibenfels N von Riegelstein;11
Q15793025;Buchenegger Wasserfälle;11
Q16294981;Teufelsbadstube;11
Q31467820;Piedra Tuff;11
Q54824301;Wasserbergfelsen;11
Q57574567;Q57574567;11
Q1417491;Finkenstein von Rügersgrün;11
Q58459520;Felsgruppe Rauchröhren SW von Arrach;11
Q20922695;Ħalfa Rock;11
Q1647810;Sprosselbrunnen bei Schönberg;11
Q1885871;Maisinger Schlucht;11
Q58459508;Bensenbruch S von Dörrmorsbach;11
Q1628470;Starzlachklamm;11
Q57267738;Q57267738;11
Q58462616;Härtling SW von Anzenberg;11
Q58462627;Kleiner Osser;11
Q57278272;Q57278272;11
Q2108598;Premerzhofener Quelle;11
Q2110661;Prinzenfelsen;11
Q57262017;Q57262017;11
Q1571808;Judenkirche;11
Q57976036;Q57976036;11
Q57571950;Q57571950;11
Q57572484;Steinerne Frau am Walberla bei Kirchehrenbach;11
Q58460079;Felshänge am Hirschberg ENE von Erlabrunn;11
Q21486669;Hasselknippenova;11
Q57540352;Q57540352;11
Q58452779;Grotte unterhalb des Arco-Schlößchen N von Neuburg;11
Q24359351;Q24359351;10
Q57441869;Q57441869;10
Q57541463;Q57541463;10
Q57278495;Q57278495;10
Q54824594;Zankelstein;10
Q58452328;Felsrippe Steinfelsen ENE von Schönsee;10
Q57980919;Q57980919;10
Q57980922;Via Raetia Nähe Klais;10
Q57278150;Grotte bei Wiesenfelden;10
Q57980539;Q57980539;10
Q57278184;Q57278184;10
Q57277391;Gipfel des Großen Arber mit Richard-Wagner-Kopf;10
Q57267600;Q57267600;10
Q58008427;Q58008427;10
Q57262545;Steinbruch bei Pfelling;10
Q57261840;Q57261840;10
Q58010680;Q58010680;10
Q57155668;Q57155668;10
Q58010973;Q58010973;10
Q58010976;Q58010976;10
Q58459987;Dolomitfelsen SW von Lockenricht;10
Q28939347;Dzhuglata;10
Q57278318;Q57278318;10
Q58010980;Q58010980;10
Q57131586;Q57131586;10
Q30539488;Kühsteinfelsen;10
Q57278337;Q57278337;10
Q58451489;Augengneisfelsen in Schauenstein;10
Q57278426;Q57278426;10
Q56867469;Q56867469;10
Q58451947;Südlicher Wartberg-Steinbruch bei Längenau;10
Q58452068;Phyllitfelsen am Steinbühl S von Sparneck;10
Q56258415;Elephant Rock;10
Q58452325;Frosch- und Mausfelsen N von Schwarzenbach a.d. Saale;10
Q57285297;Q57285297;10
Q1721166;Kahle Klippe;10
Q55611029;Escort Rock;10
Q58462017;Steinbruch NE von Seulbitz;10
Q58459843;Hackelstein-Gipfel W von Fuchsmühl;10
Q58462664;Schlossberg in Waldau;10
Q58459868;Demlinger Steinbruch N von Großmehring;10
Q1003537;Bulbjerg;10
Q58459958;Aufgel. Wetzschieferbruch Bärenbrunn N von Lauenstein;10
Q15119896;Massendorfer Schlucht;10
Q50234385;Frankfurter Brüche von Rödelsee;10
Q58462623;Ossersattel;10
Q58460049;Steinbrüche NE von Obereichstätt;10
Q58460082;Gneisfelsen NW von Altenschneeberg;10
Q402510;Ahornfels;10
Q58485084;Süßwasserkalk am Adlersberg NW von Reimlingen;10
Q58459939;Petersgrat N von Joditz;10
Q58459883;Teufelsberg in Hof;10
Q58462425;Blechstein SW von Obertrubach;10
Q22674882;Basaltaufschluss an der Straße Hindelang – Oberjoch;10
Q1366405;Es Pontàs;10
Q58459994;Ehem. Steinbruch Basaltsee NW von Oberelsbach;10
Q58459983;Felsental SE von Muglmühle;10
Q1649173;Maxfelsen;10
Q59213242;Felsgruppe Alte Küche N von Obertrubach;10
Q54482386;Torfelsen;10
Q58459806;Gipskarstquelle S von Falkenstein;10
Q58460059;Gleitfalten an der Überkehr SSE von Bernstein a. W.;10
Q58459980;Aufschluss der Teuschnitzer Schichten am Bahnhof Naila;10
Q57262708;Q57262708;9
Q57268198;Q57268198;9
Q58480148;Sandgruben und Dünen SW von Weißenbrunn;9
Q58460033;Ehemaliger Steinbruch SW von Kager;9
Q58462603;Ehemaliger Basaltbruch Sodenberg SW von Diebach;9
Q26224783;Q26224783;9
Q58460027;Steinbruch N von Förtschendorf;9
Q58480139;Basaltprismenwand am Gangolfsberg WNW von Urspringen;9
Q57981954;Q57981954;9
Q58462612;Ehem. Steinbruch am Grainberg S von Gambach;9
Q57981956;Q57981956;9
Q26224781;Kantenari;9
Q58480138;Felsen an der Burgruine in Altenstein;9
Q58008431;Q58008431;9
Q57981962;Steinbruch Blockhütte Weiden;9
Q57262376;Q57262376;9
Q58462638;Ehemaliger Eklogitbruch Fattigau;9
Q58460034;Ehemaliger Kohlenkalkbruch NW von Trogenau;9
Q24360155;Q24360155;9
Q58462647;Blauer Fels NNW von Götzmannsgrün;9
Q1721190;Kahlenstein;9
Q58460042;Ehem. Steinbruch An der Kehr in Blumenrod;9
Q57980548;Q57980548;9
Q24360723;Biten;9
Q58460061;Kirchfelsen in Schwarzenbach a.d. Saale;9
Q57282464;Q57282464;9
Q24348564;Q24348564;9
Q58460063;Bahneinschnitt S von Enzenstetten;9
Q17575955;Illerdurchbruch bei Oberkottern;9
Q17591182;Prallhänge der Iller nördlich Kempten;9
Q57278621;Q57278621;9
Q17591816;Schlucht am Mariaberg bei Thingers;9
Q24348278;Q24348278;9
Q24360562;Q24360562;9
Q58460054;Magdalenafels E von Schönsee;9
Q24360681;Q24360681;9
Q24360724;Q24360724;9
Q65782807;Парус (скала, Крым);9
Q24360725;Q24360725;9
Q63406712;Q63406712;9
Q18559478;Sakreswar;9
Q58460067;Nagelfluh-Aufschluss S von Siegsdorf;9
Q58460069;Steinbruch am Grenzbach;9
Q20021805;Hügelfelsen;9
Q20515854;Катар;9
Q58460041;Basaltsee am Farnsberg (Tintenfass) ESE von Riedenberg;9
Q58460038;Steinbruch SE von Haßlach bei Teuschnitz;9
Q20712425;Tamanowas Rock;9
Q58460092;Mindelzeitliche Schotter S von Heiligkreuz;9
Q57980542;Q57980542;9
Q57232079;Q57232079;9
Q24359353;Q24359353;9
Q57283326;Schlossfelsen Prunn bei Nußhausen;9
Q58452794;Geologische Orgel NW von Haselbach;9
Q22117280;Hohlweg;9
Q24358250;Fliskobben;9
Q22694298;Teufelssattel;9
Q56433220;Steinbruch Oberrieden;9
Q58452060;Gneisaufschluss S von Steinmühle;9
Q58459891;Östlicher Steinbruch WNW von Obernzenn;9
Q16367950;Ахчкакар;9
Q24359134;Q24359134;9
Q24359105;Q24359105;9
Q55992726;Aufgel. Muschelkalkbruch SE von Ramsthal;9
