entity;label;popularity
Q99;California;32429
Q1384;New York;16308
Q797;Alaska;14749
Q1439;Texas;14043
Q1400;Pennsylvania;12776
Q812;Florida;11866
Q771;Massachusetts;9955
Q1397;Ohio;9406
Q1370;Virginia;8998
Q1204;Illinois;8396
Q1581;Missouri;8308
Q1408;New Jersey;8085
Q1261;Colorado;8054
Q1454;North Carolina;7219
Q1166;Michigan;6660
Q1223;Washington;6474
Q824;Oregon;6416
Q1415;Indiana;6392
Q1546;Iowa;6374
Q1428;Georgia;6074
Q816;Arizona;5988
Q173;Alabama;5675
Q1509;Tennessee;5652
Q1391;Maryland;5179
Q1603;Kentucky;4942
Q1537;Wisconsin;4713
Q1588;Louisiana;4706
Q779;Connecticut;4629
Q1558;Kansas;4545
Q1612;Arkansas;4401
Q724;Maine;4357
Q829;Utah;4280
Q1522;New Mexico;4138
Q1649;Oklahoma;3756
Q1227;Nevada;3717
Q1456;South Carolina;3367
Q1553;Nebraska;3294
Q1371;West Virginia;3288
Q1212;Montana;3194
Q1527;Minnesota;3027
Q1214;Wyoming;3015
Q759;New Hampshire;2913
Q1494;Mississippi;2913
Q1221;Idaho;2911
Q16551;Vermont;2475
Q1211;South Dakota;2325
Q1393;Delaware;2145
Q1387;Rhode Island;1979
Q1207;North Dakota;1959
Q782;Hawaii;1658
