entity;label
Q70458;Darvaza gas crater
Q451785;Amadeus Basin
Q478671;Vankor Field
Q536399;Bovanenkovo gas field
Q588383;Gullfaks oil field
Q664409;Sakhalin-I
Q717331;Chunxiao gas field
Q730460;Galkynysh Gas Field
Q751862;Kovykta field
Q794981;Leviathan gas field
Q823006;Corrib gas project
Q895412;Bowen Basin
Q909690;Brent field
Q1000139;Hassi Messaoud
Q1129240;Kudu gas field
Q1190318;Shtokman field
Q1361275;Eromanga Basin
Q1495129;Urengoy gas field
Q1499983;Snøhvit
Q1513795;South Pars / North Dome Gas-Condensate field
Q1523920;Karachaganak Field
Q1527666;Surat Basin
Q1538230;Gorgon gas project
Q1675985;Sleipner gas field
Q1714051;Yuzhno-Russkoye field
Q1718022;A6/B4
Q1801811;Heidrun field
Q1968052;Ormen Lange
Q2004739;Sakhalin-II
Q2033768;Dauletabad gas field
Q2069152;Groningen gas field
Q2080889;Gjøa oilfield
Q2285819;Metslawier-zuid
Q2296730;Statfjord oil field
Q2360737;P18 field
Q2441654;Safaniya Oil Field
Q2499333;Tamar gas field
Q2598864;Yadana gas field
Q2635133;Troll field
Q2711576;K12-B
Q2755610;Hassi R'Mel gas field
Q2829133;Akpo
Q2866032;Arun gas field
Q2910045;Bonga Field
Q2935174;Camisea Gas Project
Q3086641;Frigg gas field
Q3107773;Lacq gas field
Q3107780;Tangguh gas field
Q3142477;Hugoton Natural Gas Area
Q3307080;Messoyakha Gas Field
Q3444684;Kristin field
Q3482697;Shwe gas field
Q3572230;Yetagun gas field
Q4070654;Arkhangelske gas field
Q4071190;Åsgard field
Q4073545;Ashrafi field
Q4074877;Bagtyýarlyk
Q4081134;Bezimennoe gas field
Q4141537;Holitsynske gas field
Q4154461;Dan Ulduzu field
Q4165869;Domino gas field
Q4186830;Zapolyarnoye gas field
Q4212367;Kandym–Khausak–Shady–Kungrad project
Q4221741;Kirovske Gas Field
Q4242973;Крымское газовое месторождение
Q4250734;Kyzyloi Field
Q4258172;Leningradskoye gas field
Q4287553;Medvezhye gas field
Q4314747;Nakhodkinskoye gas field
Q4318086;Oil and gas basins of Kazakhstan
Q4331488;Odessa gas field
Q4400286;Rusanovskoye gas field
Q4409396;Sakhalin-III
Q4496817;Khvalynskoye gas field
Q4507913;Chayanda field
Q4521871;Shebelinka gas field
Q4525725;Shmidtovsky gas field
Q4526935;Shtormove
Q4528193;Shwe Project
Q4533959;Pivdenno-Holitsynske gas field
Q4533989;Yuzhno-Tambeyskoye gas field
Q4537629;Yamburg gas field
Q4539117;Ярылгачское газовое месторождение
Q4579848;Snorre oil field
Q4669732;Absheron gas field
Q4745943;Amethyst gasfield
Q4750529;Ana gas field
Q4750736;Anadarko Basin
Q4762604;Angela–Angelina gas field
Q4769013;Annerveen gas field
Q4779738;Aphrodite gas field
Q4792507;Armada gasfield
Q4834410;B3 oil field
Q4859429;Barbara gas field
Q4860452;Barents Basin
Q4861642;Barnett Shale
Q4864944;Barryroe
Q4873276;Battonya gas field
Q4875224;Bazna gas field
Q4890829;Bențid gas field
Q4891088;Berbinceni gas field
Q4891209;Beregovoye field
Q4907631;Bilca gas field
Q4935875;Bobocu gas field
Q4973049;Brodina gas field
Q4981955;Brădești gas field
Q4985459;Buena Vista Oil Field
Q5005446;Bătrânești gas field
Q5065324;Cervia gas field
Q5122173;Cisco Springs Oil Field
Q5158227;Conasauga shale
Q5169300;Copșa Mică gas field
Q5199856;Cymric Oil Field
Q5250246;Deep Panuke
Q5253625;Deleni gas field
Q5266880;Deventsi gas field
Q5288653;Doina gas field
Q5295911;Donghae-1 gas field
Q5319925;Dzików gas field
Q5327520;Easington Catchment Area
Q5327562;East-Prinovozemelsky field
Q5328739;East Knapton
Q5364025;Elk Hills Oil Field
Q5377001;Energy Triangle
Q5416961;Everest gasfield
Q5443975;Ferdowsi Gas Field
Q5454313;Firtuşu gas field
Q5556452;Gherceşti gas field
Q5556479;Gherăieşti gas field
Q5580964;Golshan Gas Field
Q5586610;Gorm Field
Q5600754;Greater Sierra
Q5604602;Greentown Gas Condensate Field
Q5612927;Grădiştea gas field
Q5636978;Habshan
Q5687096;Haynesville Shale
Q5699576;Heimdal gas field
Q5871184;Madar gas field
Q5909932;Halegan gas field
Q5951485;Sardar-e Jangal gas field
Q5952347;Arash gas field
Q5953133;Khayyam gas field
Q5984966;Ibăneşti gas field
Q6208202;Jodłówka gas field
Q6345161;Kadanwari
Q6367362;Kapuni
Q6367626;Karabakh oilfield
Q6395548;Kettleman North Dome Oil Field
Q6414240;Kinsale Head gas field
Q6419702;Klappan Coalbed Methane Project
Q6435584;Kościan gas field
Q6437409;Krishna Godavari Basin
Q6445324;Kupe field
Q6456901;L8-D gas field
Q6493747;Laslău Mare gas field
Q6563983;Khangiran gas field
Q6703601;Luna gas field
Q6740521;Makó gas field
Q6741077;Malai Gas Field
Q6742094;Malaysia–Thailand joint development area
Q6744173;Mallik gas hydrate site
Q6745490;Mamba South gas field
Q6745995;Mamu gas field
Q6792068;Matzen
Q6792393;Maui gas field
Q6801736;McKee field
Q6863045;Minami Kantō gas field
Q6896918;Molve gas project
Q6942846;Muskwa Formation
Q6950760;Măneşti-Vlădeni gas field
Q6960575;Nakhichevan field
Q6963729;Nankai Trough gas hydrate site
Q7054130;North Belridge Oil Field
Q7057316;North West Shelf Venture
Q7067294;Noxal oil field
Q7079793;Ogaden Basin
Q7127747;Pallas gas field
Q7169127;Perla gas field
Q7207786;Pohokura field
Q7232149;Porto Corsini Mare Est gas field
Q7232153;Porto Garibaldi–Agostino gas field
Q7253418;Przemyśl gas field
Q7265778;Qadirpur gasfield
Q7275970;RBN-4 gas field
Q7281443;Radlin gas field
Q7321545;Rhum gasfield
Q7335362;Rio Vista Gas Field
Q7361564;Roman-Secuieni gas field
Q7396255;Sable Offshore Energy Project
Q7405705;Salonta gas field
Q7408537;Saman-Depe Gas Field
Q7421823;Sara and Myra
Q7428570;Sawan Gas Field
Q7460986;Shafag-Asiman
Q7512071;Sighişoara gas field
Q7535922;Skirne gas field
Q7566295;South Belridge Oil Field
Q7582165;Squaw Canyon Oil Field
Q7635297;Sui gas field
Q7666902;Sărmaşel gas field
Q14954548;Samburgskoye gas field
Q14954551;Yurkharovskoye gas field
Q14954552;Yurubchenko-Tokhomskoye gas field
Q14954555;Sarikamysh gas field
Q14954556;Zafarani gas field
Q14954557;Savonette gas field
Q14954558;Miskar gas field
Q14954562;Skifska gas field
Q14954564;Leman gas field
Q14954565;Rosebank oil and gas field
Q14954567;Jonah Field
Q14954569;Marcellus natural gas trend
Q14954571;Wattenberg Gas Field
Q15111232;Q15111232
Q16002291;Akçakoca gas field
Q16203531;A-E gas field
Q16256119;Călineşti gas field
Q16258594;Cobălcescu gas field
Q16466430;Foroska gas field
Q16662095;Карповский Северный Блок
Q16739880;Durusu gas field
Q16828259;Anca gas field
Q16829102;Anyue gas field
Q16829156;Chaika
Q16839528;Galata gas field
Q16850727;Izgrev gas field
Q16852174;Kaliakra East gas field
Q16852178;Kaliakra gas field
Q16852207;Kamchia gas field
Q16858776;Cetatea de Baltă gas field
Q16891270;Filitelnic gas field
Q16896553;Cuşmed gas field
Q16896564;Dârvari gas field
Q16896616;East Cobălcescu gas field
Q16896739;Kharampur gas field
Q16896740;Kharasavey gas field
Q16896794;Luceafărul gas field
Q16896819;Maria gas field
Q16896861;Mușenița gas field
Q16896866;Nadeș gas field
Q16896867;Nadia gas field
Q16896915;Noul Săsesc gas field
Q16896921;Obzor gas field
Q16896927;Oleska shale gas deposit
Q16896930;Orenburg gas field
Q16896962;Paula gas field
Q16896988;Plenița gas field
Q16897075;Ropotamo gas field
Q16897120;Sângeorgiu de Pădure gas field
Q16897125;Şaroş gas field
Q16897188;Șincai gas field
Q16897231;South Cobălcescu gas field
Q16897334;Svidník gas field
Q16897366;Târgu Mureș gas field
Q16897369;Târnăveni gas field
Q16897439;Torzym-Cybinka oil field
Q16897659;Wola Obszańska gas field
Q16924546;Fuling gas field
Q16974677;Elmworth gas field
Q17001226;Ain Tsila gas field
Q17001267;Alrar gas field
Q17003511;Al-Kawther gas field
Q17004321;Farzad B gas field
Q17004487;Forouz gas field
Q17007138;Kangan gas field
Q17007825;Lavan gas field
Q17014876;Badak gas field
Q17015399;Rhourde Nouss gas field
Q17015742;Gazli gas field
Q17018251;Sefid Zakhor gas field
Q17026499;Super Nova gas field
Q17034432;Tin Fouye Tabankort gas field
Q17053495;Nova gas field
Q17058635;Vorwata gas field
Q17070280;Shah gas field
Q17073053;Shurtan gas field
Q17074138;Itaú-San Alberto gas field
Q17075393;Shatlyk gas field
Q17077100;Loran–Manatee gas field
Q17163924;Q17163924
Q18205411;Balaur gas field
Q18205525;Bilciurești gas field
Q18206375;Damieni gas field
Q18207230;Frasin-Gura Humorului gas field
Q18207381;Ghindăoani gas field
Q18345474;Miorița gas field
Q19598448;Pelican South gas field
Q19827876;Papekopveld
Q20111194;Pazanan gas field
Q20400687;Marib-Jawf gas field
Q20894861;Zohr gas field
Q21203150;Tabnak gas field
Q21732740;Saghyah
Q21732822;Shāmis
Q21745914;Semutang
Q21745990;Q21745990
Q21755054;Jar Qūdūq Gas Field
Q21781902;Q21781902
Q21960307;Springton Gas Field
Q21960308;Turkey Creek Gas Field
Q7683313;Tanin gas field
Q7702527;Terliczka gas field
Q7807743;Tin Cup Oil Field
Q7814301;Tolkyn gas field
Q7824233;Toot Oilfield
Q7825523;Torceşti gas field
Q7828289;Totea gas field
Q7861417;Tyra Field
Q7881567;Umid gas field
Q7909519;Vale gas field
Q7939806;Voitinel gas field
Q8002047;Wilga gas field
Q8054793;Yolla gas field
Q8066958;Zarzaitine
Q8067158;Zau de Câmpie gas field
Q8079457;Üllés gas field
Q8082416;Şamşud gas field
Q8083345;Żołynia gas field
Q9332831;Skarv field
Q10859091;North Pars Gas Field
Q10859092;Kish Gas Field
Q10859094;Natural gas reserves in Iran
Q11408693;Minami-Nagaoka Gas Field
Q11937057;Q11937057
Q12008051;Tyrihans field
Q12061377;Lost Hills Oil Field
Q12106173;Q12106173
Q12120459;Q12120459
Q12130125;Morske gas field
Q12145856;Q12145856
Q12145864;Q12145864
Q12149161;Q12149161
Q12158349;Strilkove gas field
Q12159724;Taglu field
Q12163407;Q12163407
Q12166743;Q12166743
Q12167140;Hekla
Q12167700;José Colomo Gas Field
Q12172869;Jubilejnoe Gas Field
Q12172937;Yuzivska gas field
Q12173270;Yablunivs'ke Gas Deposit
Q12208458;Akkas gas field
Q14954476;Gassi Touil
Q14954478;Ichthys gas field
Q14954479;Scarborough gas field
Q14954481;Margarita gas field
Q14954484;Dabei gas field
Q14954485;Dazhou gas field
Q14954486;Dina-2 gas field
Q14954487;Kela-2 gas field
Q14954488;Pugang gas field
Q14954489;Sulige gas field
Q14954490;Yuanba gas field
Q14954491;Cyprus A gas field
Q14954492;Sigguk Block
Q14954494;Altmark gas field
Q14954495;Abadi gas field
