entity;label
Q993;Kamchatka Peninsula
Q1002;Chukchi Peninsula
Q1338;Upper Peninsula
Q1458;Calabria
Q3596;Lower Peninsula of Michigan
Q5601;Vistula Spit
Q5606;Hel Peninsula
Q7835;Crimean Peninsula
Q12430;Keweenaw Peninsula
Q12837;Iberian Peninsula
Q18758;Malay Peninsula
Q20741;Eiderstedt
Q23522;Balkans
Q25389;Jutland
Q27029;Manora Island
Q30027;Jutland Peninsula
Q31945;Arabian Peninsula
Q36755;Sinai Peninsula
Q37056;Taymyr Peninsula
Q40556;Horn of Africa
Q43467;Indochina
Q43849;Otago Peninsula
Q49152;Cape Cod
Q51614;Anatolia
Q59125;Willaumez Peninsula
Q60010;Kenai Peninsula
Q60064;Alaska Peninsula
Q62569;Rockaway
Q73169;Scandinavian Peninsula
Q75013;Österskär
Q78967;Peloponnese
Q83533;Brøggerhalvøya
Q84127;Ungava Peninsula
Q84170;Labrador Peninsula
Q116969;Langanes
Q117357;Helgenæs
Q122616;Tashi Dor
Q124295;Isle of Dogs
Q130321;Mount Athos
Q130978;Yucatán Peninsula
Q134037;Melville Island
Q145694;Italian Peninsula
Q151559;Gaspé Peninsula
Q155933;Ards Peninsula
Q158145;Langness Peninsula
Q165608;Kola
Q178543;Baja California Peninsula
Q178900;Buzachi Peninsula
Q179131;Tsugaru Peninsula
Q185605;Antarctic Peninsula
Q187026;Karaburun Peninsula, Albania
Q192860;Gallipoli
Q195163;Angle Peninsula Coast
Q201149;Fife
Q204645;Giens Peninsula
Q204728;Chalkidiki
Q206517;Holnis
Q213237;Valdes Peninsula
Q216664;Taman Peninsula
Q216889;Cap-Vert
Q220106;Taraco
Q228614;Zuid-Beveland
Q233770;Cape York Peninsula
Q242083;Kintyre
Q269163;Murujuga
Q287090;Skagi
Q292099;Île Longue
Q297017;Ölgangsinsel
Q301415;Marken
Q303967;Mettnau
Q313241;Barff Peninsula
Q316623;Mönchgut
Q317625;Kegnæs
Q326917;Liaodong Peninsula
Q329676;Sambia Peninsula
Q336969;Absheron peninsula
Q353908;Adelaide Peninsula
Q354663;Au peninsula
Q367766;Jandía
Q370209;Furness
Q372144;Musandam Governorate
Q374269;Reykjanes
Q375070;Palos Verdes Peninsula
Q375551;Cape Bennett
Q375581;Deschampsia Point
Q375754;Bygdøy
Q375847;Foul Point
Q375850;Amphibolite Point
Q375870;Cape Davidson
Q375872;Conception Point
Q375885;Findlay Point
Q375896;Corral Point
Q375906;Buchanan Point
Q375918;Conroy Point
Q375960;Balin Point
Q375974;Cape Faraday
Q376240;Crown Head
Q376263;Fraser Point
Q376318;Morrell Point
Q376387;Foca Point
Q376451;Cheal Point
Q376468;Cape Dundas
Q376491;Berntsen Point
Q376512;Cape Barlas
Q376550;Drying Point
Q376564;Cape Anderson
Q376624;Cleft Point
Q376734;Point Davis
Q384316;Skallingen
Q386078;Ōsumi Peninsula
Q389916;Rhuys Peninsula
Q390695;Farther India
Q393173;Agger Tange
Q415084;Acadian Peninsula
Q421226;Akrotiri, Crete
Q431031;Volunteer Point
Q460219;Jasmund
Q463529;Cotentin Peninsula
Q483134;Korean Peninsula
Q487545;Pantomime Point
Q487558;Sotos Point
Q487562;Mansfield Point
Q487567;Cape Valavielle
Q487594;Moreton Point
Q487600;Agüedo Point
Q487606;Lovegrove Point
Q487611;Rootes Point
Q487617;Lenton Point
Q487624;Stene Point
Q487629;Cape Sorlle
Q487637;Spit Point
Q487646;Richard Point
Q487652;Cape Hansen
Q487659;Meier Point
Q487664;Pandemonium Point
Q487670;Gourlay Point
Q487674;Schist Point
Q487680;Triangle Point
Q487685;Mooring Point
Q487698;Veitch Point
Q487703;Pageant Point
Q487718;Cape Mabel
Q487722;Point Moreno
Q487727;Fierro Point
Q487732;Ferrer Point
Q487740;Route Point
Q487745;Spaull Point
Q487750;Point Rae
Q487769;Tickell Head
Q487782;Porteous Point
Q487787;Point Lola
Q487792;Ortiz Point
Q487811;Serrano Point
Q487815;Labbé Point
Q487832;Orión Point
Q487838;Cape Robertson
Q488091;Sigritsa Point
Q488096;Yovkov Point
Q488102;Pavlikeni Point
Q488109;Aprilov Point
Q488117;Kaspichan Point
Q488164;Jebsen Point
Q488168;Rethval Point
Q488187;Purdy Point
Q488221;Riquelme Point
Q488266;Yamal Peninsula
Q488268;Cape Vik
Q488274;Polynesia Point
Q488280;Cape Hartree
Q488287;Thomson Point
Q488295;Moyes Point
Q488311;Thulla Point
Q488319;Cape Murdoch
Q488324;Knife Point
Q488325;The Turret
Q488330;Point Martin
Q488332;Rayner Point
Q488333;Correa Point
Q488351;Prong Point
Q488357;Olivine Point
Q488360;Sartorius Point
Q488378;Return Point
Q488403;Ash Point
Q488515;Cape Geddes
Q489248;Miletich Point
Q495435;presqu'île de Crozon
Q495838;Farewell Spit
Q506043;Angeln
Q506981;Schleimünde
Q513509;Tinganes
Q514259;Isle of Purbeck
Q517081;Westerplatte
Q522605;Shimabara Peninsula
Q526776;Gazelle Peninsula
Q536757;Miura Peninsula
Q538228;Danish Wahld
Q543662;Wittow
Q545926;Aspotogan Peninsula
Q546818;Népsziget
Q547012;Cape Crozier
Q552668;Sundeved
Q572388;Lafonia
Q580572;Bell Point
Q580583;Pottinger Point
Q580617;Taylor Point
Q580630;False Round Point
Q580641;Boy Point
Q580688;Telefon Point
Q581132;Davey Point
Q581146;Mirounga Point
Q581156;Gam Point
Q581169;Stigant Point
Q581202;Plaza Point
Q581215;Stranger Point
Q581228;Nebles Point
Q581237;Round Point
Q581249;Halfthree Point
Q581275;Crépin Point
Q581288;Suffield Point
Q581299;Rhyolite Head
Q581314;Martins Head
Q581384;Low Head
Q581409;Winship Point
Q581421;Eddy Point
Q581431;Glass Point
Q581639;Demay Point
Q581649;Turret Point
Q581670;Rakusa Point
Q581680;Lions Rump
Q581690;Point Thomas
Q581702;Three Sisters Point
Q588604;Pointe de la Grande Vigie
Q593025;Snæfellsnes
Q601056;Gydan Peninsula
Q602760;The Lizard
Q613738;Thatcher Peninsula
Q621538;Applecross
Q621794;Cape Spear
Q628201;Coney Island
Q629238;Shiretoko Peninsula
Q629506;Bomberai Peninsula
Q639680;Ardnamurchan
Q639683;Ardnave
