entity;label
Q12707;Great Plains
Q23861;Lake Tai plain
Q23867;Chengdu Plain
Q83857;Great Hungarian Plain
Q114731;Beauce
Q116737;Curragh
Q122339;Cuckmere Haven
Q147304;North China Plain
Q157603;Pantanal
Q165570;Lelantine Plain
Q166004;North German Plain
Q184382;Pampas
Q185032;Pannonian Basin
Q191566;West Siberian Plain
Q191862;East European Plain
Q192305;Indo-Gangetic Plain
Q202207;Po Valley
Q208347;Gran Chaco
Q212520;Lower Rhine Plain
Q218632;Zollfeld
Q218907;Sharon Plain
Q246831;Çukurova
Q303223;Breadfield
Q370426;Mesaoria
Q381050;Nullabor Plain
Q446478;Magdeburg Börde
Q483833;Lowlands of Anadyr
Q507631;Q507631
Q509214;Vastitas Borealis
Q530334;Q530334
Q575240;Kolyma Lowland
Q575516;Turan Depression
Q576462;Plain of Campania
Q578739;Planum Boreum
Q611417;Myzeqe
Q612549;Q612549
Q623373;Aquitaine Basin
Q633798;Mugan plain
Q663843;Baraba steppe
Q665570;Little Hungarian Plain
Q681964;Slavonia
Q691344;Piano di Magadino
Q737789;Caspian Depression
Q745702;Q745702
Q747977;Verkhne-Angarskaya Kotlovina
Q775944;Bărăgan Plain
Q778864;Нижнекартлийская равнина
Q791626;Awarua Plains
Q821445;Hauraki Plains
Q846851;Skeiðarársandur
Q857312;Aeolis Palus
Q857848;Campo Imperatore
Q870258;Plain of Jars
Q877091;European Plain
Q910335;Bresse
Q914789;Fucine Lake
Q937892;Uymonskaya Step'
Q947716;Isjim steppe
Q953644;Niihama Plain
Q954942;Campidano
Q971335;Zeta Plain
Q999016;Q999016
Q1001294;Antarctic Plateau
Q1014774;Q1014774
Q1025310;Arsk Field
Q1032671;Hajdúság
Q1033781;Canterbury Plains
Q1045112;Carrizo Plain
Q1045272;Ishikari Plain
Q1045299;Echigo plain
Q1052758;Llano Estacado
Q1071754;Hetao
Q1081023;Bonneville Salt Flats
Q1091567;Upper Thracian Plain
Q1094103;Osaka Plain
Q1112148;Mari Depression
Q1122513;Kuznetsk Depression
Q1124865;Kanto Plain
Q1127195;Tihamah
Q1133595;Meridiani Planum
Q1133636;Terai
Q1139073;Crau
Q1160995;Pampa de Achala
Q1176495;Мезёфёльд
Q1204093;Nōbi Plain
Q1219939;Nyírség
Q1232138;Q1232138
Q1240894;Danubian Flat
Q1241026;Danubian Plain
Q1253430;Stig
Q1295104;Q1295104
Q1304218;Q1304218
Q1315061;Q1315061
Q1334481;Elysium Planitia
Q1347148;North Siberian Lowland
Q1357166;Limagne
