entity;label
Q5813;Канарские острова
Q26855;Сан-Андрес-и-Провиденсия
Q35942;Полинезия
Q80967;Внешние Гебриды
Q171132;Киклады
Q211844;Острова Пальм
Q273303;Лангкави
Q292642;Леринские острова
Q292695;острова Салю
Q292728;Йерские острова
Q514070;Андрос (остров, Багамы)
Q575828;Ла-Маддалена
Q618573;Ламу
Q878481;Эгейские острова
Q935795;Вестеролен
Q1068224;Острова Челбахеб
Q1160526;Острова Десвентурадас
Q1165876;Хавар
Q1240906;Рифы Роули
Q1464773;Моонзундский архипелаг
Q1567562;Группа Семи островов
Q1891973;Архипелаг Хапаранда (национальный парк)
Q2658546;Пальма Джебель Али
Q2860213;Молен (архипелаг)
Q16266752;Линга (округ)
Q10096;Анамбас
Q21111;Кукурузные острова
Q46623;Острова Принс-Эдуард
Q80389;Курильские острова
Q118350;Каролинские острова
Q153732;Марианские острова
Q156325;Острова Хуан-Фернандес
Q186233;Андаманские острова
Q204403;Острова Диомида
Q207383;Южные Оркнейские острова
Q292657;Ле-Сент
Q537749;Флорида-Кис
Q25046183;Суринские острова
Q3237;Рюген
Q10100;Бунгуран
Q10107;Округ Тысячи Островов
Q27601;Жуэнвиль
Q41451;Острова Баунти
Q140948;Южные Шетландские острова
Q148966;Соломоновы острова
Q234796;Острова Лайн
Q637741;Нукуману
Q650847;Факаофо
Q667910;Список островов озера Эри
Q761460;Керкенна
Q841337;Японский архипелаг
Q921587;Тукангбеси
Q928636;Семиди
Q1087292;Аю
Q1319369;Сипхандон
Q1972381;Оркас
Q2325506;Бакинский архипелаг
Q2654640;Берёзовые острова
Q2989562;Уме
Q3803158;Мальтийский архипелаг
Q4058447;Азорские острова (автономный регион)
Q4274246;Мадалина (Азорские острова)
Q776075;Экреус
Q829084;Вегаэйн
Q844857;Список островов в Тихом океане
Q943413;острова Элизабет
Q1061195;Сулу
Q1073664;Острова Чинча
Q1268823;Острова Пализер
Q1325658;Медвежьи острова
Q1606513;Монах
Q1917496;Острова Риф
Q3628422;Мадейра
Q4338916;Острова Частые
Q4483480;Фиджи
Q9648;Фолклендские острова
Q35672;Острова Питкэрн
Q38095;Галапагос
Q38272;Британские острова
Q76936;Фризские острова
Q123377;Гебридские острова
Q130574;Чафаринас
Q131198;Остров Херд и острова Макдональд
Q140510;Архипелаг Александра
Q162126;Самоа
Q179883;Липарские острова
Q183416;Наветренные острова
Q201698;Острова Крозе
Q277294;Пальма Джумейра
Q292672;Острова Дьюк-оф-Глостер
Q292688;Острова Кинг-Джордж
Q344617;Острова Актеон
Q511957;Пипи
Q610364;Хен-энд-Чикенс
Q1062438;Острова Лау
Q1298289;Острова Эгмонт
Q1324957;Элафитские острова
Q1333790;Острова Гото
