entity;label
Q1547;Лионский аэропорт имени Сент-Экзюпери
Q4156;Донгхой
Q8688;Международный аэропорт Сан-Франциско
Q8694;Манчестер
Q8703;Гатвик
Q8709;Лондон-Станстед
Q8716;Эдинбург
Q8719;Бирмингем
Q8721;Глазго Международный
Q8725;Бристоль
Q8727;Ливерпульский аэропорт имени Джона Леннона
Q8731;Лос-Анджелес
Q8975;Ньюкасл
Q8977;Восточный Мидландс
Q8979;Белфаст
Q8981;Абердин
Q8982;Лондон-Сити
Q8987;Аэропорт Белфаст-Сити имени Джорджа Беста
Q8988;Саутгемптон
Q8991;Джерси
Q8992;Глазго Прествик
Q8994;Кардифф
Q8995;Гернси
Q8996;Аэропорт Донкастер-Шеффилд имени Робина Гуда
Q8999;Эксетер
Q9001;Аэропорт острова Мэн
Q9064;Карраско
Q9071;Международный аэропорт Капитан де Корбета Карлос Курбело
Q9688;Берлин-Тегель
Q14295;Сиэтл/Такома
Q14300;Канберра
Q14302;Аделаида
Q14312;Седьюна
Q14316;Кубер-Педи
Q15101;Порт-Огаста
Q15114;Цюрих
Q15496;Девонпорт
Q15497;Флиндерс-Айленд
Q15498;Хобарт
Q15501;Кембриджский аэродром
Q15514;Кинг-Айленд
Q15520;Лонсестон
Q15528;Сент-Хеленс (аэропорт)
Q15531;Смиттон (аэропорт)
Q15540;Берни
Q16810;Гаосюн
Q17440;Олбери
Q17480;Антверпен
Q8975;Ньюкасл
Q17581;Сидней
Q17595;Уогга-Уогга
Q17606;Алис-Спрингс
Q17609;Дарвин
Q17610;Элко-Айленд
Q17611;Лейк-Эвелла
Q17612;Грут-Айленд
Q17614;Хукер-Крик
Q17615;Манингрида (аэропорт)
Q17617;Милингимби
Q17618;Гоув
Q17621;Рамингининг (аэропорт)
Q17623;Теннант-Крик
Q17624;Айерс-Рок
Q17625;Виктория-Ривер-Даунс
Q17704;Чхеклапкок
Q20932;Инчхон
Q25226;Камрань
Q27117;Эйлат
Q27217;Могилёв
Q27268;Уральск
Q27546;Гомель (аэропорт)
Q27706;Гамбург
Q28461;Сиялкот
Q28831;Винь
Q29104;Мале
Q31569;Мултан
Q31580;Фейсалабад
Q31581;Кветта
Q32159;Чанги
Q32190;Шоуду
Q36420;Шанхай Пудун
Q36454;Нарита
Q36460;Международный аэропорт имени сэра Сивусагара Рамгулама
Q44856;Тайвань-Таоюань
Q44868;Гуанчжоу Байюнь
Q44877;Паро
Q44923;Боле
Q45000;Митига
Q45523;Брисбен
Q45935;Перт
Q45938;Окленд
Q46033;Франкфурт-на-Майне
Q47157;Король Халид
Q47724;Кондао
Q56973;Барселона — Эль-Прат
Q59633;Аэропорт Свальбард
Q59669;Шаованг
Q60484;Аэропорт Транг
Q60879;Лахор
Q60900;Бандаранаике
Q60910;Миланский аэропорт Мальпенса
Q61052;Джинна
Q61066;Трибхуван
Q61396;Сыктывкар
Q82240;Хиросима
Q86446;Манила
Q86473;аэропорт имени Ататюрка
Q94895;Балтимор/Вашингтон
Q117807;Сары-Арка
Q120326;Муреа
Q121760;Маун
Q127148;Эсбьерг
Q127157;Святой Апостол Павел
Q127530;Майами
Q127671;Сантьяго
Q127951;София
Q127955;Белград
Q127958;Македония
Q128016;Загреб
Q130193;Международный аэропорт Виктория
Q130270;Международный аэропорт Кунео
Q130915;Череповец
Q133796;Нагасаки
Q139921;Кефлавик
Q141677;Международный аэропорт Сиань Сяньян
Q143224;Йювяскюля
Q151121;Цинциннати/Северный Кентукки
Q151846;Плейку
Q153191;Бартхпалатханг
Q153592;Король Абдул-Азиз
Q155359;Задар
Q156971;Базель-Мюлуз-Фрайбург
Q158211;Франкфурт-Хан
Q158732;Штутгарт
Q160094;Хюэ
Q165146;Далат Льенкхыонг
Q170169;Ганновер-Лангенхаген
Q170343;Кантхо
Q174764;Янгон
Q175897;Вигра
Q177216;Сямынь Гаоци
Q177689;Котока
Q178021;Дублинский аэропорт
Q178162;Грац-Талерхоф
Q180129;Манчестер-Бостон
Q180464;Афонсу Пена
Q181479;аэропорт имени Бен-Гуриона
Q182789;Вадсё (аэропорт)
Q186457;Сабадель
Q186614;Домодедово
Q192733;Шереметьево
Q193408;Куинён
Q193439;Дубай
Q193682;Кансай
Q194316;Суварнабхуми
Q196087;Коккола-Пиетарсаари
Q197933;Фалеоло
Q201785;Богота
Q203395;Зыонгдонг
Q204853;Токио
Q206349;Найроби (аэропорт)
Q210559;Гардермуэн
Q211734;Элефтериос Венизелос
Q213717;Международный аэропорт О’Хара
Q214861;Международный аэропорт Хартсфилд-Джексон Атланта
Q215327;Хельсинки-Вантаа
Q217226;Тирана
Q219287;Катима Мулило
Q223499;Стокгольм-Арланда
Q240694;Пхукет
Q240706;Кемерово
Q241370;Мопти
Q242066;Торонто
Q251538;Аэропорт Зальцбург имени В. А. Моцарта
Q254039;Лаппеэнранта
Q255345;Аэропорт Мацуяма
Q259426;Порт-Лайонс
Q265994;Нюрнберг
Q267645;Игнатьево
Q269633;Александрия
Q273462;Внуково
Q278667;Международный аэропорт имени Раджива Ганди
Q279167;Тарту
Q282909;Львов
Q286872;Миккели
Q287077;Аэропорт Лас-Брухас
Q289972;Женевский международный аэропорт
Q290527;Международный аэропорт Мангалур
Q303788;Амук-Бэй
Q304719;Чебоксары
Q313587;Аэропорт Дортмунд
Q319654;Ла Гуардия
Q321224;Ванкувер
Q326268;Шарм-эш-Шейх
Q330015;Денвер
Q332302;Международный аэропорт имени Кеннета Каунды
Q333137;Международный аэропорт Гагарин
Q338911;Нальчик
Q349673;Норидж
Q370924;Йоэнсуу
Q371471;Вагар
Q372280;Новый
Q381653;Виракопус
Q381688;Международный аэропорт Матеканья
Q384788;Международный аэропорт имени министра Пистарини
Q385191;Хургада
Q385356;Международный аэропорт имени Раджа Санси
Q385406;Гуарульос
Q387560;Международный аэропорт Шуанлю
Q387593;Бисмарк
Q387704;Ресифи
Q388535;Международный аэропорт имени Нетаджи Субхас Чандра Боса
Q389241;Гульельмо Маркони
Q389327;Пула
Q401700;Международный аэропорт имени Сардара Валлаббхай Патела
Q403671;Портела
Q421811;Шанхай Хунцяо
Q428292;Мурсия-Сан-Хавьер
Q429304;Аэропорт Марракеш-Менара
Q430490;Международный аэропорт Эсенбога
Q432334;Международный аэропорт имени Альфредо Васкеса Кобо
Q432481;Семипалатинск
Q459096;Даллас/Форт-Уэрт
Q461793;Каир
Q465071;Варшавский аэропорт имени Фредерика Шопена
Q466786;Ньюарк
Q474632;Кэрнс
Q474682;Лендс-Энд
Q477555;Корнуолл
Q477677;Борисполь
Q478595;Таншоннят
Q482315;Международный аэропорт имени Амилкара Кабрала
Q482493;Международный аэропорит Джимпо
Q482497;Чеджу
Q483223;Кимхэ
Q483254;Тэгу
Q483675;Чхонджу
Q490189;Юрмала
Q500253;Куала-Лумпур
Q500945;Международный аэропорт имени Ференца Листа
Q502670;Ченнаи
Q503364;Бангалор
Q504368;Международный аэропорт имени Чатрапати Шиваджи
Q505421;Рига
Q505572;Коимбатор международный аэропорт
Q512128;Международный аэропорт Филадельфии
Q513344;Баджура
Q513474;Тревизо
Q513609;Залив Лаврентия
Q513684;Мехрабад
Q517873;Орио-аль-Серио
Q518910;Ханты-Мансийск
Q522898;Асмэра
Q525030;Абуджа (аэропорт)
Q525486;Макао
Q526459;Мишкольц
Q526488;Солт-Лейк-Сити
Q527157;Кувейт
Q528184;Международный аэропорт Турин
Q530071;Куусамо
Q530773;Международный аэропорт имени Аугусто Сандино
Q531178;Гонолулу
Q531481;Гая
Q531800;Бамда
Q535161;Медельин Кордова
Q537950;Милуоки
Q539298;Эрсилиу Луз
Q540273;Катания
Q540512;Англси (аэропорт)
Q542097;Лампанг (аэропорт)
Q548523;Фертёсентмиклош (аэропорт)
Q550989;Бора-Бора
Q558204;Абакан
Q559107;Лукоу
Q563799;Лётное поле Йоханнисталь
Q572010;Сольнок (авиабаза)
Q572387;Международный аэропорт Джайпур
Q573379;Атарот
Q573524;Увда
Q577067;Владивосток
Q580409;Борнмут
Q581545;Краков-Балице
Q582746;Бодайбо
Q583424;Пуэбла
Q583453;Аэропорт Аяччо имени Наполеона Бонапарта
Q586065;Энтеббе
Q586862;Херес
Q587560;Ранонг (аэропорт)
Q587801;Маршал Кунья Мачаду
Q592172;Кочин
Q594223;Китакюсю
Q597590;Международный аэропорт Лансинг
Q597647;Озарк
Q597649;Шарлотт Дуглас
Q597718;Бёрч-Крик
Q597826;Блайс
Q598121;Биллунн
Q598164;Киана
Q598197;Бильбао
Q598652;Биратнагар
Q598699;Биша
Q598831;Блэкпул
