entity;label
Q2887540;бассейн Днепра
Q15758768;бассейн Янцзы
Q244451;Амазонская низменность
Q534290;Бассейн Муррея
Q604846;Западно-Австралийское плоскогорье
Q2887499;бассейн Енисея
Q2887577;бассейн Шельды
Q22680049;бассейн Преголи
Q49990602;Бассейн Патсойоки
Q8240299;бассейн Амура
Q8956877;Категория:Бассейн Уаитаки
Q58456151;бассейн Норвежского моря
Q1434368;Бассейн Рейна
Q2887512;бассейн Невы
Q12046593;бассейн Дуная
Q28842084;бассейн Припяти
Q11898913;Бассейн Туломы
Q50346401;Бассейн Тетерева
Q50561121;Օտտավայի ավազան
Q2887503;бассейн Оби
Q5793719;бассейн Тахо
Q13370189;бассейн Немана
Q20906226;бассейн Нарвы
Q50230632;Бассейн Бе́седь
Q3658876;Полимле
Q4079154;Бассейн Волги
Q50376793;Ворсклянский бассейн
Q932289;Впадина Конго
Q28872990;басейн Десны
Q44715398;бассейн Атлантического океана
Q2362283;Лаплатская низменность
Q2887511;бассейн Лены
Q27035;Грихальва
Q1129218;Бальсас
Q166966;Шатт-эль-Араб
Q34589;Евфрат
Q8115676;бассейн Азовского моря
Q1996660;Нефтегазоносный бассейн Маракайбо
Q38684;Бенгальский залив
Q12299139;бассейн Черного моря
Q14520;Нарсеа
Q9301187;Тихоокеанский регион
Q3055244;Сус (регион)
