entity;label
Q31449923;Вулкан Сноу
Q31450026;Сопка Рыжая
Q31454257;Сопка Кяменистая
Q31454308;Сопка Граничная
Q31454329;Сопка Востряки
Q117822;Акотанго
Q235062;Галерас
Q475743;Остров Панафидина
Q499519;Липари
Q513216;Келуд
Q577700;Пуйеуэ
Q804039;Бисоке
Q829207;Берутарубе
Q906358;Майпо
Q991004;Остров Броутона
Q1064098;Пинта
Q1112316;Окинское плато
Q1139121;Гарелой
Q1143300;Куикоча
Q1324394;Серро-Эль-Муэрто
Q1411801;Рога Хаттина
Q1575468;Сан-Педро
Q1631727;Офу-Олосега
Q1672472;Ирасу
Q2003801;Братан
Q2025111;Козыревка
Q31451155;Соляная Сопка
Q31451358;Сопка Междуречье
Q31451364;Сопка Паратунка
Q31451477;Вулкан Попутный
Q31451496;Сопка Острая
Q31454272;Сопка Меркурьевская
Q31454294;Сопка Пасечная
Q31454305;Сопка Угловая
Q31454350;Сопка Малогуминская
Q14052;Сангай
Q43876;Гунунг-Батур
Q301669;Кодзусима
Q334728;Абу (вулкан)
Q373105;Аринтика
Q385882;Вулкан Фусса
Q524954;Тефтан
Q692922;Новарупта
Q747135;Гроджин
Q804562;Харра Бал Хаф
Q841189;Эль-Чичон
Q851232;Чигинагак
Q869065;Корасон
Q978441;Джебель ат-Тайр
Q989650;Альгид
Q992791;Большой Сирт
Q999791;Бакл
Q1147502;Марчена
Q1276372;Канталь (горный массив)
Q1320267;Пеле
Q1330558;Нуси-Бе
Q1586649;Яте
Q1638935;Ябука
Q1641276;Килотоа
Q1648022;Вулькано
Q1752870;Такана
Q1754806;Онтаке
Q1969482;Поас
Q2073703;Вулкан Шмидта
Q2229474;Кудрявый
Q2256488;Федотыч
Q2264951;Большой Паялпан
Q2593019;Ильинская Сопка
Q2601149;Демон
Q2844426;Патера Амфитриты
Q3042964;Масуби
Q2080294;Прево
Q2205302;Анак-Кракатау
Q2340739;Дуконо
Q2553917;Минчинмавида
Q3367232;Три Сестры
Q3391954;Тор
Q3411049;Путана
Q4054131;Ааг
Q4060178;Аку
Q4071223;Асенсьон (вулкан)
Q4075651;Байонезе Рокс (подводный вулкан)
Q4086958;Бир Борхут
Q4087566;Биу Плато
Q4090471;Бойса
Q4091885;Больше-Банная
Q4098205;Будули
Q4128312;Вулкан Палласа
Q4128315;Вулкан Тарья
Q4209209;Калгауч
Q4253806;Лангтуткин
Q4255261;Лаучан
Q4287517;Медвежий (вулкан на Камчатке)
Q4304777;Мота (вулкан)
Q4309874;Мэр (вулкан)
Q4327553;Носичан
Q4328517;Нюлкандя
Q4347176;Паулет (вулкан)
Q4390475;Рассошина (вулкан)
Q4412857;Седанкинский
Q4442785;Стокап
Q4506630;Чавыча (вулкан на Камчатке)
Q4514578;Черпук Северный
Q4518690;Чёрная сопка
Q4530140;Экарма
Q5189097;Кроу-Лагун
Q18399360;Агриган
Q21694919;Акнасар
Q152380;Чайтен
Q166972;Заводовский
Q188982;Эребус
Q204821;Сен-Поль
Q207421;Тунгурауа
Q233351;Невадо-дель-Руис
Q252081;Гуальятири
Q255010;Паринакота
Q280822;Бреннистейнсалда
Q312770;Домуйо
Q312930;Копауэ
Q392766;Ясур
Q408217;Сан-Сальвадор
Q456619;Амбанг
Q556594;Анкаратра
Q704869;Аршан (вулканическое поле)
Q760819;Попоманасеу
Q783798;Кливленд
Q937167;Рано-Рараку
Q1047509;Бенталь (гора)
Q1143757;Кумбре Вьеха
Q1361324;Сокорро
Q1422715;Рангитото
Q1472301;Гора Урана
Q1545699;Гренсдалюр
Q1552026;Такора
Q1659771;Имбабура
Q1759338;Руминьяви
Q2124774;Ра
Q2375482;Брава
Q2401434;Иктунуп
Q2672570;Вулкан Дарвина
Q1575468;Сан-Педро
Q2746400;Май-я-Мото
Q3321925;Гора Макдональд
Q4058910;Айнелькан
Q4062794;Алней
Q4066158;Анейтьюм (вулкан)
Q4076242;Балаган-Тас
Q4089752;Богослов (вулкан)
Q4090272;Боина (вулкан)
Q4093102;Бонгабти
Q4099160;Бунанья
Q4128314;Вулкан Севергина
Q4142403;Голубицкий грязевой вулкан
Q4148786;Гречишкина (вулкан)
Q4152986;Гутанасар
Q4177455;Коронадо
Q4180518;Метана
Q4205381;Иульт
Q4215342;Карлыган (Абаканский хребет)
Q4220812;Киненин
Q4253468;Ламанон (горы)
Q4277438;Малая Удина
Q4296385;Миска (гора)
Q4334163;Олька (вулкан на Камчатке)
Q4347144;Паужетка (вулкан)
Q4349988;Переваловый
Q4416865;Сергеева (вулкан)
Q4438004;Спокойный (вулкан)
Q4457089;Тигильский
Q4465503;Тундровый (вулкан)
Q4475610;Унана
Q4707433;Гиреколь-тепе
Q12255387;Бобров
Q4088366;Блу-Лейк (кратер)
Q4091448;Большая Кытэпана
Q4093104;Бонгапчи
Q4128318;Вулкан Толмачёва
Q4180583;Жировской
Q4186559;Западный Бараний
Q4217795;Кахтана
Q4221257;Киреунский
Q4237106;Кошкулак
Q4253681;Ламутский
Q4274142;Магоби
Q4281547;Марион-Айленд (вулкан)
Q4367182;Подводный вулкан Рикорда
Q4504259;Центральный Семячик
Q4525411;Шлен (вулкан)
Q4530142;Эквадор (вулкан)
Q7270076;Заречный (вулкан)
Q11610730;Миминаси
Q14680689;Сан-Францисское вулканическое поле
Q31449987;Сопка Обор
Q31451470;Вулкан Райкоке
Q31451505;Гора Начикинская
Q31454287;Сопка Углевая
Q31454298;Сопка Козья
Q31454373;Сопка Маячная
Q14082;Антисана
Q137953;Илопанго
Q190562;Камерун
Q214696;Ньирагонго
Q231620;Парикутин
Q248276;Корковадо
Q312862;Аракар
Q312929;Вьедма (вулкан)
Q312936;Антофагаста-де-ла-Сьерра
Q375398;Иррупутунку
Q389121;Ланин
Q499164;Гора Аскрийская
Q615578;Аогасима
Q765048;Патера Локи
Q805832;Балуан
Q805915;Бам (остров)
Q806237;Банда Апи
Q809722;Нижняя Донгнай
Q814113;Бееренберг
Q839630;Корякская сопка
Q1026302;Кальбуко
Q988603;Алтар (вулкан)
Q1053880;Центральный
Q1055787;Серро-Асуль (Чили, вулкан)
Q1067417;Хаконе
Q1376373;Вольф
Q1478289;Патера Тупана
Q1478849;Инкауаси
Q1573932;Тау
Q1584353;Бней-Расан
Q1769276;Невадо-Сан-Франциско
Q1790653;Серро-Байо
Q1952854;Крайний
Q2045381;Вулкан Татаринова
Q2091698;Тенорио
Q2661998;Текуамбурро
Q2735753;Гунтур
Q3107788;Патера Гиш Бар
Q3466925;Вануа-Лава
Q4060464;Аламаган (вулкан)
Q4070254;Артени
Q4075236;Баззард-Крик
Q4077147;Бам (вулкан)
Q4095705;Бразерз
Q4100074;Бус-Обо
Q4155060;Дариганга (плато)
Q4179246;Северный
Q4218811;Кевенэйтунуп
