entity;label
Q1992;Лион-Перраш
Q2008;вокзал Lyon-Part-Dieu
Q2011;Станция Лион-Вез
Q2016;Станция Лион-Сен-Поль
Q2050;Лион-Бротто
Q2059;Станция Лион-Горж-де-Лу
Q2210;Станция Кёльн-Боклемюнд
Q2233;Кёльн-Делльбрюк
Q12445;Вааршут
Q19953;Балдок
Q23081;Чамартин
Q23093;Аточа
Q27101;Хамадаяма
Q27285;Фудзимигаока
Q28415;Новаторов
Q28417;Ометьево
Q28620;Джорданхилл
Q28870;Вокзал Берна
Q31309;Такайдо
Q31589;Ниси-Эйфуку
Q33819;Метро Аметьево
Q33820;Восстание-Пассажирская
Q33821;Компрессорный
Q33822;Вахитово
Q43298;Синдорим
Q43311;Йондынпхо
Q49381;Нагоя
Q49942;Танъгогэ
Q50004;Чунъансон
Q50007;Сонбави
Q50719;Центральный вокзал Амстердама
Q50913;Балтийский вокзал
Q53118;Пусанский вокзал
Q53394;Познань-Главный
Q54282;Чхонан-Асан
Q54294;Сингёнджу
Q54295;Ульсан
Q54299;Кымчон-гу Офис
Q54301;Анян
Q54302;Ыйван
Q54303;Кымджон
Q54305;Хвасо
Q54306;Сувон
Q54315;Центральный вокзал Стокгольма
Q54328;Касан-Диджитал-Комплекс
Q54451;Пенсильванский вокзал
Q55633;Соёсан
Q58951;Хвеки
Q59985;Янчхон-хянгё
Q60001;Норянджин
Q68633;Тобонсан
Q69008;Тэрим
Q69040;Онсу
Q79974;Анъук
Q79981;Ыльчиро 3-га
Q80420;Омори
Q80540;Син-Окатимати
Q80545;Осиагэ
Q80562;Кавасаки
Q80570;Минами-Сэндзю
Q83386;Дербышки
Q87469;Раквере
Q113034;Фдерик
Q114061;Ельники
Q116259;Окубо
Q118055;Сианьский вокзал
Q124288;Юдино
Q125929;Хуалампхонг
Q128164;Цуруми
Q128199;Хатикэн
Q128201;Син-Котони
Q128203;Синкава
Q128205;Хигаси-Канагава
Q128298;Вакоси
Q128314;Син-Коясу
Q128527;Синрин-Коэн
Q128528;Ацубэцу
Q128803;Ниси-Фунабаси
Q137143;Намён
Q137162;Тэпан
Q137175;Токсан
Q137181;Соксу
Q137184;Кванак
Q137202;Мёнхак
Q137221;Кунпхо
Q137229;Танджон
Q137235;Университет Сункюнван
Q137326;Сеул
Q139318;Московский вокзал
Q140377;Главный вокзал Загреба
Q151146;Кёльн — Мессе/Дойц
Q151409;Акабанэ-Ивабути
Q155486;Имени Георгия Кирпы
Q163962;Южный вокзал
Q167613;Станция Синчанг
Q170799;Л'Энфант плаза
Q170822;Кристал-Сити
Q170838;Юнион-Стэйшн
Q170873;Фрэнкония-Спрингфилд
Q173919;Икэбукуро
Q178002;Кёнигс-Вустерхаузен
Q185172;Кохтла
Q185181;Пюсси
Q185283;Кивиыли
Q207883;Йыхви
Q211071;Поречье
Q211079;Тихая
Q214788;Паддингтон
Q219216;Капитолово
Q219220;Петяярви
Q219222;Токсово
Q219867;Кингс-Кросс
Q227072;Зуэрат
Q246173;Вакамацу-Кавада
Q246638;Пучхон
Q246645;Чонгак
Q246660;Сити-Холл
Q247099;Усигомэ-Янагитё
Q247642;Щецин-Главный
Q250500;Цюрих-Зебах
Q260986;Вокзал Флиндерс-Стрит Стейшн
Q261320;Вокзал Берси
Q263289;Син-Дайта
Q263774;Лахта
Q269149;Кэйо-Хориноути
Q275113;Кокурицу-Кёгидзё
Q275116;Накаи
Q275436;Накано-Сакауэ
Q275510;Отиай-Минами-Нагасаки
Q275521;Нэрима-Касугатё
Q275527;Син-Эгота
Q275541;Ниси-Синдзюку-Готёмэ
Q284195;блекфриарс
Q285141;Пекин-Центральный
Q163962;Южный вокзал
Q315133;станция Грибницзе
Q319534;Вокзал Херне
Q320986;Вокзал Гера
Q320995;Веймарский вокзал
Q324997;Котбусский вокзал
