entity;label
Q4302191;Монумент героям Волжской военной флотилии (Нижний Новгород)
Q4302192;Монумент независимости Узбекистана
Q4329130;Обелиск Славы на горе Митридат
Q4329132;Обелиск в честь воинов посёлка Черкизово, погибших в годы Великой Отечественной войны
Q4342995;Памятник The Beatles (Донецк)
Q4343010;Памятник «Украина-освободителям» (Ужгород)
Q4343021;Памятник А. П. Чехову (Таганрог)
Q4343051;Памятник Александру II (Москва)
Q4343069;Памятник Амет-Хану Султану (Ярославль)
Q4343091;Памятник Богдану Яньскому (Познань)
Q4343111;Памятник Владимиру Великому (Лондон)
Q4343125;Памятник Гастелло (Уфа)
Q4343126;Памятник Георгию Димитрову (Ярославль)
Q4343133;Памятник Гоцману
Q4343137;Памятник Гринкевичу
Q4343174;Памятник Есенину (Москва)
Q4343211;Памятник Курчатову (Челябинск)
Q4343216;Памятник Ленину (Николаев)
Q4343221;Памятник Ленину (Стерлитамак)
Q4343224;Памятник Ленину (Улан-Удэ)
Q4343229;памятник Ленину у входа в Волго-Донской канал
Q4343244;Памятник Максиму Горькому (Нижний Новгород)
Q4343252;Памятник Микешину
Q4343255;Памятник Мирза Алекпер Сабиру
Q4343284;Памятник Николаю Некрасову (Ярославль)
Q4343305;Памятник Петру I (Сочи)
Q4343313;Памятник Пирогову
Q4343315;Памятник Польскому подпольному государству (Познань)
Q4343317;Памятник Преданности
Q4343327;Памятник Пушкину (Элиста)
Q4343334;Памятник Савве Мамонтову (Ярославль)
Q4343336;Памятник Святому преподобному Елисею Лавришевскому
Q4343339;Памятник Сергею Уточкину
Q4343341;Памятник Славы (Воронеж)
Q4343366;Памятник Тамаре Кручок
Q4343367;Памятник Тарасу Шевченко
Q4343381;Памятник Татьяне Маркус
Q4343383;Памятник Текутьеву
Q4343400;Памятник Хиполиту Цегельскому
Q4343408;Памятник Чехову (Томск)
Q4343433;Памятник адвокатам июня 1956 года
Q4343435;Памятник борцам революции 1905 года
Q4343436;Памятник бойцам Первой конной армии (Олеско)
Q4343447;Памятник воинам-водителям
Q4343472;Памятник гетману Мазепе (Мазепинцы)
Q4343479;Памятник детям июня 1956 года
Q4343493;Памятник жертвам Холокоста (Донецк)
Q4343525;Памятник латышским батальонам СС
Q4343527;Памятник медицинским работникам
Q4343548;Памятник пензенским милиционерам
Q4343566;Памятник пожарным, погибшим при тушении пожаров от налётов фашистской авиации на Грозный
Q4343572;Памятник работникам метрополитена (Харьков)
Q4343579;Памятник рублю (Томск)
Q4343595;Памятник советским гражданам-жертвам фашизма в Карлсруэ
Q4343604;Памятник стратонавтам (Саранск)
Q4343622;Памятник шоколаду
Q4343763;Памятный знак репрессированным кобзарям, бандуристам, лирникам
Q4422841;Слава шахтёрскому труду (Донецк)
Q4441565;Стела «Город воинской славы» (Архангельск)
Q4441570;Стела «Город воинской славы» (Луга)
Q4441574;Стела «Город воинской славы» (Туапсе)
