entity;label
Q23804776;Бельямар
Q16433491;Акмечеть-Аулие
Q16686269;Пещера Магела
Q19906392;Бузлук
Q20072573;Аджи-Коба
Q20091288;Трёхглазка
Q21663369;Пещера Киевская
Q34003;Мезмайская пещера
Q344570;Актун-Туничиль-Мукналь
Q374096;Пещера Шове
Q489820;Соккурам
Q673317;Мацоха
Q736006;Пещера Труа-Фрер
Q798648;Эль-Соплао
Q921197;Кораллгроттан
Q1004641;Булмер
Q1007510;Арени
Q1186716;Деменовская ледяная пещера
Q1190524;Пещера кристаллов
Q1292148;Шубалюк
Q1323820;Эль-Сидрон
Q1517071;Леденика
Q1520803;Пещера Лейхтвейса
Q2043156;Пещера Валье
Q2455477;Пещеры Диру
Q2663452;Гуфр Берже
Q2666855;Мамонтова пещера
Q2982311;Ану Иффлис
Q3117173;Тарт
Q10954073;Мамонтова пещера (Западная Австралия)
Q11175083;Чёртова печь
Q11854236;Биямбаре
Q13055927;Пещера Победы
Q15909115;МАН
Q16273970;Безродненские пещеры
Q24252;Кесем
Q43286;Пещеры Могао
Q44889;Шондонг
Q133949;Деменовская пещера Свободы
Q481397;Амуд (пещера)
Q522170;Санта-Куэва-де-Ковадонга
Q555991;Грот Саравак
Q568661;Токепала
Q647757;Пещера Пловцов
Q24934699;Сохарёвская пещера
Q25447038;Черногорская (пещера)
Q3777010;Пещера Пальиччи
Q4088007;Бланш (пещера)
Q4090273;Бой-Булок
Q4091196;Большая Белобомская пещера
Q4091556;Большая Орешная
Q4175654;Енисейская (пещера)
Q4198268;Изабелла (пещера)
Q4213899;Каракокшинская пещера
Q4220504;Килитская пещера
Q4231989;Коныр-Аулие
Q4233688;Коровья пещера
Q4247322;Кунцевская пещера
Q4310688;НКСС-83/1
Q4310771;НСЭ-81-110 (пещера)
Q4327141;Ноктюрн (пещера)
Q4337017;Ороктойская пещера
Q4362241;Пещера Бондаревская
Q4362244;Пещера Братьев Греве
Q4362270;Снежная пещера
Q4444530;Студенческая (пещера)
Q4448503;Сюкеевские пещеры
Q4491839;Форельная (пещера)
Q4506245;Цхалтубская пещера
Q4529784;Эгма
Q4532001;Энкапуне-Я-Муто
Q4724513;Али-Садр
Q7780127;Пещера Сюрприз
Q28706216;Мигулинские пещеры
Q30889550;Чагырская пещера
Q331409;Кро-Маньон
Q620269;Танталова пещера
Q768949;Фонтешевад
Q837970;Пещеры Пэйсли
Q919184;Пещера Крубера
Q977022;Пещера Святого Духа
Q1062421;Караин
Q1404282;наскальные рисунки в Кондоа
Q1476862;Пещеры Стеркфонтейн
Q1571803;Пещера Виндия
Q1679526;Тешик-Таш
Q28805618;Пещера Катникова
Q29410834;Авилова пещера
Q37968580;Пещера Каменные Сараи
Q1311736;Барабарские пещеры
Q1322486;Пещера Сибуду
Q1554172;Гитарреро (пещера)
Q1637448;Петроглифы Ангоно
Q1884722;Магура
Q1978886;Пещера Апокалипсиса
Q2059749;Грот папоротников
Q2372682;Пещеры Эдаккал
Q2475430;Ухловица
Q2666120;Пещера Дипклоф
Q3117121;Брюникель (пещера)
Q3117158;Ла-Нолет
Q3117247;Валлоне
Q3647379;Пещера Кумистави
Q3652363;Бетлемская пещера
Q4032545;82-102
Q4063050;Алтынбесик
Q4081666;Белая лошадь (пещера)
Q4096341;Брестская крепость (пещера)
Q4164409;Долганская Яма
Q4181000;Жога (пещера)
Q4206410;КРЭ-16-82 (пещера)
Q4206536;Кабаний провал
Q4246413;Кулогорская пещера
Q4332103;Озеро Провал
Q4362250;Пещера Кореневского (ТМ-62)
Q4362262;Пещера Пантюхинская
Q4387928;Радужная (пещера)
Q4403156;СОАНтехническая
Q4452916;Таш-Ой
Q4516131;Чипширинская-1 (пещера)
Q4527149;Шуби-Ныхасская пещера
Q4539977;Ящик Пандоры (пещера)
Q30888598;Пещера Дружба
Q40181575;Заповедная пещера
Q61868946;Свинарка
Q1987414;Нидленлох
Q2061976;Лольтун
Q2169018;Пещера Нерхи
Q2290344;Сак-Актун
Q2587478;Абисмо Гай Коллет
Q2672127;Спи
Q2914782;Пещера Озёрная
Q2985049;Нах-Тунич
Q3045995;Аваики
Q3490271;Велка-Снежна пещера
Q3966943;Сплуга делла Прета
Q4073195;Ахтиарская пещера
Q4074887;Багьянская (пещера)
Q4089013;Богатая Фанза
Q4091164;Большая Азишская пещера
Q4144437;Горло Барлога
Q4152199;Гунькина пещера
Q4362240;Пещера Археологическая
Q4362242;Пещера Большой приз
Q4362245;Пещера Воронежская
Q4362277;Пещера Форт-Рок
Q4362287;Пещерная система Белая звёздочка
Q4418223;Сибирская (пещера)
Q4445967;Сумган-Кутук
Q4449377;Тавберидзе (пещера)
Q4516132;Чипширинская-2 (пещера)
Q4520943;Шатрище
Q4528163;Шушинская пещера
Q5094469;Чеве
Q5054950;Пещера Еврипида
Q6360000;Кан-и-Гут
Q11686928;Атлантида
Q7123188;Пещеры Падалин
Q7134289;Парадис
Q7832721;Трейл-Крик
Q12080552;Баламутовская
Q12113107;Коровий грот
Q12124288;Молочный камень
Q12285499;Пещера истоков Ангитиса
Q43171;Тхьендыонг
Q117004;Бычья скала
Q245658;Куэва дель Индио
Q287341;пещера Схул
Q372696;Пещера духов
Q649384;Элефанта
Q815098;Бельянская пещера
Q835378;Кентская пещера
Q850602;Хира
Q870236;Пещера Лихтенштейн
Q874850;Лампрехтсофен
Q899513;Куэва-де-лос-Вердес
Q946978;Пештера-ку-Оасе
Q1143245;Пещера Ветра
Q1158600;Дамлаташ
Q1254270;Драхенхаухлох
Q12085515;Буковинка
Q12140397;Пещера Кармалюка
Q12140400;Славка
Q12275666;Врелото
Q13424609;Теопетра
Q13667780;Зигановка
Q16273374;Аскинская ледяная пещера
Q16675344;Медвежья пещера
Q18409439;Темниковская пещера
Q18916619;Манот
Q20091277;Дружба
Q20091282;Геофизическая пещера
Q20091284;Каскадная пещера
Q20091285;Монастырь-Чокрак
Q20091286;Пещера Палласа
Q20093762;Сюндюрлю-Коба
Q21639881;Идрисовская пещера
Q14755427;ТК-80/160
Q1379640;Пропасть в городе Границе
Q1643788;Капова пещера
Q1662138;Мраморная пещера
Q1918916;Масабьель
Q2297701;Важецкая пещера
Q2975410;Айвайни
Q3663001;Алларская пещера
Q3849035;Эмине-Баир-Хосар
Q4089845;Богуминская (пещера)
Q4218227;Кашкулакская пещера
Q4279957;Мамо Кананда
Q4362246;Пещера Геофизическая (Алтайский край)
Q4362254;Пещера Лубанг Насиб Багус
Q4362267;Пещера Сквозная (Адыгея)
Q4485212;Фишер-Ридж
Q4494655;Хазинская пещера
Q4507233;Чапарская (пещера)
Q4513171;Черкесский водопад (пещера)
Q4529387;Ыласын (пещера)
Q4699728;Аджиадар-Ункур
Q24932745;Пашийская пещера
Q25162361;Пещера Нестора
Q133575;Альтамира
Q224776;Бузеирская пещера
Q466081;Вильдкирхли
Q492760;Пещера Мовиле
Q579585;Куэва-де-лос-Касарес
Q742598;Гхар-Далам
Q864504;Пиндайя
Q935991;Идейская пещера
Q1011733;Гомбасецкая пещера
Q1165670;Дарбанд (пещера)
Q1735838;Катерлох
Q2091749;Пещера Миларепы
Q2376814;Красные пещеры
Q2989612;Пикимачай
Q3111600;Мирольда
Q3117244;Пещера Сокровищ
Q3405335;Вангард
Q37959786;Пещера Духан
Q37969030;Пещера Берложек
Q38279669;Влихада
Q25044915;Верехпай
Q7070592;Натти патти
Q7398333;Сыева-Дупка
Q12158867;Суук-Коба
Q12170989;Шайтан-Коба
Q13667791;Петроглифы на реке Ориноко
Q41792526;Куэшта
Q4080871;Бездонный Колодец
