entity;label
Q51;Антарктида
Q3626;Чилийская Антарктика
Q4194;Зауэрланд
Q18097;Корея
Q8614;Вестфалия
Q23792;Палестина
Q27275;Центральная Азия
Q27394;Южная Африка
Q27433;Центральная Африка
Q27479;Северная Европа
Q29237;Кордуена
Q32530;Лужица
Q34709;Цайдам
Q35942;Полинезия
Q37736;Северный Кавказ
Q45551;Чешская Силезия
Q48214;Ближний Восток
Q60140;Индийский субконтинент
Q62132;Лапландия
Q102911;Голландия
Q136270;Земля Кемпа
Q143487;арабский мир
Q170143;Банат
Q171323;Восточная Фракия
Q182647;Хорезм
Q184430;Зеландская Фландрия
Q192435;Триполитания
Q203751;Верхний Египет
Q261430;Шумадия
Q263686;Юго-Восточная Европа
Q266703;Зальцкаммергут
Q284027;Джунгария
Q298176;Эслинг
Q326359;Пфальц
Q366079;Аламут
Q510870;Дзукия
Q575289;Мюльфиртель
Q675581;Швейцарская ривьера
Q688060;Террасные виноградники Лаво
Q708317;Фогтланд
Q713015;Кваннам
Q814951;Бэйян
Q818606;Метохия
Q858847;Юго-Запад США
Q914218;Исаврия
Q1063689;Восточная Япония
Q1077436;Северо-западный блок
Q1127320;Центральная Италия
Q1133130;Кукурузный пояс
Q1156427;Восточная Карелия
Q1169615;Дзержинский польский национальный район
Q1190137;Большой Бостон
Q1191996;Восточная Сибирь
Q1340296;Туну
Q1464033;Западная Фрисландия
Q1535009;Голден-Хорсшу
Q1547309;Индо-Тихоокеанская область
Q1548416;Район Великих озёр
Q1640913;Машоналенд
Q1781326;Турополье
Q1231;Косово
Q5428;Сибирь
Q11708;Юго-Восточная Азия
Q19044;Сванетия
Q19084;Мегрелия
Q9456;Ахтерхук
Q25389;Ютландия
Q43266;Моравия
Q103251;Македония
Q104028;Иудея
Q81720;Силезия
Q111224;Гольштейн
Q145620;Эмсланд
Q170526;Плодородный полумесяц
Q183464;Ливония
Q184319;Земля Адели
Q331254;Атолл
Q333934;Швейцарское плато
Q380307;Лабрадор
Q445609;Нижний Рейн (регион)
Q578002;Мекленбург
Q641203;Арморика
Q700460;Иннфиртель
Q700842;Восточные области Германской империи
Q795077;Восточная Канада
Q807310;Барбаджа
Q828357;Саншайн-Кост
Q829767;Безенгау
Q850235;Мидлендс
Q850245;Фута-Джаллон
Q859413;Биг-Сур
Q866405;Восточная Антарктида
Q867052;Кордофан
Q880087;Чёрный пояс (регион)
Q899289;Шайкашка
Q923442;Аллея торнадо
Q931789;Берег Луитпольда
Q956858;Хевсурети
Q960113;Ваханский хребет
Q1071158;Бразильская Антарктика
Q1078270;Де-Кемпен
Q1136392;Зелёная Испания
Q1148552;Внутренняя Империя
Q1151572;Восточная Индия
Q1158060;Загора
Q1205071;Айдзу
Q1211919;Средняя Азия
Q12739306;Комратская республика
Q12982818;Чола-Наду
Q14202648;Верховья Дона
Q14203399;Дальнее Подмосковье
Q16305538;Субтропики
Q1278925;Восточная Герцеговина
Q1364385;Китаа
Q1428329;Кхумбу
Q1725885;Наэталь
Q1842362;Крымская социалистическая советская республика
Q2121746;Кой-Крылган-кала
Q2342092;Галлоуэй
Q2455975;Венеция
Q2469395;Башкортостан
Q2470685;Африканский французский язык
Q2658965;Кучи
Q2669849;Загородье
Q2915499;Верхняя Галилея
Q2991210;Графство Далем
Q3030613;Толстый диск
Q3155864;Италия
Q6104194;Северная Мексика
Q1982340;Большой Ближний Восток
Q2118709;европейские Нидерланды
Q2129657;Западные Нидерланды
Q2453088;Хеви
Q2586685;Венецианская Словения
Q2598054;Неистовые пятидесятые
Q2725942;Северо-западная Италия
Q2795682;Рвензуруру
Q3333384;Месогея
Q3394276;Рибейра Сакра
Q3626741;Демир-Хисар
Q4145610;Бет Гармай
Q4301256;Молёбская аномальная зона
Q4302536;Мордовская автономная область
Q4420354;Синкай-ху
Q4442156;Степной Крым
Q4492881;Фрисландия (историческая область)
Q4792874;Арманитола
Q13780930;во всём мире
Q14202823;Балеарское побережье
Q14207143;Пинежье и Мезень
Q14208861;Северная Испания
Q14234624;Игболенд
Q14202843;Восточная Эстония
Q29942207;Донщина
Q10717939;Северное море
Q11212956;Внутренняя Азия
Q14201670;Архангельское Поморье
Q14202729;Владимирская Мещёра
Q14202743;Внешние территории Испании
Q14202791;Восток Калининградской области
Q14204155;Северная Далмация
Q14205509;Лондон/Юго-восток
Q14208092;Северо-восточная Танзания
Q14208144;Селигер и Тверское Поозёрье
Q14208750;Тверское Верхневолжье
Q14210031;Юго-запад Вологодской области
Q14287866;Побережье Красного моря
Q16390686;полуостровная Испания
Q17197321;Черкащина
Q929147;Рио-де-Оро
Q954684;Марсика
Q984212;Страны MENA
Q1070940;Азиатско-Тихоокеанский регион
Q1137314;Лапония
Q1185346;Демерара
Q1232392;Предкавказье
Q1340442;Земля Эндерби
Q1365619;Окцидент
Q1367898;Цзяннань
Q1515679;Внутренняя Аляска
Q1555938;Антарктика
Q1685108;Остзейские губернии
Q1762154;Люксембургская Швейцария
Q1863140;Чунгбо
Q1921255;Средний Урал
Q2175585;Рам-Джангл
Q2250397;Южная Италия
Q2275718;Донбасс
Q2328124;Тьерра-де-Кампос
Q2342282;Имамат Оман
Q2366175;Сундаланд
Q2382629;Гора
Q2387250;Государство Камбоджа
Q2426839;Израильская Силиконовая долина
Q3292403;Северные Нидерланды
Q3563983;Северная Греция
Q4443319;Страна Бронте
Q4991540;Серенгети
Q3875368;Монголосфера
Q463459;Самний
Q598570;Слобожанщина
Q1794655;Кутай
Q3744761;Каратегин
Q4170507;Дулькуг
Q2079794;Внутренний Китай
Q208643;Малайский архипелаг
Q166131;Антильские острова
Q3493788;Черногорская Герцеговина
Q1196306;Токайдо
Q1334003;Сайкайдо
Q1435109;Куттанад
Q866733;Снежная страна (Япония)
Q1286914;полярная шапка
Q845466;Хамадори
Q863038;Северо-Восточная Индия
Q5637035;Аштянк
Q875109;Нижняя Бавария
Q6877935;Баден
Q60845045;страны с защитой АП на протяжении жизни авторов плюс 70 лет или более после их смерти
Q1507;Патагония
Q4210;Тюрингенский Лес
