entity;label
Q970648;Спокойная Синюха
Q1000831;Егорлыкская
Q1011327;Староминская
Q1021749;Полтавская
Q1973422;Ахтанизовская
Q1973432;Архангельская
Q1976024;Костромская
Q2025001;Наурская
Q2817215;Медведовская
Q2858109;Шкуринская
Q2885892;Октябрьская
Q2912598;Раевская
Q3334757;Лысогорская
Q3462814;Калининская
Q3609576;Алексеевская
Q4073141;Ахметовская
Q4075996;Баклановская
Q4094645;Бороздиновская
Q4124569;Вольно-Донская
Q4131608;Гаевская
Q4162840;Дмитриевская
Q4186706;Заплавская
Q4193740;Зольский Карьер
Q4214715;Каргинская
Q4215379;Кармалиновская
Q4232232;Копанская
Q4248191;Курдюковская
Q4259882;Лесогорская
Q4279562;Мальчевская
Q4281398;Мариинская
Q4281969;Маркинская
Q4297694;Михайловская
Q4315494;Неберджаевская
Q4323113;Новоалексеевская
Q4323352;Нововладимировская
Q4324474;Новомарьевская
Q4324870;Новопашковская
Q4339944;Отрадная
Q4383300;Пугачёвская
Q4408427;Саратовская
Q4411898;Севастопольская
Q4421987;Скобелевская
Q4422434;Скосырская
Q4426319;Советская
Q4426319;Советская
Q4427620;Солдатская
Q4437994;Спокойная
Q4468531;Убеженская
Q4478371;Усть-Быстрянская
Q4499679;Хомутовская
Q4508365;Челбасская
Q4520357;Шапсугская
Q6664569;Черноярская
Q9048068;Мартанская
Q4075996;Баклановская
Q13052987;Жуковская
Q19426941;Багаевская
Q21641265;Луковская
Q24484158;Скуришенская
Q24484322;Етеревская
Q4297694;Михайловская
Q197637;Цимлянск
Q4242272;Крупская
Q4247043;Кумылженская
Q4283667;Марьянская
Q4318612;Нижегородская
Q4323173;Новоархангельская
Q4323214;Новобекешевская
Q4324089;Новоивановская
Q4324919;Новопетровская
Q4325419;Новосергиевская
Q4326187;Новоцимлянская
Q4326258;Ново-Щедринская
Q4326264;Новощербиновская
Q4326308;Новоясенская
Q4361524;Петропавловская
Q4364540;Пластуновская
Q4378163;Придорожная
Q4382307;Прочноокопская
Q4395543;Роговская
Q4424933;Смоленская
Q4442064;Степная
Q4454446;Темиргоевская
Q4454506;Темнолесская
Q4454620;Тенгинская
Q4491746;Фонталовская
Q4511999;Червлённая-Узловая
Q4514060;Черноморская
Q7248343;Кумшацкая
Q9018120;Кутаисская
Q9092073;Успенская
Q18755686;Николаевская
Q19886792;Букановская
Q21644668;Тишанская
Q24324693;Островская
Q28049317;Неплюевская
Q598203;Терновская
Q963271;Нижний Чир
Q993797;Выселки
Q1972943;Удобная
Q2038862;Боковская
Q2370099;Суворовская
Q2817339;Старотитаровская
Q4426319;Советская
Q4065698;Андреевская
Q4071983;Атаманская
Q4075284;Базковская
Q4080832;Безводная
Q4108440;Верхнекундрюченская
Q4114835;Вознесенская
Q4114835;Вознесенская
Q4120381;Грушевская
Q4139320;Гладковская
Q4174801;Елизаветинская
Q4176499;Ермаковская
Q4211155;Каменнобродская
Q4222275;Кисляковская
Q4236116;Котляревская
Q4238798;Краснокутская
Q4239212;Красноярская
Q4240106;Кременская
Q4243488;Кубанская
Q4248399;Куринская
Q4280842;Манычская
Q4311458;Нагавская
Q4318137;Нефтяная
Q4323322;Нововеличковская
Q4323619;Новоджерелиевская
Q4323627;Новодмитриевская
Q4324368;Новолабинская
Q4324799;Новоосетинская
Q4324948;Новопластуновская
Q4325131;Новоромановская
Q4350277;Передовая
Q4365197;Плоская
Q4376542;Преградная
Q4377665;Приближная
Q4377937;Привольная
Q4388523;Раздорская
Q4417062;Сергиевская
Q4439009;Ставропольская
Q4439796;Старая Станица
Q4440128;Старовеличковская
Q4440515;Старонижестеблиевская
Q4440542;Старопавловская
Q4440750;Старо-Щедринская
Q4442723;Стодеревская
Q4478363;Усть-Бузулукская
Q4481391;Фастовецкая
Q4483930;Филимоновская
Q4522674;Шелкозаводская
Q7224942;Мигулинская
Q12206516;Георгиевская
Q2370099;Суворовская
Q195662;Славянск-на-Кубани
Q511391;Подгорная
Q519788;Ленинградская
Q543962;Пшехская
Q750450;Екатериноградская
Q767443;Тамань
Q918477;Динская
Q961120;Нехаевская
Q4325113;Новорождественская
Q4325245;Новосвободная
Q2885892;Октябрьская
Q4339368;Отважная
Q4341891;Павлодольская
Q4374685;Потаповская
Q4385823;Пятиизбянская
Q4440203;Стародеревянковская
Q4440508;Старомышастовская
Q4443101;Сторожевая
Q4445616;Суздальская
Q598203;Терновская
Q4456290;Терская
Q4499828;Хопёрская
Q4500189;Хорошевская
Q4532437;Эриванская
Q4538815;Ярославская
Q19822424;Распопинская
Q19823521;Филоновская
Q21644816;Упорниковская
Q24324364;Новогригорьевская
Q1968861;Холмская
Q1969770;Батуринская
Q1969776;Березанская
Q1974370;Варениковская
Q1975819;Каладжинская
Q2365021;Гривенская
Q2900431;Натухаевская
Q3276743;Калниболотская
Q3277505;Темижбекская
Q3920943;Попутная
Q4075899;Бакинская
Q4085667;Бесленеевская
Q4086146;Бжедуховская
Q4093488;Боргустанская
Q4094579;Бородинская
Q4126167;Воскресенская
Q4134851;Геймановская
Q4155359;Даховская
Q4169110;Дубенцовская
Q4186877;Запорожская
Q4203265;Ирклиевская
Q4206986;Кавказская
Q4209969;Калитвенская
Q4244289;Кугоейская
Q4249025;Курчанская
Q4264913;Ловлинская
Q4283520;Марьинская
Q4294067;Мингрельская
Q4297020;Митякинская
Q4316641;Некрасовская
Q4318732;Нижнебаканская
Q4324612;Новомышастовская
Q4325973;Новотроицкая
Q4348458;Пензенская
Q4350795;Переправная
Q4351277;Переясловская
Q4361158;Петровская
Q4367329;Подгорная Синюха
Q4377602;Приазовская
Q4390682;Расшеватская
Q4417062;Сергиевская
Q4464737;Трёхостровская
Q4514135;Чернореченская
Q4532487;Эркетиновская
Q4533679;Юго-Северная
Q21065723;Добринка
Q24324341;Старогригорьевская
Q24483865;Глазуновская
Q24484189;Федосеевская
Q24484253;Арчединская
Q24559556;Тепикинская
Q27579618;Неверовское
Q595547;Кужорская
Q651412;Троицкая
Q1006076;Кущёвская
Q1522211;Гиагинская
Q1968591;Должанская
Q2268181;Зеленчукская
Q2817214;Платнировская
Q2919704;Надёжная
Q3910813;Преображенская
Q3920255;Бесстрашная
Q4061553;Александроневская
Q4066127;Андрюки
Q4113214;Владимировская
Q4120132;Змейская
Q4125305;Воровсколесская
Q4132930;Галюгаевская
Q4146304;Горячеисточненская
Q4152381;Гурийская
Q4153925;Дагестанская
Q4174556;Еланская
Q4174801;Елизаветинская
Q3462814;Калининская
Q4211874;Камышеватская
Q4217759;Кахановская
Q4221603;Кировская
Q4235874;Косякинская
Q4238467;Красногорская
Q477166;Новопокровская
Q517916;Чепигинская
Q921641;Брюховецкая
Q937184;Днепровская
Q984417;Тбилисская
Q984871;Новотитаровская
Q1968942;Анапская
Q1970590;Ханская
Q1973008;Анастасиевская
Q1975825;Губская
Q2839832;Новокорсунская
Q3276746;Григорополисская
Q3277197;Казанская
Q3980033;Тацинская
Q4061394;Александровская
Q4061394;Александровская
Q4070915;Архонская
Q4078626;Барсуковская
Q4082576;Беломечётская
Q4087737;Благовещенская
Q4183981;Задоно-Кагальницкая
Q4205757;Ищёрская
Q4206607;Кабардинская
Q4210410;Калужская
Q4240970;Кривянская
Q4249466;Кутейниковская
Q4265493;Лозновская
Q4274042;Магнитная
Q4277072;Малая Лучка
Q4289553;Мелиховская
Q4292444;Мечётинская
Q4293879;Милютинская
Q4323472;Новогражданская
Q4324398;Новолеушковская
Q4324695;Новониколаевская
Q4329332;Обливская
Q4334122;Ольгинская
Q4367299;Подгоренская
Q4395946;Родниковская
Q4397341;Романовская
Q4423110;Сладкая Балка
Q4427684;Соленовская
Q4439796;Старая Станица
Q4440060;Староаннинская
Q4440437;Старокорсунская
Q4440465;Старолеушковская
Q4441750;Степано-Разинская
Q4454506;Темнолесская
Q651412;Троицкая
Q4470455;Украинская
Q4476336;Упорная
Q4495293;Хамкетинская
Q4518089;Чунусовская
Q10957282;Ширванская
Q15640123;Сиротинская
Q4214715;Каргинская
Q830222;Бесскорбная
Q1002706;Каневская
Q4339944;Отрадная
Q1968493;Гостагаевская
Q3609576;Алексеевская
Q1974837;Голубицкая
Q2025084;Рязанская
Q3335224;Незлобная
Q4060983;Александрийская
Q4060983;Александрийская
Q4061595;Алексее-Тенгинская
Q4085796;Бессергеневская
Q4089810;Богоявленская
Q4092240;Большовская
Q4098370;Бузиновская
Q4105199;Васюринская
Q4126444;Восточная
Q4149383;Григорьевская
Q4158663;Дербентская
Q4166142;Дондуковская
Q4177016;Ерёминская
Q4188210;Зассовская
Q4196589;Ивановская
Q4200253;Имеретинская
Q4211905;Камышевская
Q4212408;Канеловская
Q4214652;Каргалинская
Q4219081;Келермесская
Q4236771;Кочетовская
Q4238859;Краснооктябрьская
Q4239212;Красноярская
Q4278125;Малодельская
Q4298477;Мишкинская
Q4316284;Незамаевская
Q18755686;Николаевская
Q18755686;Николаевская
Q4324045;Новозолотовская
Q4325105;Новороговская
Q4349287;Первомайская
Q4403849;Савельевская
Q4417705;Серноводское
Q4440205;Староджерелиевская
Q4446135;Сунженская
Q4453203;Тверская
Q4494152;Фёдоровская
Q4506998;Чамлыкская
Q4511998;Червлённая
Q4513507;Черниговская
Q4513955;Черноерковская
Q4514662;Чертковская
Q4527732;Шумилинская
Q21641265;Луковская
Q19824991;Перекопская
Q21065723;Добринка
Q155426;Котельниково
Q918470;Павловская
Q1968504;Азовская
Q1971633;Абадзехская
Q1974541;Бриньковская
Q1978438;Нестеровская
Q2373220;Старочеркасская
Q4334122;Ольгинская
Q3277082;Крыловская
Q3815845;Клетская
Q4061394;Александровская
Q4069115;Аржановская
Q4071446;Ассиновская
Q4076703;Балковская
Q4077648;Баракаевская
Q4098267;Будённовская
Q4114707;Воздвиженская
Q4125825;Воронцовская
Q4142383;Голубинская
Q4169483;Дубовская
Q4172443;Дядьковская
Q4176310;Еремизино-Борисовская
Q4193745;Зольская
Q4199668;Ильиновская
Q3277197;Казанская
Q4209885;Калиновская
Q4214680;Каргальская
Q4217882;Качалинская
Q4231445;Константиновская
Q4238558;Краснодонецкая
Q4240264;Крепостная
Q3277082;Крыловская
Q4262071;Линейная
Q4292491;Мешковская
Q4318881;Нижнекундрюченская
Q4323614;Новодеревянковская
Q4323658;Новодонецкая
Q4323931;Новоекатериновская
Q4324416;Новолокинская
Q4324451;Новомалороссийская
Q4361524;Петропавловская
Q511391;Подгорная
Q4385791;Пятигорская
Q4388459;Раздольная
Q4396164;Рождественская
Q4407114;Самурская
Q4413717;Селивановская
Q4440176;Старогладовская
Q4440392;Староизобильная
Q4445124;Суводская
Q4477422;Урухская
Q4478580;Усть-Хопёрская
Q4508119;Чебургольская
Q4539232;Ясенская
Q9091122;Убинская
Q13636561;Зотовская
Q19886882;Слащёвская
Q24324736;Берёзовская
Q541541;Старощербиновская
Q906612;Шелковская
Q984411;Северская
Q1249948;Ессентукская
Q1965757;Воронежская
Q1974379;Вышестеблиевская
Q2637584;Вёшенская
Q2837543;Ильинская
Q3277213;станица Ладожская
Q3391409;Кагальницкая
Q3894888;Курская
Q3920942;Малотенгинская
Q4055223;Абхазская
Q4065698;Андреевская
Q4074817;Баговская
Q4081347;Бекешевская
Q4109704;Весёлая
Q4113244;Владимирская
Q12206516;Георгиевская
Q4148265;Гребенская
Q4181838;Журавская
Q4204211;Исправная
Q4214831;Кардоникская
Q4221766;Кирпильская
Q4231445;Константиновская
Q4248152;Курджипская
Q4285836;Махошевская
Q4289200;Мекенская
Q18755686;Николаевская
Q4323212;Новобейсугская
Q4324499;Новоминская
Q4324950;Новоплатнировская
