entity;label
Q152072;Писающий мальчик
Q857540;Фонтан Пчёл
Q871941;Фонтан сказок
Q1114231;Фонтан Баркачча
Q4211290;Каменный цветок (фонтан)
Q4308520;Мустанги Лас-Колинаса
Q2982896;Фонтан Четырех Сезонов
Q4168757;Дружба народов СССР (фонтан)
Q4407021;Самсон (фонтан, Петергоф)
Q4491760;Фонтан с дельфинами (Познань)
Q9261258;Фонтан Паукша
Q13668607;Дети и лягушка
Q13668348;Львиный каскад
Q185382;Фонтан Треви
Q518380;Нептун
Q650657;Фонтан Нептун
Q684661;Женевский фонтан
Q717956;Унисфера
Q1326237;Слон Бастилии
Q2736564;Фонтан Сибелес
Q281309;Фонтан Стравинского
Q523268;Хавис Аманда
Q532029;Бетесда
Q746063;Вилла д’Эсте
Q936296;Фонтан черепах
Q1000722;Фонтаны на Дворцовой площади Штутгарта
Q1435791;Фонтан невинных
Q3747483;Источник Аретузы
Q4178866;Фонтан Максимилиана
Q4343321;Памятник Пушкину
Q4427865;Солнце (фонтан)
Q4521210;Шахматная гора (каскад)
Q4249653;Кутузовский фонтан
Q4343253;Памятник Мигелю де Сервантесу
Q4425637;Сноп (фонтан)
Q4491774;Фонтаны «Адам» и «Ева»
Q7605557;Фонтан Стебла
Q10497718;фонтан на Университетской площади в Лунде
Q18624915;Гусятница Лиза
Q26257059;Фонтан плодородия
Q28793890;Фонтан «Путти»
Q783523;Австрия (фонтан)
Q983774;Аква-Феличе
Q3076156;Фонтан Леда
Q69091467;Фонтан «Ганзейский знак»
Q4491750;Фонтан «Китовый»
Q4491758;Фонтан львов (Познань)
Q1819966;Фонтан Леопольда
Q58324638;Годы войны (фонтан)
Q536048;Фонтан Радости
Q1217302;Четыре фонтана
Q1714672;Источник Ютурны
Q4375694;Поющие фонтаны (Сочи)
Q4491753;Фонтан «Пирамида»
Q655470;Фонтан Четырёх рек
Q2624621;Фонтан Онофрио
Q3076103;Фонтан 99 струй
Q3389191;Пирене
Q3412514;Кубба аль-Баадийин
Q4394678;Римские фонтаны
Q4491772;Фонтанный комплекс «Огузхан и сыновья»
Q21031220;Рыбак
Q21661315;Фонтан с нимфой
Q16698447;Слава русского оружия
Q18404970;Фонтан со скульптурой орла и маскароном льва
Q59641382;Фонтан Витали
Q28360781;Девушка с кувшином
Q208760;Мерлайон
Q267971;Фонтан Тритона
Q645374;Нептун (фонтан во Флоренции)
Q952817;Гефион
Q1345100;Криптос
Q1519368;Сирена
Q3076041;Фонтан Медичи
Q3512067;Кржижиковы фонтаны
Q4228493;Колос (фонтан)
Q4491757;Фонтан на площади Маркина
Q30160311;Театральный
Q59641391;Никольский фонтан
Q60851160;Светомузыкальный фонтан в Царицыне
Q19816854;Фонтан Кармен Амайи
Q42422166;Поющий фонтан Астаны
Q65952029;Фонтан «Садко и царевна Волхова»
Q195201;Фонтан правосудия
Q685445;Знаменосец
Q1414600;Магический фонтан Монжуика
Q2384491;Фонтан Дубай
Q3232046;Два уровня
Q158989;Букингемский фонтан
Q87720372;Орёл-рыболов
