entity;label
Q459;Пловдив
Q472;София
Q6506;Варна
Q6509;Бургас
Q115998;Горна-Оряховица
Q132395;Бяла
Q133961;Шипка
Q147938;Царево
Q160173;Русе
Q165420;Плевен
Q167953;Раковски
Q168668;Добрич
Q170415;Стара-Загора
Q173277;Благоевград
Q173474;Велико-Тырново
Q178385;Сливен
Q178531;Видин
Q180131;Габрово
Q181830;Шумен
Q182428;Силистра
Q185114;Тырговиште
Q185289;Перник
Q186254;Хасково
Q186569;Ямбол
Q186576;Пазарджик
Q189305;Кюстендил
Q189328;Ловеч
Q189502;Враца
Q189650;Разград
Q191099;Петрич
Q191871;Асеновград
Q192875;Кырджали
Q192888;Смолян
Q192926;Казанлык
Q193082;Свиштов
Q193241;Несебыр
Q220121;Монтана
Q237254;Лом
Q239989;Хисаря
Q243616;Велики-Преслав
Q251439;Копривштица
Q271925;Созопол
Q275178;Айтос
Q316841;Карлово
Q318889;Плиска
Q326312;Севлиево
Q329437;Балчик
Q331048;Димитровград
Q331566;Сандански
Q341027;Ахтопол
Q387864;Правец
Q388070;Самоков
Q390361;Брезник
Q391159;Банско
Q404734;Сеново
Q404746;Ветово
Q404762;Кула
Q404811;Божуриште
Q404822;Котел
Q404939;Тутракан
Q404958;Выршец
Q404981;Стралджа
Q405114;Велинград
Q405120;Каварна
Q405136;Трявна
Q405145;Долни-Дыбник
Q405153;Приморско
Q405157;Козлодуй
Q405166;Сапарева-Баня
Q405175;Бобов-Дол
Q405184;Бойчиновци
Q405191;Камено
Q405203;Брезово
Q405215;Садово
Q405223;Априлци
Q405228;Бяла-Слатина
Q405236;Белене
Q405248;Долна-Баня
Q405262;Златица
Q405279;Дупница
Q405317;Нова-Загора
Q405323;Златарица
Q405329;Земен
Q405334;Рудозем
Q405341;Девин
Q405351;Калофер
Q405361;Чипровци
Q405367;Любимец
Q405373;Драгоман
Q405383;Брегово
Q405390;Генерал-Тошево
Q405397;Вылчи-Дол
Q405420;Годеч
Q405426;Ботевград
Q405433;Аксаково
Q405440;Тополовград
Q405445;Твырдица
Q405449;Мадан
Q405481;Главиница
Q405507;Стрелча
Q405550;Суворово
Q405554;Ракитово
Q405562;Сухиндол
Q405567;Угырчин
Q405573;Дылгопол
Q405579;Пордим
Q405585;Луковит
Q405591;Грамада
Q405602;Лыки
Q405610;Левски
Q405620;Вылчедрым
Q405629;Стражица
Q405640;Девня
Q405646;Средец
Q405654;Пирдоп
Q405663;Павликени
Q405697;Криводол
Q405708;Стамболийски
Q405712;Ихтиман
Q405716;Неделино
Q405720;Трыстеник
Q405726;Бобошево
Q405731;Кнежа
Q405736;Гылыбово
Q405742;Радомир
Q405774;Летница
Q405778;Джебел
Q405784;Момчилград
Q405789;Свиленград
Q405797;Исперих
Q405801;Провадия
Q405807;Чепеларе
Q405821;Николаево
Q405825;Белослав
Q405829;Долна-Митрополия
Q405842;Брацигово
Q405846;Борово
Q405852;Антоново
Q405856;Дунавци
Q405862;Болгарово
Q405868;Брусарци
Q405874;Ябланица
Q405880;Лозница
Q405893;Клисура
Q405899;Дебелец
Q405905;Полски-Трымбеш
Q405916;Мыглиж
Q405950;Смядово
Q405955;Глоджево
Q405962;Шивачево
Q405965;Сыединение
Q405972;Сырница
Q405978;Славяново
Q405984;Тервел
Q405991;Первомай
Q405997;Долна-Оряховица
Q406004;Каблешково
Q406022;Момин-Проход
Q406029;Костандово
Q406042;Елин-Пелин
Q406050;Дряново
Q406057;Крумовград
Q406064;Етрополе
Q406068;Попово
Q406081;Тетевен
Q406089;Доспат
Q406143;Своге
Q406222;Панагюриште
Q406227;Карнобат
Q406239;Харманли
Q406243;Омуртаг
Q406335;Плачковци
Q406343;Койнаре
Q406352;Мартен
Q406426;Хаджидимово
Q406470;Сливница
Q406476;Кресна
Q406481;Мизия
Q406488;Малко-Тырново
Q406493;Якоруда
Q406500;Мездра
Q406506;Роман
Q406512;Каспичан
Q406517;Рила
Q406523;Септември
Q406530;Вырбица
Q406538;Искыр
Q406545;Кубрат
Q406613;Елхово
Q406618;Болярово
Q406624;Килифарево
Q406631;Белица
Q406639;Шабла
Q406649;Обзор
Q406657;Свети-Влас
Q406747;Сливо-Поле
Q406822;Кричим
Q406863;Трын
Q406869;Лясковец
Q407110;Сопот
Q407118;Нови-Пазар
Q407121;Цар-Калоян
Q407198;Батановци
Q407207;Гурково
Q407213;Гулянци
Q407222;Димово
Q407228;Две-Могили
Q407234;Белоградчик
Q407239;Бяла-Черква
Q407249;Куклен
Q407257;Костенец
Q407296;Оряхово
Q407302;Долни-Чифлик
Q407307;Кочериново
Q407314;Берковица
Q407319;Дулово
Q407325;Алфатар
Q407330;Червен-Бряг
Q407336;Павел-Баня
Q407340;Чирпан
Q407347;Ардино
Q407372;Поморие
Q407377;Добриниште
Q407383;Раднево
Q407390;Ивайловград
Q407483;Перуштица
Q407570;Пештера
Q407705;Белово
Q408077;Елена
Q409102;Никопол
Q457141;Гоце-Делчев
Q599994;Мелник
Q671522;Костинброд
Q769058;Крын
Q806585;Баня
Q806817;Банкя
Q851855;Троян
Q929605;Разлог
Q990310;Сунгурларе
Q1022281;Черноморец
Q1756874;Батак
Q1790862;Златоград
Q1897942;Симитли
Q1993655;Китен
Q132395;Бяла
Q2380619;Ветрен
Q2469089;Кермен
Q2597663;Ахелой
Q2597671;Игнатиево
Q2597688;Бухово
Q2670226;Нови-Искыр
Q2995730;Завет
Q5077360;Каолиново
Q5474197;Симеоновград
