entity;label
Q26441;Виляка
Q60044;Субате
Q107582;Цесис
Q155281;Кулдига
Q166684;Лимбажи
Q203375;Зилупе
Q218402;Балви
Q249715;Олайне
Q267871;Скрунда
Q291333;Алуксне
Q323774;Валка
Q344621;Кегумс
Q405931;Айнажи
Q411715;Айзкраукле
Q411723;Айзпуте
Q420333;Акнисте
Q465698;Сигулда
Q498256;Бауска
Q520405;Талси
Q567747;Плявиняс
Q578527;Седа
Q580373;Илуксте
Q586048;Мадона
Q597346;Лиелварде
Q618119;Апе
Q636935;Тукумс
Q638592;Краслава
Q641220;Виесите
Q650475;Сабиле
Q659019;Алоя
Q659665;Салацгрива
Q729447;Добеле
Q731915;Огре
Q732986;Саласпилс
Q744247;Салдус
Q744259;Лудза
Q753010;Гулбене
Q753029;Икшкиле
Q757043;Баложи
Q757049;Гробиня
Q757050;Цесвайне
Q757101;Дагда
Q758578;Ауце
Q765976;Руйиена
Q789351;Балдоне
Q835771;Яунелгава
Q836513;Виляны
Q838491;Пилтене
Q840717;Павилоста
Q840801;Дурбе
Q840806;Смилтене
Q840823;Саулкрасты
Q840836;Броцены
Q844464;Стайцеле
Q844468;Мазсалаца
Q844477;Лубана
Q846341;Валдемарпилс
Q849141;Варакляны
Q849147;Карсава
Q849152;Кандава
Q849156;Ливаны
Q849832;Вангажи
Q851399;Стренчи
Q853761;Лигатне
Q858476;Прейли
Q908683;Приекуле
Q909654;Стенде
