entity;label
Q1154;Джамнагар
Q1382;Пиран
Q1432;Ванфрид
Q1468;Эшвеге
Q1481;Фельсберг
Q2030;Икалуит
Q2295;Бревик
Q2598;Уотфорд
Q3532;Хемел-Хемпстед
Q3822;Люнен
Q3948;Бритс
Q4131;Гамильтон
Q4397;Южный Гурон
Q4615;Эльсдорф
Q4656;Пула
Q4782;Оамару
Q5276;Альтена
Q5323;Пореч
Q5395;Новиград
Q5460;Стелленбос
Q5718;Крижевцы
Q5882;Илок
Q5981;Алавус
Q5992;Каухайоки
Q6009;Каухава
Q6016;Курикка
Q6023;Лапуа
Q6029;Акваспарта
Q6031;Хвар
Q6052;Аллерона
Q6067;Альвиано
Q6157;Сейняйоки
Q6172;Эхтяри
Q6238;Амелиа
Q6248;Арроне
Q6265;Аттильяно
Q6291;Авильяно Умбро
Q6303;Баски
Q6321;Кальви-делл'Умбрия
Q6340;Кастель-Джорджо
Q6354;Кастель-Вискардо
Q7030;Висмар
Q7053;Родгау
Q8621;Терни
Q8711;Фабро
Q9278;Абу-Мина
Q9461;Кхедбрахма
Q9536;Бад-Доберан
Q9894;Дхармапури
Q9909;Бюссюм
Q10704;Торсхавн
Q10776;Рёта
Q10786;Ферентилло
Q10794;Фикулле
Q10799;Джове
Q10823;Луньяно-ин-Теверина
Q10830;Монтекастрилли
Q10842;Монтеккьо
Q10852;Монтефранко
Q10858;Монтегаббьоне
Q10862;Монтелеоне-д'Орвьето
Q10866;Нарни
Q10870;Отриколи
Q10877;Паррано
Q10880;Пенна-ин-Теверина
Q10882;Полино
Q10888;Порано
Q10895;Сан-Джемини
Q10901;Сан-Венанцо
Q10907;Стронконе
Q10996;Буши
Q11285;Хетауда
Q11340;Шпрокхёфель
Q11854;Раджкот
Q11857;Детва
Q11874;Зволен
Q12047;Мюгельн
Q12050;Тауха
Q12055;Айленбург
Q12449;Ломар
Q12886;Андерлехт
Q13135;Мачерата
Q13221;Тезу
Q13274;Крк
Q13279;Раб
Q13282;Црес
Q13289;Корчула
Q13496;Бриндизи
Q14805;Кауфбойрен
Q14815;Вайсенфельс
Q14845;Драйайх
Q14896;Хофхайм-ам-Таунус
Q14897;Майнталь
Q14920;Ной-Изенбург
Q14938;Бернбург
Q14966;Порт-Пири
Q15875;Идрия
Q15905;Превале
Q15915;Севница
Q15921;Шентюр
Q15922;Шкофья-Лока
Q15929;Вишня-Гора
Q15933;Жири
Q16007;Мёрфельден-Вальдорф
Q16014;Дюделанж
Q16020;Шёнебек
Q16033;Дитценбах
Q16055;Фирнхайм
Q16082;Бад-Фильбель
Q16099;Лампертхайм
Q16105;Бад-Наухайм
Q16145;Бад-Херсфельд
Q16147;Гюстров
Q16469;Войник
Q16515;Добржиш
Q17872;Алис-Спрингс
Q17904;Алперрерулам
Q17980;Кэтрин
Q17990;Миликапити
Q18003;Папунья
Q18015;Теннант-Крик
Q18569;Дуглас
Q18632;Пойтон
Q18655;Стокпорт
Q18731;Конисполь
Q18738;Либохова
Q18793;Эрсека
Q18998;Херборн
Q19775;Поттерс-Бар
Q19785;Харпенден
Q19788;Хатфилд
Q19789;Уэлин-Гарден-Сити
Q19791;Броксборн
Q19792;Вэр
Q19795;Стивенедж
Q19797;Бишопс-Стортфорд
Q19801;Летчуэрт
Q19804;Ройстон
Q20999;Тоструп
Q21159;Хузум
Q22470;Кирн
Q22872;Вальдорф
Q22873;Эбербах
Q23041;Кудат
Q23800;Валлетта
Q24224;Вагенинген
